kW_Turbine1,kW_Turbine2,kW_Turbine3,kW_Turbine4,kW_Turbine5,kW_Turbine6,kW_Turbine7,kW_Turbine8,kW_Turbine9,kW_Turbine10,kW_Turbine11,kW_Turbine12,kW_Turbine13,kW_Turbine14,kW_Turbine15,kW_Turbine16,kW_Turbine17,kW_Turbine18,kW_Turbine19,kW_Turbine20,kW_Turbine21,kW_Turbine22,kW_Turbine23,kW_Turbine24,kW_Turbine25,kW_Turbine26,kW_Turbine27,kW_Turbine28,kW_Turbine29,kW_Turbine30,kW_Turbine31,kW_Turbine32,kW_Turbine33,kW_Turbine34,kW_Turbine35,kW_Turbine36,kW_Turbine37,kW_Turbine38,kW_Turbine39,kW_Turbine40,kW_Turbine41,kW_Turbine42,kW_Turbine43,kW_Turbine44,kW_Turbine45,kW_Turbine46,kW_Turbine47,kW_Turbine48,kW_Turbine49,kW_Turbine50,kW_Turbine51,kW_Turbine52,kW_Turbine53,kW_Turbine54,kW_Turbine55,kW_Turbine56,kW_Turbine57,kW_Turbine58,kW_Turbine59,kW_Turbine60,kW_Turbine61,kW_Turbine62,kW_Turbine63,kW_Turbine64,kW_Turbine65,kW_Turbine66,kW_Turbine67,kW_Turbine68,kW_Turbine69,kW_Turbine70,kW_Turbine71,kW_Turbine72,kW_Turbine73,kW_Turbine74,kW_Turbine75,kW_Turbine76,kW_Turbine77,kW_Turbine78,kW_Turbine79,kW_Turbine80,kW_Turbine81,kW_Turbine82,kW_Turbine83,kW_Turbine84,kW_Turbine85,kW_Turbine86,timestamp
316.71,372.81,437.38,254.07,406.53,353.69,352.14,603.43,293.47,285.37,323.07,335.89,376.16,420.83,343.84,582.16,350.3,205.59,261.07,395.71,378.5,406.2,342.71,439.57,419.41,332.96,466.16,350.31,384.85,440.05,355.59,553.23,349.29,350.68,381.14,388.39,505.53,499.16,239.91,667.91,491.72,516.11,355.39,357.58,380.07,213.19,355.02,397.83,338.72,321.67,359.82,330.73,264.99,255.34,414.74,254.09,309.72,304.65,207.66,259.25,295.61,271.0,308.86,335.9,319.55,306.95,317.1,473.04,455.9,391.07,487.08,433.25,577.86,585.8,527.97,324.85,563.02,382.09,587.64,536.84,554.55,769.7,659.67,647.13,744.58,0.0,2016-01-01 00:00:00
282.87,306.45,440.01,264.08,344.24,346.44,366.67,476.47,456.23,252.07,282.67,439.49,350.16,296.4,374.0,487.33,429.48,170.1,294.31,296.54,417.25,334.56,338.61,292.82,408.43,365.41,327.16,375.14,349.8,506.8,178.9,440.92,377.81,358.34,409.01,369.91,397.82,351.35,210.81,1016.0,376.19,412.32,347.29,367.84,375.4,221.42,342.58,397.01,326.87,342.77,343.48,263.51,207.06,229.82,395.93,281.0,329.91,335.19,253.01,305.0,262.53,271.21,259.5,294.62,294.3,274.6,278.1,288.13,207.52,280.51,266.45,305.99,253.77,289.12,310.44,305.39,353.93,429.62,372.01,373.98,351.09,399.73,385.87,385.62,461.32,0.0,2016-01-01 00:05:00
275.02,305.94,353.28,295.04,419.65,309.61,274.6,349.51,324.56,239.22,258.58,352.32,365.74,393.9,344.21,392.5,376.58,250.64,348.14,378.22,390.21,350.12,365.72,361.0,397.45,420.25,375.47,390.35,402.82,523.22,207.69,366.95,406.33,377.0,519.56,419.05,339.04,242.83,168.85,999.75,325.35,347.86,456.52,458.25,483.49,287.76,378.94,515.35,469.52,395.81,460.87,477.98,317.27,248.86,368.62,347.97,441.0,459.97,321.02,378.87,381.87,373.68,380.98,392.62,366.94,310.04,314.45,265.05,236.92,347.79,347.21,359.26,349.52,313.26,272.2,379.89,341.48,467.02,414.8,452.64,362.4,340.92,404.82,371.56,464.36,0.0,2016-01-01 00:10:00
360.92,363.8,322.83,300.2,305.57,297.13,344.75,301.7,297.07,290.15,344.71,286.94,190.62,336.57,332.81,297.67,256.02,263.48,284.22,319.32,227.18,323.57,316.39,329.18,386.47,282.02,335.96,307.03,174.79,330.0,300.79,311.7,248.71,379.95,209.5,169.96,358.99,257.49,251.84,1147.9,307.04,324.97,365.48,180.67,134.9,357.38,257.99,376.2,350.47,291.9,267.41,440.87,313.43,333.53,349.82,285.9,355.84,372.84,319.56,311.04,347.46,285.84,366.17,362.49,367.71,352.2,361.33,411.62,323.72,237.52,185.17,293.44,346.95,256.61,282.83,309.88,245.71,300.92,331.75,343.06,336.79,402.32,376.38,339.41,374.92,0.0,2016-01-01 00:15:00
386.46,374.62,368.97,354.57,342.71,376.19,350.91,299.64,292.27,284.82,368.69,318.77,224.15,340.45,331.91,378.58,272.18,298.51,323.05,344.29,280.18,296.88,343.01,319.23,375.49,313.19,326.75,344.12,217.02,318.18,276.58,326.84,305.48,458.55,241.44,203.64,319.11,292.36,264.43,1282.6,289.97,304.91,391.56,182.32,149.81,307.83,307.8,317.25,342.34,312.74,287.09,286.39,176.78,358.89,309.76,359.84,385.46,357.64,322.98,269.32,440.52,278.67,327.6,411.18,396.08,424.61,310.52,324.46,336.1,188.72,217.2,349.85,379.89,286.92,398.9,444.05,351.73,386.42,404.23,386.39,380.4,365.57,437.38,490.44,402.54,0.0,2016-01-01 00:20:00
503.36,486.55,494.03,497.11,497.65,384.27,378.63,469.11,367.53,374.04,264.76,433.65,401.26,535.35,426.23,352.86,302.12,411.98,382.12,521.75,384.54,417.67,335.81,485.15,364.51,394.78,371.51,304.51,277.63,332.37,418.42,428.12,358.72,345.22,284.81,263.74,379.83,409.55,304.04,1101.8,297.2,407.86,390.1,227.24,222.91,396.42,341.69,329.86,370.19,308.5,322.7,351.27,218.12,401.55,398.21,353.33,359.27,378.41,291.68,327.64,476.58,358.96,378.05,487.45,492.86,413.21,398.94,414.72,369.32,362.38,444.82,434.04,381.16,427.48,380.81,586.54,482.55,418.96,497.65,502.24,530.93,523.2,509.59,604.17,531.48,0.0,2016-01-01 00:25:00
1027.1,996.84,818.31,761.0,815.06,1001.8,963.5,896.32,827.89,794.77,693.83,888.57,940.78,777.55,659.59,366.07,901.57,797.65,698.3,720.68,596.5,666.77,627.64,749.58,946.91,397.64,465.96,836.84,673.88,797.71,675.62,786.92,646.46,658.12,708.63,645.33,673.01,697.05,457.31,1055.8,651.63,485.35,755.16,634.19,671.96,740.17,546.02,684.19,652.49,388.31,646.49,693.44,680.49,665.74,535.75,523.05,536.64,589.09,481.49,463.74,432.57,480.25,433.19,589.74,523.53,621.28,550.91,563.75,471.68,595.63,662.44,577.53,622.31,615.84,461.01,487.7,640.95,603.96,455.05,447.46,547.51,592.92,654.14,614.83,651.51,0.0,2016-01-01 00:30:00
1219.0,1210.5,1098.0,982.6,1064.0,1228.4,1037.2,1037.0,938.99,982.08,601.36,1181.0,1241.7,922.95,829.54,379.27,988.37,994.68,891.97,912.59,1063.4,894.22,670.94,864.42,1054.0,833.13,578.56,1136.1,1105.8,1057.2,924.49,979.0,1131.1,1006.2,1116.3,1152.4,863.25,905.23,824.3,831.38,845.31,741.26,1005.5,1034.2,1055.5,1216.7,993.62,1153.4,1005.3,679.32,1016.9,1067.7,863.7,929.55,883.96,1012.8,926.85,1054.8,1031.8,828.04,538.52,744.6,1021.4,1178.9,757.51,1132.9,1035.3,1070.4,1087.4,1146.7,973.59,837.48,1044.0,974.07,760.7,709.47,853.53,660.31,858.44,404.28,771.65,757.53,799.3,897.39,959.97,0.0,2016-01-01 00:35:00
1233.8,1234.7,1206.2,1082.8,1152.1,1172.0,823.75,1181.9,821.41,1191.2,570.7,1133.2,1209.1,1109.1,919.81,392.48,826.35,1015.2,709.72,1084.8,1130.7,1041.6,632.55,1169.5,1041.6,1092.8,717.93,1007.2,855.79,1219.6,1110.2,1029.3,972.45,924.53,1086.6,1133.9,974.37,953.78,1082.2,849.91,931.8,1122.4,923.29,1059.7,1038.7,1242.5,755.7,1141.1,1101.4,734.21,1124.6,1024.7,979.35,858.86,1001.5,1045.8,1006.9,1161.2,1181.0,967.46,561.44,757.42,1170.6,1210.8,879.11,995.06,1159.0,1225.8,1041.9,1181.2,1185.1,917.96,1200.1,1081.8,978.54,992.7,1093.7,742.06,924.23,524.73,1063.7,996.42,1189.3,1085.6,1074.2,0.0,2016-01-01 00:40:00
1322.4,1316.6,1177.2,1146.8,1187.8,1306.4,1251.4,1279.5,1078.8,1322.8,882.84,1333.4,1311.8,1146.5,994.73,405.68,1301.8,1298.3,1151.7,1220.2,1139.7,1188.0,991.75,1080.1,1198.1,922.79,701.01,1221.7,1173.3,1243.4,1244.2,1232.2,1281.7,1094.1,1235.2,1244.0,1124.7,1078.2,1034.4,785.08,1035.4,1046.8,1145.0,1131.4,1236.5,1260.1,1174.6,1257.3,1327.1,716.98,1130.8,1210.3,1263.3,968.99,1171.8,1196.8,1218.5,1141.5,1317.5,962.11,627.78,1076.4,1256.1,1277.1,749.62,1292.9,1212.0,1232.7,1085.4,1351.6,1220.2,1195.4,1342.1,1093.6,1025.6,1082.8,1117.4,895.98,1077.7,547.86,1076.0,1081.2,1034.7,1071.3,1112.7,0.0,2016-01-01 00:45:00
1413.9,1361.8,1243.6,1271.8,1195.7,1211.7,1281.1,1245.9,1252.7,1198.6,795.41,1251.2,1305.8,1126.2,1046.0,418.89,1228.3,1318.0,1219.1,1200.0,1211.9,1233.0,1112.9,1164.4,1314.8,926.85,733.7,1393.7,1309.0,1282.0,1206.7,1306.9,1240.8,1265.5,1321.3,1305.9,1266.5,1057.0,974.82,579.39,1036.5,1098.3,1277.7,1302.3,1299.8,1244.5,1347.2,1330.2,1214.6,941.01,1252.6,1332.0,1289.1,1164.9,1272.8,1268.2,1273.1,1219.2,1336.8,1181.8,821.54,1244.4,1230.2,1420.3,919.5,1311.3,1352.2,1338.5,1137.4,1307.6,1334.5,1284.4,1429.3,1247.1,1210.7,1165.9,1226.3,1025.3,1260.5,768.43,1285.2,1159.6,1114.7,1331.8,1341.3,0.0,2016-01-01 00:50:00
1026.6,1106.0,1104.6,1172.1,1138.5,1114.0,1182.8,1180.8,1075.0,981.71,836.01,1119.2,1077.2,1093.3,806.25,432.1,1053.8,1151.0,956.48,1127.7,1120.9,1138.2,847.05,1030.1,1265.3,782.82,572.18,1210.3,1151.5,1116.5,1177.4,1150.1,1317.9,1209.5,1226.3,1373.4,1051.8,1108.1,1016.6,450.71,919.73,1072.3,1233.8,1028.2,1177.9,1301.2,1163.1,1345.5,1149.9,875.6,1191.2,1374.8,1197.4,998.65,1026.5,1107.6,1172.7,1251.8,1400.4,1035.1,713.53,1112.3,1268.1,1403.2,1050.9,1207.0,1396.2,1364.6,1288.1,1417.7,1335.0,1286.8,1361.9,1305.1,1193.2,1268.3,1357.5,1059.6,1240.0,775.6,1185.1,1320.5,1213.6,1263.3,1276.7,0.0,2016-01-01 00:55:00
1116.4,1184.1,1115.0,1026.8,931.31,1059.1,1170.1,1093.0,978.25,1079.9,793.47,1131.7,995.97,1058.7,1014.9,445.3,1192.5,948.48,935.77,1074.8,773.13,903.42,821.02,1018.6,991.23,582.13,658.74,991.01,910.39,997.5,973.53,1019.2,1125.3,902.7,902.18,1067.7,1045.4,940.24,705.37,225.18,782.65,693.47,988.16,1061.6,1028.6,1058.9,1020.8,988.68,936.44,662.58,884.6,1053.8,995.06,951.54,809.03,894.47,931.2,956.18,995.12,723.21,504.45,779.14,1021.3,1242.4,745.9,1300.7,1240.1,1346.3,1126.4,1289.0,1243.3,1171.5,1282.3,1276.6,1198.8,1106.0,1095.4,1057.3,945.68,448.14,881.42,1172.9,1100.3,1265.1,1116.7,0.0,2016-01-01 01:00:00
1023.5,1078.3,1033.4,861.63,964.57,1057.0,818.82,1046.4,883.26,1133.9,638.22,1076.6,894.59,1087.3,901.67,458.51,891.14,988.05,957.49,944.19,981.17,913.41,785.24,1041.3,976.27,718.57,677.69,1014.8,1022.2,1041.7,986.75,849.16,974.13,849.42,906.5,903.89,1009.1,780.65,672.67,153.09,676.97,1102.1,1047.9,891.27,988.02,1076.6,874.31,1148.8,874.29,645.89,911.12,1071.0,886.39,902.6,1047.1,979.77,912.17,1041.7,1009.3,872.87,633.5,703.66,836.17,1111.9,714.79,1132.9,1014.6,1117.6,775.4,1042.1,1076.2,1056.1,1183.2,1253.4,938.62,874.4,917.9,812.0,721.79,410.8,806.22,1286.2,1315.5,1200.6,1098.7,0.0,2016-01-01 01:05:00
1056.0,924.93,1098.8,834.34,1004.8,972.11,655.61,999.93,896.85,984.2,507.41,1066.6,956.7,731.6,739.42,471.71,773.86,869.07,693.62,547.96,1050.5,836.33,613.07,789.73,933.51,807.75,698.01,1026.9,871.35,1158.3,1002.3,1059.2,904.74,809.79,963.73,1003.0,913.58,916.86,1083.8,170.02,911.26,926.9,905.08,889.09,1019.9,894.31,677.12,949.07,931.47,609.91,969.58,868.4,871.88,935.15,557.73,791.84,663.58,748.45,890.09,741.07,418.42,603.8,1030.4,1084.5,948.0,1069.8,1059.6,695.5,976.26,720.45,764.12,940.66,890.03,881.22,620.27,894.0,1097.3,788.04,697.0,524.8,833.32,845.74,1079.9,841.16,1225.0,0.0,2016-01-01 01:10:00
1061.3,1238.3,884.37,1015.6,766.4,1207.2,591.01,953.42,661.05,1039.5,628.49,839.25,837.56,557.76,546.83,484.92,662.71,932.85,552.2,533.75,1007.9,677.25,482.05,595.65,796.97,670.12,402.57,926.92,693.92,1005.4,652.6,615.14,816.8,756.26,1048.8,966.87,766.14,864.61,633.05,175.68,564.26,630.1,884.86,588.27,700.95,712.21,614.45,686.17,990.47,877.19,989.11,658.08,890.85,758.4,885.03,874.14,589.95,817.25,1101.6,598.82,595.63,679.87,916.29,1033.5,809.59,842.72,1071.1,884.38,932.72,773.08,951.04,825.27,874.39,880.14,793.65,697.49,905.47,567.42,818.2,613.23,758.73,625.46,708.04,685.63,850.39,0.0,2016-01-01 01:15:00
875.76,810.16,691.23,748.15,759.58,564.42,512.67,906.91,724.3,755.35,598.0,753.41,825.78,469.55,610.62,498.12,620.15,831.9,485.95,473.03,759.46,401.53,484.44,557.76,667.85,635.34,535.93,738.63,504.53,733.18,707.27,669.6,511.78,516.97,794.87,570.41,807.08,625.72,494.12,112.61,555.18,750.5,699.9,462.64,573.6,706.73,455.81,586.28,667.15,627.92,483.46,546.38,536.96,542.68,865.27,838.53,551.49,589.0,785.62,968.38,553.46,676.56,852.59,715.6,759.55,962.12,786.03,690.5,601.11,692.43,935.66,709.87,751.62,927.83,646.72,853.7,721.79,501.93,574.42,696.4,692.66,847.29,782.61,728.2,734.97,0.0,2016-01-01 01:20:00
529.67,537.15,342.5,290.22,295.0,383.29,472.51,860.4,422.38,307.01,506.68,494.9,466.75,347.53,253.68,511.33,373.38,345.35,269.98,409.36,450.3,329.5,307.6,413.52,450.24,295.58,403.72,391.51,217.53,410.7,516.95,494.15,419.32,395.62,231.1,220.99,400.84,425.81,616.16,75.61,519.17,457.87,544.88,516.92,443.37,552.72,474.35,374.21,393.88,630.08,561.52,426.45,234.18,558.49,440.93,605.41,502.5,437.08,470.05,518.61,694.07,404.98,556.59,557.87,684.64,619.76,581.38,670.38,497.29,486.74,585.14,594.48,724.3,827.42,497.73,761.02,552.02,561.3,543.72,534.74,512.48,808.81,493.01,728.47,638.58,0.0,2016-01-01 01:25:00
403.74,310.09,188.72,216.74,235.53,298.14,419.79,813.9,151.5,244.95,309.07,163.83,168.01,217.76,289.13,328.61,258.3,289.59,252.12,237.64,244.62,182.11,176.89,218.9,342.54,280.33,236.5,253.43,200.48,260.63,215.8,237.95,275.76,384.51,204.64,202.16,283.15,290.56,270.15,59.3,270.77,240.97,323.49,234.62,207.35,408.21,219.64,281.31,480.54,315.57,287.1,355.93,312.63,351.98,300.3,337.3,287.15,252.22,341.67,299.45,428.17,340.48,345.55,388.18,477.57,423.57,440.58,442.03,421.57,295.58,364.24,479.08,433.64,431.67,489.96,486.0,430.97,484.77,560.87,501.66,449.32,625.14,571.82,483.05,586.71,0.0,2016-01-01 01:30:00
223.43,269.03,146.57,146.77,134.51,251.16,211.36,767.39,120.46,151.96,190.51,121.58,135.2,134.95,141.15,143.34,209.52,150.72,126.4,148.62,160.44,137.21,167.16,106.59,305.74,192.63,119.91,185.7,189.78,195.13,130.25,141.89,172.49,205.07,161.81,200.87,101.33,121.87,151.54,27.2,145.07,132.96,211.48,151.59,110.55,227.7,185.47,252.38,177.53,245.6,270.04,225.24,198.62,185.5,125.02,279.56,315.43,322.6,209.14,132.01,365.33,213.82,191.64,275.31,299.38,299.11,226.21,225.08,279.7,211.17,266.36,275.84,235.86,234.77,316.78,324.83,272.03,236.46,386.44,325.77,302.62,391.25,384.92,345.82,519.06,0.0,2016-01-01 01:35:00
198.94,196.37,185.2,129.7,178.72,150.53,186.7,720.88,170.05,187.24,159.13,191.03,139.63,172.38,186.16,163.15,196.79,195.86,187.05,192.81,163.78,154.29,204.63,163.5,142.06,189.92,182.79,222.89,156.72,199.43,169.75,159.35,199.11,164.92,144.65,161.55,125.71,133.22,138.49,40.928000000000004,164.15,112.95,158.29,152.75,125.38,140.27,151.4,223.75,117.39,177.09,163.7,174.71,102.45,143.35,133.62,183.96,192.71,200.42,173.22,156.6,165.03,175.49,190.97,173.91,164.36,217.27,170.29,175.87,134.25,152.76,199.74,131.08,252.53,207.69,163.51,157.06,143.58,124.11,171.78,166.32,209.58,287.94,236.75,240.45,207.54,0.0,2016-01-01 01:40:00
119.14,131.6,220.72,179.17,129.13,140.47,111.36,674.37,173.31,188.35,141.27,200.06,98.05,110.56,167.51,130.88,178.46,167.15,170.99,106.31,128.66,105.71,168.61,141.34,124.84,167.01,170.02,182.19,144.14,153.8,144.38,189.99,145.23,181.42,101.29,134.06,186.42,177.25,156.62,54.655,150.1,111.43,184.32,147.18,95.0,135.01,151.32,166.47,87.34,147.6,175.71,152.65,73.78,115.15,256.33,177.6,177.68,161.49,230.09,231.51,169.44,224.81,274.83,209.69,259.2,300.19,253.64,179.1,203.6,205.76,244.5,81.95,264.44,221.21,250.35,85.92,151.25,81.47,158.47,100.02,94.44,230.38,207.0,189.39,163.29,0.0,2016-01-01 01:45:00
