attributes,datatype,date,station,value
",,W,",PGTM,2017-12-05T00:00:00,GHCND:USW00014916,25
",,W,",PGTM,2017-12-06T00:00:00,GHCND:USW00014916,1416
",,W,",PGTM,2017-12-07T00:00:00,GHCND:USW00014916,1115
",,W,",PGTM,2017-12-08T00:00:00,GHCND:USW00014916,1814
",,W,",PGTM,2017-12-09T00:00:00,GHCND:USW00014916,123
",,W,",PGTM,2017-12-10T00:00:00,GHCND:USW00014916,141
",,W,",PGTM,2017-12-11T00:00:00,GHCND:USW00014916,557
",,W,",PGTM,2017-12-12T00:00:00,GHCND:USW00014916,2357
",,W,",PGTM,2017-12-13T00:00:00,GHCND:USW00014916,523
",,W,",PGTM,2017-12-14T00:00:00,GHCND:USW00014916,954
",,W,",PGTM,2017-12-15T00:00:00,GHCND:USW00014916,2208
",,W,",PGTM,2017-12-16T00:00:00,GHCND:USW00014916,228
",,W,",PGTM,2017-12-17T00:00:00,GHCND:USW00014916,2353
",,W,",PGTM,2017-12-18T00:00:00,GHCND:USW00014916,1553
",,W,",PGTM,2017-12-19T00:00:00,GHCND:USW00014916,1104
",,W,",PGTM,2017-12-20T00:00:00,GHCND:USW00014916,2302
",,W,",PGTM,2017-12-21T00:00:00,GHCND:USW00014916,41
",,W,",PGTM,2017-12-22T00:00:00,GHCND:USW00014916,1106
",,W,",PGTM,2017-12-23T00:00:00,GHCND:USW00014916,1334
",,W,",PGTM,2017-12-24T00:00:00,GHCND:USW00014916,2309
",,W,",PGTM,2017-12-25T00:00:00,GHCND:USW00014916,1305
",,W,",PGTM,2017-12-26T00:00:00,GHCND:USW00014916,1134
",,W,",PGTM,2017-12-27T00:00:00,GHCND:USW00014916,2353
",,W,",PGTM,2017-12-28T00:00:00,GHCND:USW00014916,1447
",,W,",PGTM,2017-12-29T00:00:00,GHCND:USW00014916,2036
",,W,",PGTM,2017-12-30T00:00:00,GHCND:USW00014916,9
",,W,",PGTM,2017-12-31T00:00:00,GHCND:USW00014916,1255
