attributes,datatype,date,station,value
",,W,",PGTM,2017-06-29T00:00:00,GHCND:USW00024130,1048
",,W,",PGTM,2017-12-01T00:00:00,GHCND:USW00024130,1349
",,W,",PGTM,2017-12-02T00:00:00,GHCND:USW00024130,1905
",,W,",PGTM,2017-12-03T00:00:00,GHCND:USW00024130,1502
",,W,",PGTM,2017-12-04T00:00:00,GHCND:USW00024130,1013
",,W,",PGTM,2017-12-05T00:00:00,GHCND:USW00024130,1416
",,W,",PGTM,2017-12-06T00:00:00,GHCND:USW00024130,1456
",,W,",PGTM,2017-12-07T00:00:00,GHCND:USW00024130,1516
",,W,",PGTM,2017-12-08T00:00:00,GHCND:USW00024130,1632
",,W,",PGTM,2017-12-09T00:00:00,GHCND:USW00024130,1310
",,W,",PGTM,2017-12-10T00:00:00,GHCND:USW00024130,1659
",,W,",PGTM,2017-12-11T00:00:00,GHCND:USW00024130,1319
",,W,",PGTM,2017-12-12T00:00:00,GHCND:USW00024130,1611
",,W,",PGTM,2017-12-13T00:00:00,GHCND:USW00024130,2018
",,W,",PGTM,2017-12-14T00:00:00,GHCND:USW00024130,1508
",,W,",PGTM,2017-12-15T00:00:00,GHCND:USW00024130,1041
",,W,",PGTM,2017-12-16T00:00:00,GHCND:USW00024130,1244
",,W,",PGTM,2017-12-17T00:00:00,GHCND:USW00024130,2146
",,W,",PGTM,2017-12-18T00:00:00,GHCND:USW00024130,1324
",,W,",PGTM,2017-12-19T00:00:00,GHCND:USW00024130,2104
",,W,",PGTM,2017-12-20T00:00:00,GHCND:USW00024130,1903
",,W,",PGTM,2017-12-21T00:00:00,GHCND:USW00024130,156
",,W,",PGTM,2017-12-22T00:00:00,GHCND:USW00024130,1249
",,W,",PGTM,2017-12-23T00:00:00,GHCND:USW00024130,831
",,W,",PGTM,2017-12-24T00:00:00,GHCND:USW00024130,2004
",,W,",PGTM,2017-12-25T00:00:00,GHCND:USW00024130,653
",,W,",PGTM,2017-12-26T00:00:00,GHCND:USW00024130,718
",,W,",PGTM,2017-12-27T00:00:00,GHCND:USW00024130,2303
",,W,",PGTM,2017-12-28T00:00:00,GHCND:USW00024130,2131
",,W,",PGTM,2017-12-29T00:00:00,GHCND:USW00024130,2210
",,W,",PGTM,2017-12-30T00:00:00,GHCND:USW00024130,603
",,W,",PGTM,2017-12-31T00:00:00,GHCND:USW00024130,1818
