attributes,datatype,date,station,value
",,W,",PGTM,2017-01-01T00:00:00,GHCND:USW00054768,535
",,W,",PGTM,2017-01-02T00:00:00,GHCND:USW00054768,2220
",,W,",PGTM,2017-01-03T00:00:00,GHCND:USW00054768,1936
",,W,",PGTM,2017-01-04T00:00:00,GHCND:USW00054768,1803
",,W,",PGTM,2017-01-05T00:00:00,GHCND:USW00054768,548
",,W,",PGTM,2017-01-06T00:00:00,GHCND:USW00054768,1002
",,W,",PGTM,2017-01-07T00:00:00,GHCND:USW00054768,1652
",,W,",PGTM,2017-01-08T00:00:00,GHCND:USW00054768,1629
",,W,",PGTM,2017-01-09T00:00:00,GHCND:USW00054768,1941
",,W,",PGTM,2017-01-10T00:00:00,GHCND:USW00054768,2132
",,W,",PGTM,2017-01-11T00:00:00,GHCND:USW00054768,236
",,W,",PGTM,2017-01-12T00:00:00,GHCND:USW00054768,2318
",,W,",PGTM,2017-01-13T00:00:00,GHCND:USW00054768,1136
",,W,",PGTM,2017-01-14T00:00:00,GHCND:USW00054768,1915
",,W,",PGTM,2017-01-15T00:00:00,GHCND:USW00054768,511
",,W,",PGTM,2017-01-16T00:00:00,GHCND:USW00054768,1327
",,W,",PGTM,2017-01-17T00:00:00,GHCND:USW00054768,1859
",,W,",PGTM,2017-01-18T00:00:00,GHCND:USW00054768,149
",,W,",PGTM,2017-01-19T00:00:00,GHCND:USW00054768,1245
",,W,",PGTM,2017-01-20T00:00:00,GHCND:USW00054768,1151
",,W,",PGTM,2017-01-21T00:00:00,GHCND:USW00054768,101
",,W,",PGTM,2017-01-22T00:00:00,GHCND:USW00054768,2030
",,W,",PGTM,2017-01-23T00:00:00,GHCND:USW00054768,2036
",,W,",PGTM,2017-01-24T00:00:00,GHCND:USW00054768,644
",,W,",PGTM,2017-01-25T00:00:00,GHCND:USW00054768,608
",,W,",PGTM,2017-01-26T00:00:00,GHCND:USW00054768,2135
",,W,",PGTM,2017-01-27T00:00:00,GHCND:USW00054768,1106
",,W,",PGTM,2017-01-28T00:00:00,GHCND:USW00054768,327
",,W,",PGTM,2017-01-29T00:00:00,GHCND:USW00054768,1234
",,W,",PGTM,2017-01-30T00:00:00,GHCND:USW00054768,1931
",,W,",PGTM,2017-01-31T00:00:00,GHCND:USW00054768,110
",,W,",PGTM,2017-02-01T00:00:00,GHCND:USW00054768,2041
",,W,",PGTM,2017-02-02T00:00:00,GHCND:USW00054768,1430
",,W,",PGTM,2017-02-03T00:00:00,GHCND:USW00054768,2156
",,W,",PGTM,2017-02-04T00:00:00,GHCND:USW00054768,246
",,W,",PGTM,2017-02-05T00:00:00,GHCND:USW00054768,2344
",,W,",PGTM,2017-02-06T00:00:00,GHCND:USW00054768,24
",,W,",PGTM,2017-02-07T00:00:00,GHCND:USW00054768,1800
",,W,",PGTM,2017-02-08T00:00:00,GHCND:USW00054768,1136
",,W,",PGTM,2017-02-09T00:00:00,GHCND:USW00054768,1607
",,W,",PGTM,2017-02-10T00:00:00,GHCND:USW00054768,1236
",,W,",PGTM,2017-02-11T00:00:00,GHCND:USW00054768,628
",,W,",PGTM,2017-02-12T00:00:00,GHCND:USW00054768,1621
",,W,",PGTM,2017-02-13T00:00:00,GHCND:USW00054768,644
",,W,",PGTM,2017-02-14T00:00:00,GHCND:USW00054768,8
",,W,",PGTM,2017-02-15T00:00:00,GHCND:USW00054768,2331
",,W,",PGTM,2017-02-16T00:00:00,GHCND:USW00054768,122
",,W,",PGTM,2017-02-17T00:00:00,GHCND:USW00054768,606
",,W,",PGTM,2017-02-18T00:00:00,GHCND:USW00054768,2342
",,W,",PGTM,2017-02-19T00:00:00,GHCND:USW00054768,1424
",,W,",PGTM,2017-02-20T00:00:00,GHCND:USW00054768,1437
",,W,",PGTM,2017-02-21T00:00:00,GHCND:USW00054768,1659
",,W,",PGTM,2017-02-22T00:00:00,GHCND:USW00054768,922
",,W,",PGTM,2017-02-23T00:00:00,GHCND:USW00054768,1157
",,W,",PGTM,2017-02-24T00:00:00,GHCND:USW00054768,1204
",,W,",PGTM,2017-02-25T00:00:00,GHCND:USW00054768,1324
",,W,",PGTM,2017-02-26T00:00:00,GHCND:USW00054768,1425
",,W,",PGTM,2017-02-27T00:00:00,GHCND:USW00054768,1154
",,W,",PGTM,2017-02-28T00:00:00,GHCND:USW00054768,1947
",,W,",PGTM,2017-03-01T00:00:00,GHCND:USW00054768,1049
",,W,",PGTM,2017-03-02T00:00:00,GHCND:USW00054768,929
",,W,",PGTM,2017-03-03T00:00:00,GHCND:USW00054768,1918
",,W,",PGTM,2017-03-04T00:00:00,GHCND:USW00054768,945
",,W,",PGTM,2017-03-05T00:00:00,GHCND:USW00054768,444
",,W,",PGTM,2017-03-06T00:00:00,GHCND:USW00054768,1955
",,W,",PGTM,2017-03-07T00:00:00,GHCND:USW00054768,927
",,W,",PGTM,2017-03-08T00:00:00,GHCND:USW00054768,1444
",,W,",PGTM,2017-03-09T00:00:00,GHCND:USW00054768,1308
",,W,",PGTM,2017-03-10T00:00:00,GHCND:USW00054768,2112
",,W,",PGTM,2017-03-11T00:00:00,GHCND:USW00054768,1353
",,W,",PGTM,2017-03-12T00:00:00,GHCND:USW00054768,1711
",,W,",PGTM,2017-03-13T00:00:00,GHCND:USW00054768,912
",,W,",PGTM,2017-03-14T00:00:00,GHCND:USW00054768,1250
