attributes,datatype,date,station,value
",,W,",PGTM,2017-01-01T00:00:00,GHCND:USW00054780,142
",,W,",PGTM,2017-01-02T00:00:00,GHCND:USW00054780,2303
",,W,",PGTM,2017-01-03T00:00:00,GHCND:USW00054780,1459
",,W,",PGTM,2017-01-04T00:00:00,GHCND:USW00054780,2236
",,W,",PGTM,2017-01-05T00:00:00,GHCND:USW00054780,23
",,W,",PGTM,2017-01-06T00:00:00,GHCND:USW00054780,2339
",,W,",PGTM,2017-01-07T00:00:00,GHCND:USW00054780,1750
",,W,",PGTM,2017-01-08T00:00:00,GHCND:USW00054780,2157
",,W,",PGTM,2017-01-09T00:00:00,GHCND:USW00054780,342
",,W,",PGTM,2017-01-10T00:00:00,GHCND:USW00054780,2346
",,W,",PGTM,2017-01-11T00:00:00,GHCND:USW00054780,408
",,W,",PGTM,2017-01-12T00:00:00,GHCND:USW00054780,1905
",,W,",PGTM,2017-01-13T00:00:00,GHCND:USW00054780,1621
",,W,",PGTM,2017-01-14T00:00:00,GHCND:USW00054780,0
",,W,",PGTM,2017-01-15T00:00:00,GHCND:USW00054780,832
",,W,",PGTM,2017-01-16T00:00:00,GHCND:USW00054780,1248
",,W,",PGTM,2017-01-17T00:00:00,GHCND:USW00054780,2142
",,W,",PGTM,2017-01-18T00:00:00,GHCND:USW00054780,520
",,W,",PGTM,2017-01-19T00:00:00,GHCND:USW00054780,1434
",,W,",PGTM,2017-01-20T00:00:00,GHCND:USW00054780,930
",,W,",PGTM,2017-01-21T00:00:00,GHCND:USW00054780,717
",,W,",PGTM,2017-01-22T00:00:00,GHCND:USW00054780,2157
",,W,",PGTM,2017-01-23T00:00:00,GHCND:USW00054780,1104
",,W,",PGTM,2017-01-24T00:00:00,GHCND:USW00054780,205
",,W,",PGTM,2017-01-25T00:00:00,GHCND:USW00054780,629
",,W,",PGTM,2017-01-26T00:00:00,GHCND:USW00054780,2008
",,W,",PGTM,2017-01-27T00:00:00,GHCND:USW00054780,1125
",,W,",PGTM,2017-01-28T00:00:00,GHCND:USW00054780,1227
",,W,",PGTM,2017-01-29T00:00:00,GHCND:USW00054780,1137
",,W,",PGTM,2017-01-30T00:00:00,GHCND:USW00054780,1747
",,W,",PGTM,2017-01-31T00:00:00,GHCND:USW00054780,39
",,W,",PGTM,2017-02-01T00:00:00,GHCND:USW00054780,1235
",,W,",PGTM,2017-02-02T00:00:00,GHCND:USW00054780,1119
",,W,",PGTM,2017-02-03T00:00:00,GHCND:USW00054780,2338
",,W,",PGTM,2017-02-04T00:00:00,GHCND:USW00054780,224
",,W,",PGTM,2017-02-05T00:00:00,GHCND:USW00054780,1203
",,W,",PGTM,2017-02-06T00:00:00,GHCND:USW00054780,18
",,W,",PGTM,2017-02-07T00:00:00,GHCND:USW00054780,1003
",,W,",PGTM,2017-02-08T00:00:00,GHCND:USW00054780,356
",,W,",PGTM,2017-02-11T00:00:00,GHCND:USW00054780,1148
",,W,",PGTM,2017-02-12T00:00:00,GHCND:USW00054780,1522
",,W,",PGTM,2017-02-15T00:00:00,GHCND:USW00054780,947
",,W,",PGTM,2017-02-16T00:00:00,GHCND:USW00054780,700
",,W,",PGTM,2017-02-17T00:00:00,GHCND:USW00054780,21
",,W,",PGTM,2017-02-18T00:00:00,GHCND:USW00054780,1227
",,W,",PGTM,2017-02-19T00:00:00,GHCND:USW00054780,2358
",,W,",PGTM,2017-02-20T00:00:00,GHCND:USW00054780,5
",,W,",PGTM,2017-02-21T00:00:00,GHCND:USW00054780,243
",,W,",PGTM,2017-02-22T00:00:00,GHCND:USW00054780,737
",,W,",PGTM,2017-02-23T00:00:00,GHCND:USW00054780,1643
",,W,",PGTM,2017-02-24T00:00:00,GHCND:USW00054780,2259
",,W,",PGTM,2017-02-25T00:00:00,GHCND:USW00054780,2352
",,W,",PGTM,2017-02-26T00:00:00,GHCND:USW00054780,953
",,W,",PGTM,2017-02-27T00:00:00,GHCND:USW00054780,1234
",,W,",PGTM,2017-02-28T00:00:00,GHCND:USW00054780,107
",,W,",PGTM,2017-03-01T00:00:00,GHCND:USW00054780,1832
",,W,",PGTM,2017-03-02T00:00:00,GHCND:USW00054780,957
",,W,",PGTM,2017-03-03T00:00:00,GHCND:USW00054780,2351
",,W,",PGTM,2017-03-04T00:00:00,GHCND:USW00054780,4
",,W,",PGTM,2017-03-05T00:00:00,GHCND:USW00054780,438
",,W,",PGTM,2017-03-06T00:00:00,GHCND:USW00054780,10
",,W,",PGTM,2017-03-07T00:00:00,GHCND:USW00054780,1440
",,W,",PGTM,2017-03-08T00:00:00,GHCND:USW00054780,2148
",,W,",PGTM,2017-03-09T00:00:00,GHCND:USW00054780,37
",,W,",PGTM,2017-03-10T00:00:00,GHCND:USW00054780,2139
",,W,",PGTM,2017-03-11T00:00:00,GHCND:USW00054780,328
",,W,",PGTM,2017-03-12T00:00:00,GHCND:USW00054780,2127
",,W,",PGTM,2017-03-13T00:00:00,GHCND:USW00054780,14
",,W,",PGTM,2017-03-14T00:00:00,GHCND:USW00054780,1134
",,W,",PGTM,2017-03-15T00:00:00,GHCND:USW00054780,2134
",,W,",PGTM,2017-03-16T00:00:00,GHCND:USW00054780,359
",,W,",PGTM,2017-03-17T00:00:00,GHCND:USW00054780,913
",,W,",PGTM,2017-03-18T00:00:00,GHCND:USW00054780,2049
",,W,",PGTM,2017-03-19T00:00:00,GHCND:USW00054780,933
",,W,",PGTM,2017-03-20T00:00:00,GHCND:USW00054780,314
",,W,",PGTM,2017-03-21T00:00:00,GHCND:USW00054780,2119
",,W,",PGTM,2017-03-22T00:00:00,GHCND:USW00054780,1248
",,W,",PGTM,2017-03-23T00:00:00,GHCND:USW00054780,239
",,W,",PGTM,2017-03-24T00:00:00,GHCND:USW00054780,1556
",,W,",PGTM,2017-03-25T00:00:00,GHCND:USW00054780,115
",,W,",PGTM,2017-03-26T00:00:00,GHCND:USW00054780,1732
",,W,",PGTM,2017-03-27T00:00:00,GHCND:USW00054780,723
",,W,",PGTM,2017-03-28T00:00:00,GHCND:USW00054780,1049
",,W,",PGTM,2017-03-29T00:00:00,GHCND:USW00054780,2100
",,W,",PGTM,2017-03-30T00:00:00,GHCND:USW00054780,45
",,W,",PGTM,2017-03-31T00:00:00,GHCND:USW00054780,1958
",,W,",PGTM,2017-04-01T00:00:00,GHCND:USW00054780,237
",,W,",PGTM,2017-04-02T00:00:00,GHCND:USW00054780,739
",,W,",PGTM,2017-04-03T00:00:00,GHCND:USW00054780,1543
",,W,",PGTM,2017-04-04T00:00:00,GHCND:USW00054780,848
",,W,",PGTM,2017-04-05T00:00:00,GHCND:USW00054780,2042
",,W,",PGTM,2017-04-06T00:00:00,GHCND:USW00054780,1630
",,W,",PGTM,2017-04-07T00:00:00,GHCND:USW00054780,1142
",,W,",PGTM,2017-04-08T00:00:00,GHCND:USW00054780,132
",,W,",PGTM,2017-04-09T00:00:00,GHCND:USW00054780,1641
",,W,",PGTM,2017-04-10T00:00:00,GHCND:USW00054780,2220
",,W,",PGTM,2017-04-11T00:00:00,GHCND:USW00054780,120
",,W,",PGTM,2017-04-12T00:00:00,GHCND:USW00054780,1422
",,W,",PGTM,2017-04-13T00:00:00,GHCND:USW00054780,1418
",,W,",PGTM,2017-04-14T00:00:00,GHCND:USW00054780,1447
",,W,",PGTM,2017-04-15T00:00:00,GHCND:USW00054780,2342
",,W,",PGTM,2017-04-16T00:00:00,GHCND:USW00054780,1903
",,W,",PGTM,2017-04-17T00:00:00,GHCND:USW00054780,2313
",,W,",PGTM,2017-04-18T00:00:00,GHCND:USW00054780,1603
",,W,",PGTM,2017-04-19T00:00:00,GHCND:USW00054780,1955
",,W,",PGTM,2017-04-20T00:00:00,GHCND:USW00054780,2017
",,W,",PGTM,2017-04-21T00:00:00,GHCND:USW00054780,1519
",,W,",PGTM,2017-04-22T00:00:00,GHCND:USW00054780,431
",,W,",PGTM,2017-04-23T00:00:00,GHCND:USW00054780,1457
",,W,",PGTM,2017-04-24T00:00:00,GHCND:USW00054780,2313
",,W,",PGTM,2017-04-25T00:00:00,GHCND:USW00054780,1350
",,W,",PGTM,2017-04-26T00:00:00,GHCND:USW00054780,347
",,W,",PGTM,2017-04-27T00:00:00,GHCND:USW00054780,2239
