attributes,datatype,date,station,value
",,W,",PGTM,2017-04-14T00:00:00,GHCND:USW00094946,1106
",,W,",PGTM,2017-10-30T00:00:00,GHCND:USW00094946,1519
",,W,",PGTM,2017-12-01T00:00:00,GHCND:USW00094946,532
",,W,",PGTM,2017-12-02T00:00:00,GHCND:USW00094946,1343
",,W,",PGTM,2017-12-03T00:00:00,GHCND:USW00094946,1254
",,W,",PGTM,2017-12-04T00:00:00,GHCND:USW00094946,1447
",,W,",PGTM,2017-12-05T00:00:00,GHCND:USW00094946,1521
",,W,",PGTM,2017-12-06T00:00:00,GHCND:USW00094946,1310
",,W,",PGTM,2017-12-07T00:00:00,GHCND:USW00094946,1237
",,W,",PGTM,2017-12-08T00:00:00,GHCND:USW00094946,1115
",,W,",PGTM,2017-12-09T00:00:00,GHCND:USW00094946,1132
",,W,",PGTM,2017-12-10T00:00:00,GHCND:USW00094946,1126
",,W,",PGTM,2017-12-11T00:00:00,GHCND:USW00094946,1229
",,W,",PGTM,2017-12-12T00:00:00,GHCND:USW00094946,105
",,W,",PGTM,2017-12-13T00:00:00,GHCND:USW00094946,552
",,W,",PGTM,2017-12-14T00:00:00,GHCND:USW00094946,1231
",,W,",PGTM,2017-12-15T00:00:00,GHCND:USW00094946,1424
",,W,",PGTM,2017-12-16T00:00:00,GHCND:USW00094946,1157
",,W,",PGTM,2017-12-17T00:00:00,GHCND:USW00094946,10
",,W,",PGTM,2017-12-18T00:00:00,GHCND:USW00094946,1416
",,W,",PGTM,2017-12-19T00:00:00,GHCND:USW00094946,627
",,W,",PGTM,2017-12-20T00:00:00,GHCND:USW00094946,1243
",,W,",PGTM,2017-12-21T00:00:00,GHCND:USW00094946,741
",,W,",PGTM,2017-12-22T00:00:00,GHCND:USW00094946,1611
",,W,",PGTM,2017-12-23T00:00:00,GHCND:USW00094946,2141
",,W,",PGTM,2017-12-24T00:00:00,GHCND:USW00094946,1505
",,W,",PGTM,2017-12-25T00:00:00,GHCND:USW00094946,1010
",,W,",PGTM,2017-12-26T00:00:00,GHCND:USW00094946,1014
",,W,",PGTM,2017-12-27T00:00:00,GHCND:USW00094946,1531
",,W,",PGTM,2017-12-28T00:00:00,GHCND:USW00094946,1351
",,W,",PGTM,2017-12-29T00:00:00,GHCND:USW00094946,1646
",,W,",PGTM,2017-12-30T00:00:00,GHCND:USW00094946,100
",,W,",PGTM,2017-12-31T00:00:00,GHCND:USW00094946,714
