attributes,datatype,date,station,value
",,7,",WDMV,2017-01-03T00:00:00,GHCND:USC00148648,165.9
",,7,",WDMV,2017-01-04T00:00:00,GHCND:USC00148648,29.2
",,7,",WDMV,2017-01-05T00:00:00,GHCND:USC00148648,39.1
",,7,",WDMV,2017-01-09T00:00:00,GHCND:USC00148648,83.9
",,7,",WDMV,2017-01-10T00:00:00,GHCND:USC00148648,31.1
",,7,",WDMV,2017-01-11T00:00:00,GHCND:USC00148648,34.8
",,7,",WDMV,2017-01-12T00:00:00,GHCND:USC00148648,67.1
",,7,",WDMV,2017-01-13T00:00:00,GHCND:USC00148648,16.2
",,7,",WDMV,2017-01-17T00:00:00,GHCND:USC00148648,105.0
",,7,",WDMV,2017-01-18T00:00:00,GHCND:USC00148648,11.2
",,7,",WDMV,2017-01-19T00:00:00,GHCND:USC00148648,24.2
",,7,",WDMV,2017-01-20T00:00:00,GHCND:USC00148648,21.1
",,7,",WDMV,2017-01-23T00:00:00,GHCND:USC00148648,37.3
",,7,",WDMV,2017-01-24T00:00:00,GHCND:USC00148648,31.7
",,7,",WDMV,2017-01-25T00:00:00,GHCND:USC00148648,90.7
",,7,",WDMV,2017-01-26T00:00:00,GHCND:USC00148648,62.8
",,7,",WDMV,2017-01-27T00:00:00,GHCND:USC00148648,24.2
",,7,",WDMV,2017-01-30T00:00:00,GHCND:USC00148648,229.9
",,7,",WDMV,2017-01-31T00:00:00,GHCND:USC00148648,23.0
",,7,",WDMV,2017-02-01T00:00:00,GHCND:USC00148648,49.1
",,7,",WDMV,2017-02-02T00:00:00,GHCND:USC00148648,57.8
",,7,",WDMV,2017-02-03T00:00:00,GHCND:USC00148648,26.1
",,7,",WDMV,2017-02-06T00:00:00,GHCND:USC00148648,77.1
",,7,",WDMV,2017-02-07T00:00:00,GHCND:USC00148648,16.8
",,7,",WDMV,2017-02-09T00:00:00,GHCND:USC00148648,95.1
",,7,",WDMV,2017-02-10T00:00:00,GHCND:USC00148648,52.8
",,7,",WDMV,2017-02-13T00:00:00,GHCND:USC00148648,80.2
",,7,",WDMV,2017-02-14T00:00:00,GHCND:USC00148648,6.8
",,7,",WDMV,2017-02-15T00:00:00,GHCND:USC00148648,32.9
",,7,",WDMV,2017-02-16T00:00:00,GHCND:USC00148648,13.0
",,7,",WDMV,2017-02-17T00:00:00,GHCND:USC00148648,18.0
",,7,",WDMV,2017-02-21T00:00:00,GHCND:USC00148648,177.7
",,7,",WDMV,2017-02-22T00:00:00,GHCND:USC00148648,6.8
",,7,",WDMV,2017-02-23T00:00:00,GHCND:USC00148648,39.8
",,7,",WDMV,2017-02-24T00:00:00,GHCND:USC00148648,54.1
",,7,",WDMV,2017-02-27T00:00:00,GHCND:USC00148648,133.0
",,7,",WDMV,2017-02-28T00:00:00,GHCND:USC00148648,52.8
",,7,",WDMV,2017-03-01T00:00:00,GHCND:USC00148648,72.1
",,7,",WDMV,2017-03-02T00:00:00,GHCND:USC00148648,57.2
",,7,",WDMV,2017-03-03T00:00:00,GHCND:USC00148648,29.8
",,7,",WDMV,2017-03-06T00:00:00,GHCND:USC00148648,179.0
",,7,",WDMV,2017-03-13T00:00:00,GHCND:USC00148648,444.9
",,7,",WDMV,2017-03-15T00:00:00,GHCND:USC00148648,92.0
",,7,",WDMV,2017-03-16T00:00:00,GHCND:USC00148648,49.1
",,7,",WDMV,2017-03-17T00:00:00,GHCND:USC00148648,28.0
",,7,",WDMV,2017-03-20T00:00:00,GHCND:USC00148648,95.1
",,7,",WDMV,2017-03-21T00:00:00,GHCND:USC00148648,62.8
",,7,",WDMV,2017-03-22T00:00:00,GHCND:USC00148648,85.7
",,7,",WDMV,2017-03-23T00:00:00,GHCND:USC00148648,87.0
",,7,",WDMV,2017-03-24T00:00:00,GHCND:USC00148648,85.1
",,7,",WDMV,2017-03-27T00:00:00,GHCND:USC00148648,136.7
",,7,",WDMV,2017-03-28T00:00:00,GHCND:USC00148648,11.8
",,7,",WDMV,2017-03-29T00:00:00,GHCND:USC00148648,62.8
",,7,",WDMV,2017-03-30T00:00:00,GHCND:USC00148648,85.7
",,7,",WDMV,2017-03-31T00:00:00,GHCND:USC00148648,37.3
",,7,",WDMV,2017-04-03T00:00:00,GHCND:USC00148648,80.8
",,7,",WDMV,2017-04-04T00:00:00,GHCND:USC00148648,31.7
",,7,",WDMV,2017-04-06T00:00:00,GHCND:USC00148648,115.0
",,7,",WDMV,2017-04-07T00:00:00,GHCND:USC00148648,29.8
",,7,",WDMV,2017-04-10T00:00:00,GHCND:USC00148648,136.7
",,7,",WDMV,2017-04-11T00:00:00,GHCND:USC00148648,57.2
",,7,",WDMV,2017-04-12T00:00:00,GHCND:USC00148648,110.0
",,7,",WDMV,2017-04-14T00:00:00,GHCND:USC00148648,95.7
",,7,",WDMV,2017-04-17T00:00:00,GHCND:USC00148648,174.0
",,7,",WDMV,2017-04-18T00:00:00,GHCND:USC00148648,83.3
",,7,",WDMV,2017-04-19T00:00:00,GHCND:USC00148648,18.0
",,7,",WDMV,2017-04-20T00:00:00,GHCND:USC00148648,34.2
",,7,",WDMV,2017-04-21T00:00:00,GHCND:USC00148648,49.1
",,7,",WDMV,2017-04-24T00:00:00,GHCND:USC00148648,224.9
",,7,",WDMV,2017-04-25T00:00:00,GHCND:USC00148648,141.1
",,7,",WDMV,2017-04-28T00:00:00,GHCND:USC00148648,21.1
",,7,",WDMV,2017-05-01T00:00:00,GHCND:USC00148648,37.9
",,7,",WDMV,2017-05-02T00:00:00,GHCND:USC00148648,325.0
",,7,",WDMV,2017-05-03T00:00:00,GHCND:USC00148648,24.9
",,7,",WDMV,2017-05-04T00:00:00,GHCND:USC00148648,37.3
",,7,",WDMV,2017-05-05T00:00:00,GHCND:USC00148648,29.8
",,7,",WDMV,2017-05-08T00:00:00,GHCND:USC00148648,126.1
",,7,",WDMV,2017-05-09T00:00:00,GHCND:USC00148648,39.8
",,7,",WDMV,2017-05-10T00:00:00,GHCND:USC00148648,60.3
",,7,",WDMV,2017-05-11T00:00:00,GHCND:USC00148648,72.1
",,7,",WDMV,2017-05-12T00:00:00,GHCND:USC00148648,55.3
",,7,",WDMV,2017-05-15T00:00:00,GHCND:USC00148648,126.8
",,7,",WDMV,2017-05-16T00:00:00,GHCND:USC00148648,65.9
",,7,",WDMV,2017-05-17T00:00:00,GHCND:USC00148648,39.8
",,7,",WDMV,2017-05-18T00:00:00,GHCND:USC00148648,70.8
",,7,",WDMV,2017-05-19T00:00:00,GHCND:USC00148648,106.9
",,7,",WDMV,2017-05-22T00:00:00,GHCND:USC00148648,159.7
",,7,",WDMV,2017-05-23T00:00:00,GHCND:USC00148648,18.0
",,7,",WDMV,2017-05-24T00:00:00,GHCND:USC00148648,47.8
