attributes,datatype,date,station,value
",,W,",PGTM,2017-12-16T00:00:00,GHCND:USW00023182,517
",,W,",PGTM,2017-12-17T00:00:00,GHCND:USW00023182,904
",,W,",PGTM,2017-12-18T00:00:00,GHCND:USW00023182,2141
",,W,",PGTM,2017-12-19T00:00:00,GHCND:USW00023182,1555
",,W,",PGTM,2017-12-20T00:00:00,GHCND:USW00023182,1703
",,W,",PGTM,2017-12-21T00:00:00,GHCND:USW00023182,1301
",,W,",PGTM,2017-12-22T00:00:00,GHCND:USW00023182,2040
",,W,",PGTM,2017-12-23T00:00:00,GHCND:USW00023182,2230
",,W,",PGTM,2017-12-24T00:00:00,GHCND:USW00023182,1629
",,W,",PGTM,2017-12-25T00:00:00,GHCND:USW00023182,619
",,W,",PGTM,2017-12-26T00:00:00,GHCND:USW00023182,820
",,W,",PGTM,2017-12-27T00:00:00,GHCND:USW00023182,2315
",,W,",PGTM,2017-12-28T00:00:00,GHCND:USW00023182,657
",,W,",PGTM,2017-12-29T00:00:00,GHCND:USW00023182,454
",,W,",PGTM,2017-12-30T00:00:00,GHCND:USW00023182,1042
",,W,",PGTM,2017-12-31T00:00:00,GHCND:USW00023182,907
