attributes,datatype,date,station,value
",,W,",PGTM,2017-02-23T00:00:00,GHCND:USW00024030,2053
",,W,",PGTM,2017-12-20T00:00:00,GHCND:USW00024030,2242
",,W,",PGTM,2017-12-21T00:00:00,GHCND:USW00024030,317
",,W,",PGTM,2017-12-22T00:00:00,GHCND:USW00024030,937
",,W,",PGTM,2017-12-23T00:00:00,GHCND:USW00024030,1948
",,W,",PGTM,2017-12-24T00:00:00,GHCND:USW00024030,719
",,W,",PGTM,2017-12-25T00:00:00,GHCND:USW00024030,1006
",,W,",PGTM,2017-12-26T00:00:00,GHCND:USW00024030,0
",,W,",PGTM,2017-12-27T00:00:00,GHCND:USW00024030,1054
",,W,",PGTM,2017-12-28T00:00:00,GHCND:USW00024030,2226
",,W,",PGTM,2017-12-29T00:00:00,GHCND:USW00024030,1057
",,W,",PGTM,2017-12-30T00:00:00,GHCND:USW00024030,1422
",,W,",PGTM,2017-12-31T00:00:00,GHCND:USW00024030,2233
