attributes,datatype,date,station,value
",,W,",PGTM,2017-01-02T00:00:00,GHCND:USW00094037,2259
",,W,",PGTM,2017-01-03T00:00:00,GHCND:USW00094037,44
",,W,",PGTM,2017-01-05T00:00:00,GHCND:USW00094037,1036
",,W,",PGTM,2017-01-06T00:00:00,GHCND:USW00094037,1410
",,W,",PGTM,2017-01-08T00:00:00,GHCND:USW00094037,1019
",,W,",PGTM,2017-01-09T00:00:00,GHCND:USW00094037,2321
",,W,",PGTM,2017-01-10T00:00:00,GHCND:USW00094037,128
",,W,",PGTM,2017-01-11T00:00:00,GHCND:USW00094037,206
",,W,",PGTM,2017-12-25T00:00:00,GHCND:USW00094037,28
",,W,",PGTM,2017-12-26T00:00:00,GHCND:USW00094037,112
",,W,",PGTM,2017-12-27T00:00:00,GHCND:USW00094037,2324
",,W,",PGTM,2017-12-28T00:00:00,GHCND:USW00094037,436
",,W,",PGTM,2017-12-29T00:00:00,GHCND:USW00094037,1751
",,W,",PGTM,2017-12-30T00:00:00,GHCND:USW00094037,1110
",,W,",PGTM,2017-12-31T00:00:00,GHCND:USW00094037,719
