attributes,datatype,date,station,value
",,W,",PGTM,2017-12-01T00:00:00,GHCND:USW00023091,2246
",,W,",PGTM,2017-12-02T00:00:00,GHCND:USW00023091,10
",,W,",PGTM,2017-12-03T00:00:00,GHCND:USW00023091,1843
",,W,",PGTM,2017-12-04T00:00:00,GHCND:USW00023091,1215
",,W,",PGTM,2017-12-05T00:00:00,GHCND:USW00023091,257
",,W,",PGTM,2017-12-06T00:00:00,GHCND:USW00023091,1443
",,W,",PGTM,2017-12-07T00:00:00,GHCND:USW00023091,1136
",,W,",PGTM,2017-12-08T00:00:00,GHCND:USW00023091,1402
",,W,",PGTM,2017-12-09T00:00:00,GHCND:USW00023091,2303
",,W,",PGTM,2017-12-10T00:00:00,GHCND:USW00023091,47
",,W,",PGTM,2017-12-11T00:00:00,GHCND:USW00023091,207
",,W,",PGTM,2017-12-12T00:00:00,GHCND:USW00023091,2314
",,W,",PGTM,2017-12-13T00:00:00,GHCND:USW00023091,2246
",,W,",PGTM,2017-12-14T00:00:00,GHCND:USW00023091,634
",,W,",PGTM,2017-12-15T00:00:00,GHCND:USW00023091,2221
",,W,",PGTM,2017-12-16T00:00:00,GHCND:USW00023091,1553
",,W,",PGTM,2017-12-17T00:00:00,GHCND:USW00023091,1530
",,W,",PGTM,2017-12-18T00:00:00,GHCND:USW00023091,2153
",,W,",PGTM,2017-12-19T00:00:00,GHCND:USW00023091,1533
",,W,",PGTM,2017-12-20T00:00:00,GHCND:USW00023091,23
",,W,",PGTM,2017-12-21T00:00:00,GHCND:USW00023091,1234
",,W,",PGTM,2017-12-22T00:00:00,GHCND:USW00023091,608
",,W,",PGTM,2017-12-23T00:00:00,GHCND:USW00023091,2249
",,W,",PGTM,2017-12-24T00:00:00,GHCND:USW00023091,1204
",,W,",PGTM,2017-12-25T00:00:00,GHCND:USW00023091,348
",,W,",PGTM,2017-12-26T00:00:00,GHCND:USW00023091,1354
",,W,",PGTM,2017-12-27T00:00:00,GHCND:USW00023091,219
",,W,",PGTM,2017-12-28T00:00:00,GHCND:USW00023091,2200
",,W,",PGTM,2017-12-29T00:00:00,GHCND:USW00023091,2311
",,W,",PGTM,2017-12-30T00:00:00,GHCND:USW00023091,243
",,W,",PGTM,2017-12-31T00:00:00,GHCND:USW00023091,1018
