attributes,datatype,date,station,value
",,W,",PGTM,2017-01-01T00:00:00,GHCND:USW00013932,2311
",,W,",PGTM,2017-01-02T00:00:00,GHCND:USW00013932,2354
",,W,",PGTM,2017-01-03T00:00:00,GHCND:USW00013932,654
",,W,",PGTM,2017-01-04T00:00:00,GHCND:USW00013932,2322
",,W,",PGTM,2017-01-05T00:00:00,GHCND:USW00013932,841
",,W,",PGTM,2017-01-06T00:00:00,GHCND:USW00013932,1
",,W,",PGTM,2017-01-07T00:00:00,GHCND:USW00013932,2152
",,W,",PGTM,2017-01-08T00:00:00,GHCND:USW00013932,1046
",,W,",PGTM,2017-01-09T00:00:00,GHCND:USW00013932,2237
",,W,",PGTM,2017-01-10T00:00:00,GHCND:USW00013932,409
",,W,",PGTM,2017-01-11T00:00:00,GHCND:USW00013932,1155
",,W,",PGTM,2017-01-12T00:00:00,GHCND:USW00013932,136
",,W,",PGTM,2017-01-13T00:00:00,GHCND:USW00013932,403
",,W,",PGTM,2017-01-14T00:00:00,GHCND:USW00013932,132
",,W,",PGTM,2017-01-15T00:00:00,GHCND:USW00013932,2315
",,W,",PGTM,2017-01-16T00:00:00,GHCND:USW00013932,524
",,W,",PGTM,2017-01-17T00:00:00,GHCND:USW00013932,451
",,W,",PGTM,2017-01-18T00:00:00,GHCND:USW00013932,1240
",,W,",PGTM,2017-01-19T00:00:00,GHCND:USW00013932,1507
",,W,",PGTM,2017-01-20T00:00:00,GHCND:USW00013932,1503
",,W,",PGTM,2017-01-21T00:00:00,GHCND:USW00013932,12
",,W,",PGTM,2017-01-23T00:00:00,GHCND:USW00013932,1545
",,W,",PGTM,2017-01-24T00:00:00,GHCND:USW00013932,1247
",,W,",PGTM,2017-01-25T00:00:00,GHCND:USW00013932,1334
",,W,",PGTM,2017-01-26T00:00:00,GHCND:USW00013932,1208
",,W,",PGTM,2017-01-27T00:00:00,GHCND:USW00013932,1628
",,W,",PGTM,2017-01-28T00:00:00,GHCND:USW00013932,1050
