attributes,datatype,date,station,value
",,7,",WDMV,2017-01-06T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-01-18T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-01-19T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-01-20T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-02-15T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-02-16T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-02-17T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-03-01T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-03-02T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-03-15T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-03-16T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-03-29T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-03-30T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-04-12T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-04-13T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-04-26T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-04-27T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-05-10T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-05-11T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-05-14T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-05-24T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-05-25T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-06-07T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-06-08T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-06-09T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-06-21T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-06-22T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-07-05T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-07-06T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-07-19T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-07-20T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-08-02T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-08-30T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-08-31T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-09-01T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-09-02T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-09-03T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-09-04T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-09-13T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-09-14T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-09-27T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-09-28T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-09-29T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-10-11T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-10-12T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-10-13T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-10-25T00:00:00,GHCND:USC00049001,0.0
",,7,",WDMV,2017-10-26T00:00:00,GHCND:USC00049001,0.0
