attributes,datatype,date,station,value
",,W,",PGTM,2017-03-15T00:00:00,GHCND:USW00024133,2249
",,W,",PGTM,2017-10-04T00:00:00,GHCND:USW00024133,1154
",,W,",PGTM,2017-12-01T00:00:00,GHCND:USW00024133,1901
",,W,",PGTM,2017-12-02T00:00:00,GHCND:USW00024133,2359
",,W,",PGTM,2017-12-03T00:00:00,GHCND:USW00024133,1731
",,W,",PGTM,2017-12-04T00:00:00,GHCND:USW00024133,47
",,W,",PGTM,2017-12-05T00:00:00,GHCND:USW00024133,1451
",,W,",PGTM,2017-12-06T00:00:00,GHCND:USW00024133,955
",,W,",PGTM,2017-12-07T00:00:00,GHCND:USW00024133,2050
",,W,",PGTM,2017-12-08T00:00:00,GHCND:USW00024133,2141
",,W,",PGTM,2017-12-09T00:00:00,GHCND:USW00024133,948
",,W,",PGTM,2017-12-10T00:00:00,GHCND:USW00024133,1328
",,W,",PGTM,2017-12-11T00:00:00,GHCND:USW00024133,1944
",,W,",PGTM,2017-12-12T00:00:00,GHCND:USW00024133,1719
",,W,",PGTM,2017-12-13T00:00:00,GHCND:USW00024133,1727
",,W,",PGTM,2017-12-14T00:00:00,GHCND:USW00024133,950
",,W,",PGTM,2017-12-15T00:00:00,GHCND:USW00024133,2229
",,W,",PGTM,2017-12-16T00:00:00,GHCND:USW00024133,2248
",,W,",PGTM,2017-12-17T00:00:00,GHCND:USW00024133,345
",,W,",PGTM,2017-12-18T00:00:00,GHCND:USW00024133,930
",,W,",PGTM,2017-12-19T00:00:00,GHCND:USW00024133,2013
",,W,",PGTM,2017-12-20T00:00:00,GHCND:USW00024133,1537
",,W,",PGTM,2017-12-21T00:00:00,GHCND:USW00024133,951
",,W,",PGTM,2017-12-22T00:00:00,GHCND:USW00024133,619
",,W,",PGTM,2017-12-23T00:00:00,GHCND:USW00024133,1326
",,W,",PGTM,2017-12-24T00:00:00,GHCND:USW00024133,1357
",,W,",PGTM,2017-12-25T00:00:00,GHCND:USW00024133,2113
",,W,",PGTM,2017-12-26T00:00:00,GHCND:USW00024133,337
",,W,",PGTM,2017-12-27T00:00:00,GHCND:USW00024133,1215
",,W,",PGTM,2017-12-28T00:00:00,GHCND:USW00024133,1210
",,W,",PGTM,2017-12-29T00:00:00,GHCND:USW00024133,2113
",,W,",PGTM,2017-12-30T00:00:00,GHCND:USW00024133,1515
",,W,",PGTM,2017-12-31T00:00:00,GHCND:USW00024133,1901
