attributes,datatype,date,station,value
",,W,",PGTM,2017-03-12T00:00:00,GHCND:USW00024150,127
",,W,",PGTM,2017-12-13T00:00:00,GHCND:USW00024150,1118
",,W,",PGTM,2017-12-14T00:00:00,GHCND:USW00024150,2123
",,W,",PGTM,2017-12-15T00:00:00,GHCND:USW00024150,1005
",,W,",PGTM,2017-12-16T00:00:00,GHCND:USW00024150,1225
",,W,",PGTM,2017-12-17T00:00:00,GHCND:USW00024150,850
",,W,",PGTM,2017-12-18T00:00:00,GHCND:USW00024150,128
",,W,",PGTM,2017-12-19T00:00:00,GHCND:USW00024150,2353
",,W,",PGTM,2017-12-20T00:00:00,GHCND:USW00024150,29
",,W,",PGTM,2017-12-21T00:00:00,GHCND:USW00024150,2258
",,W,",PGTM,2017-12-22T00:00:00,GHCND:USW00024150,7
",,W,",PGTM,2017-12-23T00:00:00,GHCND:USW00024150,1623
",,W,",PGTM,2017-12-24T00:00:00,GHCND:USW00024150,224
",,W,",PGTM,2017-12-25T00:00:00,GHCND:USW00024150,14
",,W,",PGTM,2017-12-26T00:00:00,GHCND:USW00024150,2313
",,W,",PGTM,2017-12-27T00:00:00,GHCND:USW00024150,31
",,W,",PGTM,2017-12-28T00:00:00,GHCND:USW00024150,2331
",,W,",PGTM,2017-12-29T00:00:00,GHCND:USW00024150,1
",,W,",PGTM,2017-12-30T00:00:00,GHCND:USW00024150,1750
",,W,",PGTM,2017-12-31T00:00:00,GHCND:USW00024150,106
