attributes,datatype,date,station,value
",,W,",PGTM,2017-05-18T00:00:00,GHCND:USW00094194,1311
",,W,",PGTM,2017-12-01T00:00:00,GHCND:USW00094194,948
",,W,",PGTM,2017-12-02T00:00:00,GHCND:USW00094194,1716
",,W,",PGTM,2017-12-03T00:00:00,GHCND:USW00094194,1239
",,W,",PGTM,2017-12-04T00:00:00,GHCND:USW00094194,5
",,W,",PGTM,2017-12-05T00:00:00,GHCND:USW00094194,35
",,W,",PGTM,2017-12-06T00:00:00,GHCND:USW00094194,2349
",,W,",PGTM,2017-12-07T00:00:00,GHCND:USW00094194,1316
",,W,",PGTM,2017-12-08T00:00:00,GHCND:USW00094194,830
",,W,",PGTM,2017-12-09T00:00:00,GHCND:USW00094194,2352
",,W,",PGTM,2017-12-10T00:00:00,GHCND:USW00094194,1756
",,W,",PGTM,2017-12-11T00:00:00,GHCND:USW00094194,858
",,W,",PGTM,2017-12-12T00:00:00,GHCND:USW00094194,1312
",,W,",PGTM,2017-12-13T00:00:00,GHCND:USW00094194,2004
",,W,",PGTM,2017-12-14T00:00:00,GHCND:USW00094194,2234
",,W,",PGTM,2017-12-15T00:00:00,GHCND:USW00094194,1203
",,W,",PGTM,2017-12-16T00:00:00,GHCND:USW00094194,1123
",,W,",PGTM,2017-12-17T00:00:00,GHCND:USW00094194,550
",,W,",PGTM,2017-12-18T00:00:00,GHCND:USW00094194,1614
",,W,",PGTM,2017-12-19T00:00:00,GHCND:USW00094194,2327
",,W,",PGTM,2017-12-20T00:00:00,GHCND:USW00094194,956
",,W,",PGTM,2017-12-21T00:00:00,GHCND:USW00094194,1744
",,W,",PGTM,2017-12-22T00:00:00,GHCND:USW00094194,1918
",,W,",PGTM,2017-12-23T00:00:00,GHCND:USW00094194,1654
",,W,",PGTM,2017-12-24T00:00:00,GHCND:USW00094194,220
",,W,",PGTM,2017-12-25T00:00:00,GHCND:USW00094194,1713
",,W,",PGTM,2017-12-26T00:00:00,GHCND:USW00094194,215
",,W,",PGTM,2017-12-27T00:00:00,GHCND:USW00094194,2359
",,W,",PGTM,2017-12-28T00:00:00,GHCND:USW00094194,256
",,W,",PGTM,2017-12-29T00:00:00,GHCND:USW00094194,1842
",,W,",PGTM,2017-12-30T00:00:00,GHCND:USW00094194,1037
",,W,",PGTM,2017-12-31T00:00:00,GHCND:USW00094194,51
