attributes,datatype,date,station,value
",,7,",WDMV,2017-01-01T00:00:00,GHCND:USC00414967,599.0
",,7,",WDMV,2017-01-02T00:00:00,GHCND:USC00414967,133.0
",,7,",WDMV,2017-01-03T00:00:00,GHCND:USC00414967,152.9
",,7,",WDMV,2017-01-04T00:00:00,GHCND:USC00414967,96.9
",,7,",WDMV,2017-01-05T00:00:00,GHCND:USC00414967,137.9
",,7,",WDMV,2017-01-06T00:00:00,GHCND:USC00414967,149.8
",,7,",WDMV,2017-01-07T00:00:00,GHCND:USC00414967,110.0
",,7,",WDMV,2017-01-08T00:00:00,GHCND:USC00414967,111.2
",,7,",WDMV,2017-01-09T00:00:00,GHCND:USC00414967,162.2
",,7,",WDMV,2017-01-10T00:00:00,GHCND:USC00414967,218.7
",,7,",WDMV,2017-01-11T00:00:00,GHCND:USC00414967,126.1
",,7,",WDMV,2017-01-12T00:00:00,GHCND:USC00414967,170.3
",,7,",WDMV,2017-01-13T00:00:00,GHCND:USC00414967,108.1
",,7,",WDMV,2017-01-14T00:00:00,GHCND:USC00414967,103.1
",,7,",WDMV,2017-01-15T00:00:00,GHCND:USC00414967,77.1
",,7,",WDMV,2017-01-16T00:00:00,GHCND:USC00414967,73.9
",,7,",WDMV,2017-01-17T00:00:00,GHCND:USC00414967,52.8
",,7,",WDMV,2017-01-18T00:00:00,GHCND:USC00414967,52.2
",,7,",WDMV,2017-01-19T00:00:00,GHCND:USC00414967,95.7
",,7,",WDMV,2017-01-20T00:00:00,GHCND:USC00414967,246.1
",,7,",WDMV,2017-01-21T00:00:00,GHCND:USC00414967,188.3
",,7,",WDMV,2017-01-22T00:00:00,GHCND:USC00414967,295.2
",,7,",WDMV,2017-01-23T00:00:00,GHCND:USC00414967,106.9
",,7,",WDMV,2017-01-24T00:00:00,GHCND:USC00414967,126.8
",,7,",WDMV,2017-01-25T00:00:00,GHCND:USC00414967,172.7
",,7,",WDMV,2017-01-26T00:00:00,GHCND:USC00414967,49.7
",,7,",WDMV,2017-01-27T00:00:00,GHCND:USC00414967,70.8
",,7,",WDMV,2017-01-28T00:00:00,GHCND:USC00414967,98.8
",,7,",WDMV,2017-01-29T00:00:00,GHCND:USC00414967,118.1
",,7,",WDMV,2017-01-30T00:00:00,GHCND:USC00414967,124.9
",,7,",WDMV,2017-01-31T00:00:00,GHCND:USC00414967,126.1
",,7,",WDMV,2017-02-01T00:00:00,GHCND:USC00414967,142.9
",,7,",WDMV,2017-02-02T00:00:00,GHCND:USC00414967,136.7
",,7,",WDMV,2017-02-03T00:00:00,GHCND:USC00414967,70.8
",,7,",WDMV,2017-02-04T00:00:00,GHCND:USC00414967,126.1
",,7,",WDMV,2017-02-05T00:00:00,GHCND:USC00414967,93.8
",,7,",WDMV,2017-02-06T00:00:00,GHCND:USC00414967,111.8
",,7,",WDMV,2017-02-07T00:00:00,GHCND:USC00414967,221.8
",,7,",WDMV,2017-02-08T00:00:00,GHCND:USC00414967,170.9
",,7,",WDMV,2017-02-09T00:00:00,GHCND:USC00414967,87.0
",,7,",WDMV,2017-02-10T00:00:00,GHCND:USC00414967,144.2
",,7,",WDMV,2017-02-11T00:00:00,GHCND:USC00414967,203.2
",,7,",WDMV,2017-02-12T00:00:00,GHCND:USC00414967,182.1
",,7,",WDMV,2017-02-13T00:00:00,GHCND:USC00414967,133.0
",,7,",WDMV,2017-02-14T00:00:00,GHCND:USC00414967,106.3
",,7,",WDMV,2017-02-15T00:00:00,GHCND:USC00414967,154.7
",,7,",WDMV,2017-02-16T00:00:00,GHCND:USC00414967,65.9
",,7,",WDMV,2017-02-17T00:00:00,GHCND:USC00414967,141.1
",,7,",WDMV,2017-02-18T00:00:00,GHCND:USC00414967,129.2
",,7,",WDMV,2017-02-19T00:00:00,GHCND:USC00414967,77.1
",,7,",WDMV,2017-02-20T00:00:00,GHCND:USC00414967,157.2
",,7,",WDMV,2017-02-21T00:00:00,GHCND:USC00414967,136.1
",,7,",WDMV,2017-02-22T00:00:00,GHCND:USC00414967,59.0
",,7,",WDMV,2017-02-23T00:00:00,GHCND:USC00414967,118.1
",,7,",WDMV,2017-02-24T00:00:00,GHCND:USC00414967,238.0
",,7,",WDMV,2017-02-25T00:00:00,GHCND:USC00414967,115.0
",,7,",WDMV,2017-02-26T00:00:00,GHCND:USC00414967,108.7
",,7,",WDMV,2017-02-27T00:00:00,GHCND:USC00414967,70.2
",,7,",WDMV,2017-02-28T00:00:00,GHCND:USC00414967,106.3
",,7,",WDMV,2017-03-01T00:00:00,GHCND:USC00414967,185.8
",,7,",WDMV,2017-03-02T00:00:00,GHCND:USC00414967,69.0
",,7,",WDMV,2017-03-03T00:00:00,GHCND:USC00414967,108.7
",,7,",WDMV,2017-03-04T00:00:00,GHCND:USC00414967,124.3
",,7,",WDMV,2017-03-05T00:00:00,GHCND:USC00414967,213.8
",,7,",WDMV,2017-03-06T00:00:00,GHCND:USC00414967,177.7
",,7,",WDMV,2017-03-07T00:00:00,GHCND:USC00414967,175.2
",,7,",WDMV,2017-03-08T00:00:00,GHCND:USC00414967,69.0
",,7,",WDMV,2017-03-09T00:00:00,GHCND:USC00414967,159.7
",,7,",WDMV,2017-03-10T00:00:00,GHCND:USC00414967,106.3
",,7,",WDMV,2017-03-11T00:00:00,GHCND:USC00414967,105.0
",,7,",WDMV,2017-03-12T00:00:00,GHCND:USC00414967,141.1
",,7,",WDMV,2017-03-13T00:00:00,GHCND:USC00414967,83.3
",,7,",WDMV,2017-03-14T00:00:00,GHCND:USC00414967,72.7
",,7,",WDMV,2017-03-15T00:00:00,GHCND:USC00414967,108.7
",,7,",WDMV,2017-03-16T00:00:00,GHCND:USC00414967,113.7
",,7,",WDMV,2017-03-17T00:00:00,GHCND:USC00414967,200.1
",,7,",WDMV,2017-03-18T00:00:00,GHCND:USC00414967,78.3
",,7,",WDMV,2017-03-19T00:00:00,GHCND:USC00414967,106.3
",,7,",WDMV,2017-03-20T00:00:00,GHCND:USC00414967,188.3
",,7,",WDMV,2017-03-21T00:00:00,GHCND:USC00414967,175.2
",,7,",WDMV,2017-03-22T00:00:00,GHCND:USC00414967,93.2
",,7,",WDMV,2017-03-23T00:00:00,GHCND:USC00414967,144.2
",,7,",WDMV,2017-03-24T00:00:00,GHCND:USC00414967,302.0
",,7,",WDMV,2017-03-26T00:00:00,GHCND:USC00414967,78.9
",,7,",WDMV,2017-03-27T00:00:00,GHCND:USC00414967,113.7
",,7,",WDMV,2017-03-28T00:00:00,GHCND:USC00414967,69.0
",,7,",WDMV,2017-03-29T00:00:00,GHCND:USC00414967,118.1
",,7,",WDMV,2017-03-30T00:00:00,GHCND:USC00414967,149.1
",,7,",WDMV,2017-03-31T00:00:00,GHCND:USC00414967,103.1
",,7,",WDMV,2017-04-01T00:00:00,GHCND:USC00414967,149.1
",,7,",WDMV,2017-04-02T00:00:00,GHCND:USC00414967,119.3
",,7,",WDMV,2017-04-03T00:00:00,GHCND:USC00414967,126.1
