attributes,datatype,date,station,value
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00014755,61.7
",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00014755,30.4
",,W,",AWND,2017-01-03T00:00:00,GHCND:USW00014755,37.1
",,W,",AWND,2017-01-04T00:00:00,GHCND:USW00014755,49.7
",,W,",AWND,2017-01-05T00:00:00,GHCND:USW00014755,63.1
",,W,",AWND,2017-01-06T00:00:00,GHCND:USW00014755,36.5
",,W,",AWND,2017-01-07T00:00:00,GHCND:USW00014755,19.0
",,W,",AWND,2017-01-08T00:00:00,GHCND:USW00014755,41.6
",,W,",AWND,2017-01-09T00:00:00,GHCND:USW00014755,45.6
",,W,",AWND,2017-01-10T00:00:00,GHCND:USW00014755,50.1
",,W,",AWND,2017-01-11T00:00:00,GHCND:USW00014755,59.1
",,W,",AWND,2017-01-12T00:00:00,GHCND:USW00014755,58.6
",,W,",AWND,2017-01-13T00:00:00,GHCND:USW00014755,68.5
",,W,",AWND,2017-01-14T00:00:00,GHCND:USW00014755,51.0
",,W,",AWND,2017-01-15T00:00:00,GHCND:USW00014755,61.3
",,W,",AWND,2017-01-16T00:00:00,GHCND:USW00014755,49.2
",,W,",AWND,2017-01-17T00:00:00,GHCND:USW00014755,31.5
",,W,",AWND,2017-01-18T00:00:00,GHCND:USW00014755,22.4
",,W,",AWND,2017-01-19T00:00:00,GHCND:USW00014755,45.4
",,W,",AWND,2017-01-20T00:00:00,GHCND:USW00014755,21.9
",,W,",AWND,2017-01-21T00:00:00,GHCND:USW00014755,38.0
",,W,",AWND,2017-01-22T00:00:00,GHCND:USW00014755,34.2
",,W,",AWND,2017-01-23T00:00:00,GHCND:USW00014755,38.3
",,W,",AWND,2017-01-24T00:00:00,GHCND:USW00014755,49.9
",,W,",AWND,2017-01-25T00:00:00,GHCND:USW00014755,41.8
",,W,",AWND,2017-01-26T00:00:00,GHCND:USW00014755,62.9
",,W,",AWND,2017-01-27T00:00:00,GHCND:USW00014755,87.7
",,W,",AWND,2017-01-28T00:00:00,GHCND:USW00014755,73.8
",,W,",AWND,2017-01-29T00:00:00,GHCND:USW00014755,38.7
",,W,",AWND,2017-01-30T00:00:00,GHCND:USW00014755,28.9
",,W,",AWND,2017-01-31T00:00:00,GHCND:USW00014755,27.5
",,W,",AWND,2017-02-01T00:00:00,GHCND:USW00014755,49.2
",,W,",AWND,2017-02-02T00:00:00,GHCND:USW00014755,57.0
",,W,",AWND,2017-02-03T00:00:00,GHCND:USW00014755,55.7
",,W,",AWND,2017-02-04T00:00:00,GHCND:USW00014755,67.6
",,W,",AWND,2017-02-05T00:00:00,GHCND:USW00014755,57.3
",,W,",AWND,2017-02-06T00:00:00,GHCND:USW00014755,63.5
",,W,",AWND,2017-02-07T00:00:00,GHCND:USW00014755,38.5
",,W,",AWND,2017-02-08T00:00:00,GHCND:USW00014755,66.2
",,W,",AWND,2017-02-09T00:00:00,GHCND:USW00014755,38.3
",,W,",AWND,2017-02-10T00:00:00,GHCND:USW00014755,70.2
",,W,",AWND,2017-02-11T00:00:00,GHCND:USW00014755,28.2
",,W,",AWND,2017-02-12T00:00:00,GHCND:USW00014755,29.1
",,W,",AWND,2017-02-13T00:00:00,GHCND:USW00014755,41.2
",,W,",AWND,2017-02-14T00:00:00,GHCND:USW00014755,29.3
",,W,",AWND,2017-02-15T00:00:00,GHCND:USW00014755,30.4
",,W,",AWND,2017-02-16T00:00:00,GHCND:USW00014755,44.5
",,W,",AWND,2017-02-17T00:00:00,GHCND:USW00014755,60.6
",,W,",AWND,2017-02-18T00:00:00,GHCND:USW00014755,55.7
",,W,",AWND,2017-02-19T00:00:00,GHCND:USW00014755,71.8
",,W,",AWND,2017-02-20T00:00:00,GHCND:USW00014755,42.5
",,W,",AWND,2017-02-21T00:00:00,GHCND:USW00014755,25.1
",,W,",AWND,2017-02-22T00:00:00,GHCND:USW00014755,30.9
",,W,",AWND,2017-02-23T00:00:00,GHCND:USW00014755,55.0
",,W,",AWND,2017-02-24T00:00:00,GHCND:USW00014755,51.0
",,W,",AWND,2017-02-25T00:00:00,GHCND:USW00014755,46.1
",,W,",AWND,2017-02-26T00:00:00,GHCND:USW00014755,65.1
",,W,",AWND,2017-02-27T00:00:00,GHCND:USW00014755,63.5
",,W,",AWND,2017-02-28T00:00:00,GHCND:USW00014755,32.9
",,W,",AWND,2017-03-01T00:00:00,GHCND:USW00014755,53.9
",,W,",AWND,2017-03-02T00:00:00,GHCND:USW00014755,70.5
",,W,",AWND,2017-03-03T00:00:00,GHCND:USW00014755,50.8
",,W,",AWND,2017-03-04T00:00:00,GHCND:USW00014755,65.5
",,W,",AWND,2017-03-05T00:00:00,GHCND:USW00014755,49.7
",,W,",AWND,2017-03-06T00:00:00,GHCND:USW00014755,26.8
",,W,",AWND,2017-03-07T00:00:00,GHCND:USW00014755,44.5
",,W,",AWND,2017-03-08T00:00:00,GHCND:USW00014755,46.8
",,W,",AWND,2017-03-09T00:00:00,GHCND:USW00014755,70.0
",,W,",AWND,2017-03-10T00:00:00,GHCND:USW00014755,36.9
