attributes,datatype,date,station,value
",,W,",PGTM,2017-03-30T00:00:00,GHCND:USW00022516,1322
",,W,",PGTM,2017-03-31T00:00:00,GHCND:USW00022516,1353
",,W,",PGTM,2017-06-28T00:00:00,GHCND:USW00022516,1148
",,W,",PGTM,2017-06-29T00:00:00,GHCND:USW00022516,1525
",,W,",PGTM,2017-06-30T00:00:00,GHCND:USW00022516,1608
",,W,",PGTM,2017-07-18T00:00:00,GHCND:USW00022516,1403
",,W,",PGTM,2017-07-24T00:00:00,GHCND:USW00022516,1447
",,W,",PGTM,2017-07-28T00:00:00,GHCND:USW00022516,1710
",,W,",PGTM,2017-07-29T00:00:00,GHCND:USW00022516,1342
",,W,",PGTM,2017-07-30T00:00:00,GHCND:USW00022516,1556
",,W,",PGTM,2017-07-31T00:00:00,GHCND:USW00022516,1315
",,W,",PGTM,2017-10-07T00:00:00,GHCND:USW00022516,1107
",,W,",PGTM,2017-10-11T00:00:00,GHCND:USW00022516,1312
",,W,",PGTM,2017-10-12T00:00:00,GHCND:USW00022516,2056
",,W,",PGTM,2017-10-24T00:00:00,GHCND:USW00022516,257
",,W,",PGTM,2017-10-25T00:00:00,GHCND:USW00022516,1729
",,W,",PGTM,2017-10-31T00:00:00,GHCND:USW00022516,1334
",,W,",PGTM,2017-12-01T00:00:00,GHCND:USW00022516,1149
",,W,",PGTM,2017-12-02T00:00:00,GHCND:USW00022516,1221
",,W,",PGTM,2017-12-03T00:00:00,GHCND:USW00022516,1546
",,W,",PGTM,2017-12-04T00:00:00,GHCND:USW00022516,2214
",,W,",PGTM,2017-12-05T00:00:00,GHCND:USW00022516,812
",,W,",PGTM,2017-12-06T00:00:00,GHCND:USW00022516,5
",,W,",PGTM,2017-12-07T00:00:00,GHCND:USW00022516,1345
",,W,",PGTM,2017-12-08T00:00:00,GHCND:USW00022516,1447
",,W,",PGTM,2017-12-09T00:00:00,GHCND:USW00022516,1026
",,W,",PGTM,2017-12-10T00:00:00,GHCND:USW00022516,1240
",,W,",PGTM,2017-12-11T00:00:00,GHCND:USW00022516,1247
",,W,",PGTM,2017-12-12T00:00:00,GHCND:USW00022516,1311
",,W,",PGTM,2017-12-13T00:00:00,GHCND:USW00022516,2147
",,W,",PGTM,2017-12-14T00:00:00,GHCND:USW00022516,535
",,W,",PGTM,2017-12-15T00:00:00,GHCND:USW00022516,523
",,W,",PGTM,2017-12-16T00:00:00,GHCND:USW00022516,1328
",,W,",PGTM,2017-12-17T00:00:00,GHCND:USW00022516,1218
",,W,",PGTM,2017-12-18T00:00:00,GHCND:USW00022516,1322
",,W,",PGTM,2017-12-19T00:00:00,GHCND:USW00022516,637
",,W,",PGTM,2017-12-20T00:00:00,GHCND:USW00022516,1313
",,W,",PGTM,2017-12-21T00:00:00,GHCND:USW00022516,2007
",,W,",PGTM,2017-12-22T00:00:00,GHCND:USW00022516,749
",,W,",PGTM,2017-12-23T00:00:00,GHCND:USW00022516,1154
",,W,",PGTM,2017-12-24T00:00:00,GHCND:USW00022516,1413
",,W,",PGTM,2017-12-25T00:00:00,GHCND:USW00022516,1234
",,W,",PGTM,2017-12-26T00:00:00,GHCND:USW00022516,1627
",,W,",PGTM,2017-12-27T00:00:00,GHCND:USW00022516,734
",,W,",PGTM,2017-12-28T00:00:00,GHCND:USW00022516,1244
",,W,",PGTM,2017-12-29T00:00:00,GHCND:USW00022516,1307
",,W,",PGTM,2017-12-30T00:00:00,GHCND:USW00022516,1605
",,W,",PGTM,2017-12-31T00:00:00,GHCND:USW00022516,1320
