attributes,datatype,date,station,value
",,7,",AWND,2017-01-02T00:00:00,GHCND:USC00218947,6.0
",,7,",AWND,2017-01-03T00:00:00,GHCND:USC00218947,17.9
",,7,",AWND,2017-01-04T00:00:00,GHCND:USC00218947,6.9
",,7,",AWND,2017-01-05T00:00:00,GHCND:USC00218947,2.0
",,7,",AWND,2017-01-06T00:00:00,GHCND:USC00218947,6.0
",,7,",AWND,2017-01-07T00:00:00,GHCND:USC00218947,4.9
",,7,",AWND,2017-01-08T00:00:00,GHCND:USC00218947,17.9
",,7,",AWND,2017-01-10T00:00:00,GHCND:USC00218947,15.0
",,7,",AWND,2017-01-11T00:00:00,GHCND:USC00218947,4.9
",,7,",AWND,2017-01-12T00:00:00,GHCND:USC00218947,16.1
",,7,",AWND,2017-01-13T00:00:00,GHCND:USC00218947,13.0
",,7,",AWND,2017-01-14T00:00:00,GHCND:USC00218947,10.1
",,7,",AWND,2017-01-15T00:00:00,GHCND:USC00218947,10.1
",,7,",AWND,2017-01-16T00:00:00,GHCND:USC00218947,6.0
",,7,",AWND,2017-01-17T00:00:00,GHCND:USC00218947,2.0
",,7,",AWND,2017-01-18T00:00:00,GHCND:USC00218947,2.9
",,7,",AWND,2017-01-19T00:00:00,GHCND:USC00218947,12.1
",,7,",AWND,2017-01-20T00:00:00,GHCND:USC00218947,8.1
",,7,",AWND,2017-01-21T00:00:00,GHCND:USC00218947,8.9
",,7,",AWND,2017-01-22T00:00:00,GHCND:USC00218947,6.9
",,7,",AWND,2017-01-23T00:00:00,GHCND:USC00218947,2.0
",,7,",AWND,2017-01-24T00:00:00,GHCND:USC00218947,6.9
",,7,",AWND,2017-01-25T00:00:00,GHCND:USC00218947,16.1
",,7,",AWND,2017-01-26T00:00:00,GHCND:USC00218947,4.0
",,7,",AWND,2017-01-27T00:00:00,GHCND:USC00218947,2.0
",,7,",AWND,2017-01-28T00:00:00,GHCND:USC00218947,14.1
",,7,",AWND,2017-01-29T00:00:00,GHCND:USC00218947,8.1
",,7,",AWND,2017-01-30T00:00:00,GHCND:USC00218947,6.0
",,7,",AWND,2017-01-31T00:00:00,GHCND:USC00218947,4.0
",,7,",AWND,2017-02-01T00:00:00,GHCND:USC00218947,2.9
",,7,",AWND,2017-02-02T00:00:00,GHCND:USC00218947,6.9
",,7,",AWND,2017-02-03T00:00:00,GHCND:USC00218947,2.0
",,7,",AWND,2017-02-04T00:00:00,GHCND:USC00218947,8.9
",,7,",AWND,2017-02-05T00:00:00,GHCND:USC00218947,2.9
",,7,",AWND,2017-02-06T00:00:00,GHCND:USC00218947,2.9
",,7,",AWND,2017-02-07T00:00:00,GHCND:USC00218947,13.0
",,7,",AWND,2017-02-08T00:00:00,GHCND:USC00218947,2.0
",,7,",AWND,2017-02-09T00:00:00,GHCND:USC00218947,2.9
",,7,",AWND,2017-02-10T00:00:00,GHCND:USC00218947,4.9
",,7,",AWND,2017-02-12T00:00:00,GHCND:USC00218947,15.0
",,7,",AWND,2017-02-13T00:00:00,GHCND:USC00218947,2.0
",,7,",AWND,2017-02-14T00:00:00,GHCND:USC00218947,12.1
",,7,",AWND,2017-02-15T00:00:00,GHCND:USC00218947,2.0
",,7,",AWND,2017-02-16T00:00:00,GHCND:USC00218947,2.0
",,7,",AWND,2017-02-17T00:00:00,GHCND:USC00218947,6.0
",,7,",AWND,2017-02-18T00:00:00,GHCND:USC00218947,2.9
",,7,",AWND,2017-02-19T00:00:00,GHCND:USC00218947,14.1
",,7,",AWND,2017-02-20T00:00:00,GHCND:USC00218947,15.0
",,7,",AWND,2017-02-21T00:00:00,GHCND:USC00218947,12.1
",,7,",AWND,2017-02-22T00:00:00,GHCND:USC00218947,13.0
",,7,",AWND,2017-02-23T00:00:00,GHCND:USC00218947,8.9
",,7,",AWND,2017-02-24T00:00:00,GHCND:USC00218947,16.1
",,7,",AWND,2017-02-25T00:00:00,GHCND:USC00218947,4.9
",,7,",AWND,2017-02-26T00:00:00,GHCND:USC00218947,6.0
",,7,",AWND,2017-02-27T00:00:00,GHCND:USC00218947,4.0
",,7,",AWND,2017-02-28T00:00:00,GHCND:USC00218947,10.1
",,7,",AWND,2017-03-01T00:00:00,GHCND:USC00218947,4.0
",,7,",AWND,2017-03-02T00:00:00,GHCND:USC00218947,8.1
",,7,",AWND,2017-03-03T00:00:00,GHCND:USC00218947,4.9
",,7,",AWND,2017-03-04T00:00:00,GHCND:USC00218947,16.1
",,7,",AWND,2017-03-05T00:00:00,GHCND:USC00218947,2.9
",,7,",AWND,2017-03-06T00:00:00,GHCND:USC00218947,21.0
",,7,",AWND,2017-03-07T00:00:00,GHCND:USC00218947,21.9
",,7,",AWND,2017-03-08T00:00:00,GHCND:USC00218947,33.1
",,7,",AWND,2017-03-09T00:00:00,GHCND:USC00218947,13.0
",,7,",AWND,2017-03-10T00:00:00,GHCND:USC00218947,8.9
",,7,",AWND,2017-03-11T00:00:00,GHCND:USC00218947,8.1
",,7,",AWND,2017-03-12T00:00:00,GHCND:USC00218947,13.0
",,7,",AWND,2017-03-13T00:00:00,GHCND:USC00218947,4.0
",,7,",AWND,2017-03-14T00:00:00,GHCND:USC00218947,4.0
",,7,",AWND,2017-03-15T00:00:00,GHCND:USC00218947,4.9
",,7,",AWND,2017-03-16T00:00:00,GHCND:USC00218947,15.0
",,7,",AWND,2017-03-17T00:00:00,GHCND:USC00218947,15.0
",,7,",AWND,2017-03-18T00:00:00,GHCND:USC00218947,6.0
",,7,",AWND,2017-03-19T00:00:00,GHCND:USC00218947,25.1
",,7,",AWND,2017-03-20T00:00:00,GHCND:USC00218947,8.1
",,7,",AWND,2017-03-21T00:00:00,GHCND:USC00218947,15.0
",,7,",AWND,2017-03-22T00:00:00,GHCND:USC00218947,11.0
",,7,",AWND,2017-03-23T00:00:00,GHCND:USC00218947,10.1
",,7,",AWND,2017-03-24T00:00:00,GHCND:USC00218947,13.0
",,7,",AWND,2017-03-25T00:00:00,GHCND:USC00218947,13.0
",,7,",AWND,2017-03-28T00:00:00,GHCND:USC00218947,2.9
",,7,",AWND,2017-03-29T00:00:00,GHCND:USC00218947,2.0
",,7,",AWND,2017-03-30T00:00:00,GHCND:USC00218947,4.9
",,7,",AWND,2017-04-01T00:00:00,GHCND:USC00218947,2.9
",,7,",AWND,2017-04-02T00:00:00,GHCND:USC00218947,10.1
",,7,",AWND,2017-04-03T00:00:00,GHCND:USC00218947,6.9
",,7,",AWND,2017-04-04T00:00:00,GHCND:USC00218947,4.9
",,7,",AWND,2017-04-05T00:00:00,GHCND:USC00218947,6.0
",,7,",AWND,2017-04-06T00:00:00,GHCND:USC00218947,6.0
",,7,",AWND,2017-04-07T00:00:00,GHCND:USC00218947,6.9
",,7,",AWND,2017-04-08T00:00:00,GHCND:USC00218947,13.0
",,7,",AWND,2017-04-09T00:00:00,GHCND:USC00218947,4.9
",,7,",AWND,2017-04-10T00:00:00,GHCND:USC00218947,17.9
",,7,",AWND,2017-04-12T00:00:00,GHCND:USC00218947,12.1
",,7,",AWND,2017-04-14T00:00:00,GHCND:USC00218947,15.0
",,7,",AWND,2017-04-15T00:00:00,GHCND:USC00218947,10.1
",,7,",AWND,2017-04-16T00:00:00,GHCND:USC00218947,4.9
",,7,",AWND,2017-04-17T00:00:00,GHCND:USC00218947,4.9
",,7,",AWND,2017-04-18T00:00:00,GHCND:USC00218947,14.1
",,7,",AWND,2017-04-19T00:00:00,GHCND:USC00218947,4.9
",,7,",AWND,2017-04-20T00:00:00,GHCND:USC00218947,6.9
",,7,",AWND,2017-04-21T00:00:00,GHCND:USC00218947,4.0
",,7,",AWND,2017-04-22T00:00:00,GHCND:USC00218947,6.0
",,7,",AWND,2017-04-23T00:00:00,GHCND:USC00218947,6.9
",,7,",AWND,2017-04-24T00:00:00,GHCND:USC00218947,12.1
",,7,",AWND,2017-04-25T00:00:00,GHCND:USC00218947,25.9
",,7,",AWND,2017-04-26T00:00:00,GHCND:USC00218947,15.0
",,7,",AWND,2017-04-27T00:00:00,GHCND:USC00218947,17.0
",,7,",AWND,2017-04-28T00:00:00,GHCND:USC00218947,6.0
",,7,",AWND,2017-04-30T00:00:00,GHCND:USC00218947,6.0
",,7,",AWND,2017-05-01T00:00:00,GHCND:USC00218947,4.0
",,7,",AWND,2017-05-03T00:00:00,GHCND:USC00218947,6.0
",,7,",AWND,2017-05-04T00:00:00,GHCND:USC00218947,2.0
",,7,",AWND,2017-05-07T00:00:00,GHCND:USC00218947,19.0
",,7,",AWND,2017-05-08T00:00:00,GHCND:USC00218947,15.0
",,7,",AWND,2017-05-09T00:00:00,GHCND:USC00218947,8.9
",,7,",AWND,2017-05-10T00:00:00,GHCND:USC00218947,2.9
",,7,",AWND,2017-05-11T00:00:00,GHCND:USC00218947,2.0
",,7,",AWND,2017-05-12T00:00:00,GHCND:USC00218947,6.9
",,7,",AWND,2017-05-13T00:00:00,GHCND:USC00218947,8.9
",,7,",AWND,2017-05-14T00:00:00,GHCND:USC00218947,13.0
",,7,",AWND,2017-05-15T00:00:00,GHCND:USC00218947,2.0
",,7,",AWND,2017-05-16T00:00:00,GHCND:USC00218947,6.9
",,7,",AWND,2017-05-17T00:00:00,GHCND:USC00218947,8.1
",,7,",AWND,2017-05-18T00:00:00,GHCND:USC00218947,19.0
",,7,",AWND,2017-05-19T00:00:00,GHCND:USC00218947,6.0
",,7,",AWND,2017-05-20T00:00:00,GHCND:USC00218947,8.1
",,7,",AWND,2017-05-21T00:00:00,GHCND:USC00218947,14.1
",,7,",AWND,2017-05-22T00:00:00,GHCND:USC00218947,4.9
",,7,",AWND,2017-05-23T00:00:00,GHCND:USC00218947,13.0
",,7,",AWND,2017-05-24T00:00:00,GHCND:USC00218947,4.0
",,7,",AWND,2017-05-25T00:00:00,GHCND:USC00218947,12.1
",,7,",AWND,2017-05-26T00:00:00,GHCND:USC00218947,4.0
",,7,",AWND,2017-05-27T00:00:00,GHCND:USC00218947,6.0
",,7,",AWND,2017-05-28T00:00:00,GHCND:USC00218947,6.0
",,7,",AWND,2017-05-29T00:00:00,GHCND:USC00218947,13.0
",,7,",AWND,2017-05-30T00:00:00,GHCND:USC00218947,2.0
",,7,",AWND,2017-05-31T00:00:00,GHCND:USC00218947,4.0
",,7,",AWND,2017-06-01T00:00:00,GHCND:USC00218947,4.0
",,7,",AWND,2017-06-02T00:00:00,GHCND:USC00218947,17.0
",,7,",AWND,2017-06-03T00:00:00,GHCND:USC00218947,6.9
",,7,",AWND,2017-06-04T00:00:00,GHCND:USC00218947,6.9
",,7,",AWND,2017-06-05T00:00:00,GHCND:USC00218947,2.9
",,7,",AWND,2017-06-06T00:00:00,GHCND:USC00218947,2.9
",,7,",AWND,2017-06-07T00:00:00,GHCND:USC00218947,2.9
",,7,",AWND,2017-06-08T00:00:00,GHCND:USC00218947,0.9
",,7,",AWND,2017-06-09T00:00:00,GHCND:USC00218947,2.9
",,7,",AWND,2017-06-10T00:00:00,GHCND:USC00218947,23.0
",,7,",AWND,2017-06-11T00:00:00,GHCND:USC00218947,15.0
",,7,",AWND,2017-06-12T00:00:00,GHCND:USC00218947,6.0
",,7,",AWND,2017-06-13T00:00:00,GHCND:USC00218947,8.9
",,7,",AWND,2017-06-14T00:00:00,GHCND:USC00218947,2.9
",,7,",AWND,2017-06-15T00:00:00,GHCND:USC00218947,2.0
",,7,",AWND,2017-06-16T00:00:00,GHCND:USC00218947,0.9
",,7,",AWND,2017-06-17T00:00:00,GHCND:USC00218947,2.9
",,7,",AWND,2017-06-18T00:00:00,GHCND:USC00218947,10.1
",,7,",AWND,2017-06-19T00:00:00,GHCND:USC00218947,4.9
",,7,",AWND,2017-06-20T00:00:00,GHCND:USC00218947,11.0
",,7,",AWND,2017-06-21T00:00:00,GHCND:USC00218947,12.1
",,7,",AWND,2017-06-22T00:00:00,GHCND:USC00218947,0.9
",,7,",AWND,2017-06-23T00:00:00,GHCND:USC00218947,4.9
",,7,",AWND,2017-06-24T00:00:00,GHCND:USC00218947,6.0
",,7,",AWND,2017-06-25T00:00:00,GHCND:USC00218947,12.1
",,7,",AWND,2017-06-26T00:00:00,GHCND:USC00218947,4.0
",,7,",AWND,2017-06-27T00:00:00,GHCND:USC00218947,6.9
",,7,",AWND,2017-06-28T00:00:00,GHCND:USC00218947,10.1
",,7,",AWND,2017-06-30T00:00:00,GHCND:USC00218947,4.0
",,7,",AWND,2017-07-01T00:00:00,GHCND:USC00218947,4.9
",,7,",AWND,2017-07-02T00:00:00,GHCND:USC00218947,6.9
",,7,",AWND,2017-07-03T00:00:00,GHCND:USC00218947,0.9
",,7,",AWND,2017-07-04T00:00:00,GHCND:USC00218947,12.1
",,7,",AWND,2017-07-05T00:00:00,GHCND:USC00218947,2.0
",,7,",AWND,2017-07-06T00:00:00,GHCND:USC00218947,4.9
",,7,",AWND,2017-07-07T00:00:00,GHCND:USC00218947,0.9
",,7,",AWND,2017-07-09T00:00:00,GHCND:USC00218947,8.9
",,7,",AWND,2017-07-10T00:00:00,GHCND:USC00218947,4.0
",,7,",AWND,2017-07-11T00:00:00,GHCND:USC00218947,2.9
",,7,",AWND,2017-07-12T00:00:00,GHCND:USC00218947,2.0
",,7,",AWND,2017-07-13T00:00:00,GHCND:USC00218947,8.1
",,7,",AWND,2017-07-14T00:00:00,GHCND:USC00218947,0.9
",,7,",AWND,2017-07-15T00:00:00,GHCND:USC00218947,12.1
",,7,",AWND,2017-07-16T00:00:00,GHCND:USC00218947,0.9
",,7,",AWND,2017-07-17T00:00:00,GHCND:USC00218947,2.9
",,7,",AWND,2017-07-18T00:00:00,GHCND:USC00218947,17.9
