attributes,datatype,date,station,value
",,W,",PGTM,2017-01-01T00:00:00,GHCND:USW00014910,220
",,W,",PGTM,2017-01-02T00:00:00,GHCND:USW00014910,146
",,W,",PGTM,2017-01-03T00:00:00,GHCND:USW00014910,1117
",,W,",PGTM,2017-01-04T00:00:00,GHCND:USW00014910,541
",,W,",PGTM,2017-01-05T00:00:00,GHCND:USW00014910,1144
",,W,",PGTM,2017-01-06T00:00:00,GHCND:USW00014910,1337
",,W,",PGTM,2017-01-07T00:00:00,GHCND:USW00014910,353
",,W,",PGTM,2017-01-08T00:00:00,GHCND:USW00014910,1225
",,W,",PGTM,2017-01-09T00:00:00,GHCND:USW00014910,1624
",,W,",PGTM,2017-01-10T00:00:00,GHCND:USW00014910,1422
",,W,",PGTM,2017-01-11T00:00:00,GHCND:USW00014910,1100
",,W,",PGTM,2017-01-12T00:00:00,GHCND:USW00014910,1309
",,W,",PGTM,2017-01-13T00:00:00,GHCND:USW00014910,1243
",,W,",PGTM,2017-01-14T00:00:00,GHCND:USW00014910,438
",,W,",PGTM,2017-01-15T00:00:00,GHCND:USW00014910,1011
",,W,",PGTM,2017-01-16T00:00:00,GHCND:USW00014910,210
",,W,",PGTM,2017-01-17T00:00:00,GHCND:USW00014910,2150
",,W,",PGTM,2017-01-18T00:00:00,GHCND:USW00014910,310
",,W,",PGTM,2017-01-19T00:00:00,GHCND:USW00014910,1301
",,W,",PGTM,2017-01-20T00:00:00,GHCND:USW00014910,1912
",,W,",PGTM,2017-01-21T00:00:00,GHCND:USW00014910,808
",,W,",PGTM,2017-01-22T00:00:00,GHCND:USW00014910,1247
",,W,",PGTM,2017-01-23T00:00:00,GHCND:USW00014910,1020
",,W,",PGTM,2017-01-24T00:00:00,GHCND:USW00014910,1851
",,W,",PGTM,2017-01-25T00:00:00,GHCND:USW00014910,950
",,W,",PGTM,2017-01-26T00:00:00,GHCND:USW00014910,123
",,W,",PGTM,2017-01-27T00:00:00,GHCND:USW00014910,1821
",,W,",PGTM,2017-01-28T00:00:00,GHCND:USW00014910,809
",,W,",PGTM,2017-01-29T00:00:00,GHCND:USW00014910,338
",,W,",PGTM,2017-01-30T00:00:00,GHCND:USW00014910,1444
",,W,",PGTM,2017-01-31T00:00:00,GHCND:USW00014910,40
",,W,",PGTM,2017-02-01T00:00:00,GHCND:USW00014910,2125
",,W,",PGTM,2017-02-02T00:00:00,GHCND:USW00014910,1303
",,W,",PGTM,2017-02-03T00:00:00,GHCND:USW00014910,1535
",,W,",PGTM,2017-02-04T00:00:00,GHCND:USW00014910,545
",,W,",PGTM,2017-02-05T00:00:00,GHCND:USW00014910,43
",,W,",PGTM,2017-02-06T00:00:00,GHCND:USW00014910,2022
",,W,",PGTM,2017-02-07T00:00:00,GHCND:USW00014910,1531
",,W,",PGTM,2017-02-08T00:00:00,GHCND:USW00014910,2114
",,W,",PGTM,2017-02-09T00:00:00,GHCND:USW00014910,2353
",,W,",PGTM,2017-02-10T00:00:00,GHCND:USW00014910,15
",,W,",PGTM,2017-02-11T00:00:00,GHCND:USW00014910,2344
",,W,",PGTM,2017-02-12T00:00:00,GHCND:USW00014910,49
",,W,",PGTM,2017-02-13T00:00:00,GHCND:USW00014910,1827
",,W,",PGTM,2017-02-14T00:00:00,GHCND:USW00014910,1437
",,W,",PGTM,2017-02-15T00:00:00,GHCND:USW00014910,1702
",,W,",PGTM,2017-02-16T00:00:00,GHCND:USW00014910,1310
",,W,",PGTM,2017-02-17T00:00:00,GHCND:USW00014910,1640
",,W,",PGTM,2017-02-18T00:00:00,GHCND:USW00014910,212
",,W,",PGTM,2017-02-19T00:00:00,GHCND:USW00014910,1602
",,W,",PGTM,2017-02-21T00:00:00,GHCND:USW00014910,958
",,W,",PGTM,2017-02-22T00:00:00,GHCND:USW00014910,1439
",,W,",PGTM,2017-02-23T00:00:00,GHCND:USW00014910,2349
",,W,",PGTM,2017-02-24T00:00:00,GHCND:USW00014910,1407
",,W,",PGTM,2017-02-25T00:00:00,GHCND:USW00014910,1325
",,W,",PGTM,2017-02-26T00:00:00,GHCND:USW00014910,853
",,W,",PGTM,2017-02-27T00:00:00,GHCND:USW00014910,1552
",,W,",PGTM,2017-02-28T00:00:00,GHCND:USW00014910,1928
",,W,",PGTM,2017-03-01T00:00:00,GHCND:USW00014910,1627
",,W,",PGTM,2017-03-02T00:00:00,GHCND:USW00014910,1255
",,W,",PGTM,2017-03-03T00:00:00,GHCND:USW00014910,1848
",,W,",PGTM,2017-03-04T00:00:00,GHCND:USW00014910,1755
",,W,",PGTM,2017-03-05T00:00:00,GHCND:USW00014910,103
",,W,",PGTM,2017-03-06T00:00:00,GHCND:USW00014910,1403
",,W,",PGTM,2017-03-07T00:00:00,GHCND:USW00014910,2346
",,W,",PGTM,2017-03-08T00:00:00,GHCND:USW00014910,35
",,W,",PGTM,2017-03-09T00:00:00,GHCND:USW00014910,2246
",,W,",PGTM,2017-03-10T00:00:00,GHCND:USW00014910,18
",,W,",PGTM,2017-03-12T00:00:00,GHCND:USW00014910,1745
",,W,",PGTM,2017-03-13T00:00:00,GHCND:USW00014910,143
",,W,",PGTM,2017-03-14T00:00:00,GHCND:USW00014910,1320
