attributes,datatype,date,station,value
",,W,",PGTM,2017-12-01T00:00:00,GHCND:USW00013729,238
",,W,",PGTM,2017-12-02T00:00:00,GHCND:USW00013729,1502
",,W,",PGTM,2017-12-03T00:00:00,GHCND:USW00013729,1357
",,W,",PGTM,2017-12-04T00:00:00,GHCND:USW00013729,2039
",,W,",PGTM,2017-12-05T00:00:00,GHCND:USW00013729,2105
",,W,",PGTM,2017-12-06T00:00:00,GHCND:USW00013729,225
",,W,",PGTM,2017-12-07T00:00:00,GHCND:USW00013729,1716
",,W,",PGTM,2017-12-08T00:00:00,GHCND:USW00013729,554
",,W,",PGTM,2017-12-09T00:00:00,GHCND:USW00013729,2037
",,W,",PGTM,2017-12-10T00:00:00,GHCND:USW00013729,2326
",,W,",PGTM,2017-12-11T00:00:00,GHCND:USW00013729,7
",,W,",PGTM,2017-12-12T00:00:00,GHCND:USW00013729,1636
",,W,",PGTM,2017-12-13T00:00:00,GHCND:USW00013729,2128
",,W,",PGTM,2017-12-14T00:00:00,GHCND:USW00013729,300
",,W,",PGTM,2017-12-15T00:00:00,GHCND:USW00013729,1453
",,W,",PGTM,2017-12-16T00:00:00,GHCND:USW00013729,1435
",,W,",PGTM,2017-12-17T00:00:00,GHCND:USW00013729,1755
",,W,",PGTM,2017-12-18T00:00:00,GHCND:USW00013729,2334
",,W,",PGTM,2017-12-19T00:00:00,GHCND:USW00013729,1935
",,W,",PGTM,2017-12-20T00:00:00,GHCND:USW00013729,0
",,W,",PGTM,2017-12-21T00:00:00,GHCND:USW00013729,1955
",,W,",PGTM,2017-12-22T00:00:00,GHCND:USW00013729,1010
",,W,",PGTM,2017-12-23T00:00:00,GHCND:USW00013729,1452
",,W,",PGTM,2017-12-24T00:00:00,GHCND:USW00013729,2353
",,W,",PGTM,2017-12-25T00:00:00,GHCND:USW00013729,234
",,W,",PGTM,2017-12-26T00:00:00,GHCND:USW00013729,515
",,W,",PGTM,2017-12-27T00:00:00,GHCND:USW00013729,1348
",,W,",PGTM,2017-12-28T00:00:00,GHCND:USW00013729,1339
",,W,",PGTM,2017-12-29T00:00:00,GHCND:USW00013729,935
",,W,",PGTM,2017-12-30T00:00:00,GHCND:USW00013729,1502
",,W,",PGTM,2017-12-31T00:00:00,GHCND:USW00013729,122
