attributes,datatype,date,station,value
",,W,",PGTM,2017-12-10T00:00:00,GHCND:USW00014920,151
",,W,",PGTM,2017-12-11T00:00:00,GHCND:USW00014920,1922
",,W,",PGTM,2017-12-12T00:00:00,GHCND:USW00014920,22
",,W,",PGTM,2017-12-13T00:00:00,GHCND:USW00014920,1347
",,W,",PGTM,2017-12-14T00:00:00,GHCND:USW00014920,2201
",,W,",PGTM,2017-12-15T00:00:00,GHCND:USW00014920,436
",,W,",PGTM,2017-12-16T00:00:00,GHCND:USW00014920,922
",,W,",PGTM,2017-12-17T00:00:00,GHCND:USW00014920,15
",,W,",PGTM,2017-12-18T00:00:00,GHCND:USW00014920,1341
",,W,",PGTM,2017-12-19T00:00:00,GHCND:USW00014920,1415
",,W,",PGTM,2017-12-20T00:00:00,GHCND:USW00014920,332
",,W,",PGTM,2017-12-21T00:00:00,GHCND:USW00014920,1245
",,W,",PGTM,2017-12-22T00:00:00,GHCND:USW00014920,1704
",,W,",PGTM,2017-12-23T00:00:00,GHCND:USW00014920,832
",,W,",PGTM,2017-12-24T00:00:00,GHCND:USW00014920,1637
",,W,",PGTM,2017-12-25T00:00:00,GHCND:USW00014920,138
",,W,",PGTM,2017-12-26T00:00:00,GHCND:USW00014920,1241
",,W,",PGTM,2017-12-27T00:00:00,GHCND:USW00014920,744
",,W,",PGTM,2017-12-28T00:00:00,GHCND:USW00014920,1200
",,W,",PGTM,2017-12-29T00:00:00,GHCND:USW00014920,2257
",,W,",PGTM,2017-12-30T00:00:00,GHCND:USW00014920,317
",,W,",PGTM,2017-12-31T00:00:00,GHCND:USW00014920,1352
