attributes,datatype,date,station,value
",,7,",WDMV,2017-05-15T00:00:00,GHCND:USW00014607,101.9
",,7,",WDMV,2017-05-16T00:00:00,GHCND:USW00014607,124.9
",,7,",WDMV,2017-05-17T00:00:00,GHCND:USW00014607,67.1
",,7,",WDMV,2017-05-18T00:00:00,GHCND:USW00014607,55.3
",,7,",WDMV,2017-05-19T00:00:00,GHCND:USW00014607,142.9
",,7,",WDMV,2017-05-20T00:00:00,GHCND:USW00014607,128.0
",,7,",WDMV,2017-05-21T00:00:00,GHCND:USW00014607,124.9
",,7,",WDMV,2017-05-22T00:00:00,GHCND:USW00014607,39.8
",,7,",WDMV,2017-05-23T00:00:00,GHCND:USW00014607,106.9
",,7,",WDMV,2017-05-24T00:00:00,GHCND:USW00014607,37.3
",,7,",WDMV,2017-05-25T00:00:00,GHCND:USW00014607,29.8
",,7,",WDMV,2017-05-26T00:00:00,GHCND:USW00014607,85.1
",,7,",WDMV,2017-05-27T00:00:00,GHCND:USW00014607,70.8
",,7,",WDMV,2017-05-28T00:00:00,GHCND:USW00014607,37.3
",,7,",WDMV,2017-05-29T00:00:00,GHCND:USW00014607,36.0
",,7,",WDMV,2017-05-30T00:00:00,GHCND:USW00014607,62.8
",,7,",WDMV,2017-05-31T00:00:00,GHCND:USW00014607,105.0
",,7,",WDMV,2017-06-01T00:00:00,GHCND:USW00014607,52.8
",,7,",WDMV,2017-06-02T00:00:00,GHCND:USW00014607,46.0
",,7,",WDMV,2017-06-03T00:00:00,GHCND:USW00014607,65.2
",,7,",WDMV,2017-06-04T00:00:00,GHCND:USW00014607,52.2
",,7,",WDMV,2017-06-05T00:00:00,GHCND:USW00014607,28.0
",,7,",WDMV,2017-06-06T00:00:00,GHCND:USW00014607,65.9
",,7,",WDMV,2017-06-07T00:00:00,GHCND:USW00014607,32.9
",,7,",WDMV,2017-06-08T00:00:00,GHCND:USW00014607,44.7
",,7,",WDMV,2017-06-09T00:00:00,GHCND:USW00014607,54.1
",,7,",WDMV,2017-06-10T00:00:00,GHCND:USW00014607,88.9
",,7,",WDMV,2017-06-11T00:00:00,GHCND:USW00014607,113.7
",,7,",WDMV,2017-06-12T00:00:00,GHCND:USW00014607,59.0
",,7,",WDMV,2017-06-13T00:00:00,GHCND:USW00014607,105.0
",,7,",WDMV,2017-06-14T00:00:00,GHCND:USW00014607,165.9
",,7,",WDMV,2017-06-15T00:00:00,GHCND:USW00014607,65.9
