attributes,datatype,date,station,value
",,W,",PGTM,2017-10-31T00:00:00,GHCND:USW00093138,0
",,W,",PGTM,2017-12-16T00:00:00,GHCND:USW00093138,2104
",,W,",PGTM,2017-12-17T00:00:00,GHCND:USW00093138,1103
",,W,",PGTM,2017-12-18T00:00:00,GHCND:USW00093138,1631
",,W,",PGTM,2017-12-19T00:00:00,GHCND:USW00093138,1525
",,W,",PGTM,2017-12-20T00:00:00,GHCND:USW00093138,2203
",,W,",PGTM,2017-12-21T00:00:00,GHCND:USW00093138,1333
",,W,",PGTM,2017-12-22T00:00:00,GHCND:USW00093138,1145
",,W,",PGTM,2017-12-23T00:00:00,GHCND:USW00093138,812
",,W,",PGTM,2017-12-24T00:00:00,GHCND:USW00093138,533
",,W,",PGTM,2017-12-25T00:00:00,GHCND:USW00093138,200
",,W,",PGTM,2017-12-26T00:00:00,GHCND:USW00093138,2335
",,W,",PGTM,2017-12-27T00:00:00,GHCND:USW00093138,2313
",,W,",PGTM,2017-12-28T00:00:00,GHCND:USW00093138,338
",,W,",PGTM,2017-12-29T00:00:00,GHCND:USW00093138,2303
",,W,",PGTM,2017-12-30T00:00:00,GHCND:USW00093138,317
",,W,",PGTM,2017-12-31T00:00:00,GHCND:USW00093138,1059
