attributes,datatype,date,station,value
",,7,",WDMV,2017-01-01T00:00:00,GHCND:USC00299156,144.8
",,7,",WDMV,2017-01-02T00:00:00,GHCND:USC00299156,206.9
",,7,",WDMV,2017-01-03T00:00:00,GHCND:USC00299156,190.8
",,7,",WDMV,2017-01-04T00:00:00,GHCND:USC00299156,82.0
",,7,",WDMV,2017-01-05T00:00:00,GHCND:USC00299156,188.3
",,7,",WDMV,2017-01-06T00:00:00,GHCND:USC00299156,118.1
",,7,",WDMV,2017-01-07T00:00:00,GHCND:USC00299156,44.1
",,7,",WDMV,2017-01-08T00:00:00,GHCND:USC00299156,67.1
",,7,",WDMV,2017-01-09T00:00:00,GHCND:USC00299156,80.2
",,7,",WDMV,2017-01-10T00:00:00,GHCND:USC00299156,213.1
",,7,",WDMV,2017-01-11T00:00:00,GHCND:USC00299156,152.2
",,7,",WDMV,2017-01-12T00:00:00,GHCND:USC00299156,169.0
",,7,",WDMV,2017-01-13T00:00:00,GHCND:USC00299156,98.8
",,7,",WDMV,2017-01-14T00:00:00,GHCND:USC00299156,95.7
",,7,",WDMV,2017-01-15T00:00:00,GHCND:USC00299156,62.1
",,7,",WDMV,2017-01-16T00:00:00,GHCND:USC00299156,24.2
",,7,",WDMV,2017-01-17T00:00:00,GHCND:USC00299156,47.2
",,7,",WDMV,2017-01-18T00:00:00,GHCND:USC00299156,82.0
",,7,",WDMV,2017-01-19T00:00:00,GHCND:USC00299156,156.0
",,7,",WDMV,2017-01-20T00:00:00,GHCND:USC00299156,244.2
",,7,",WDMV,2017-01-21T00:00:00,GHCND:USC00299156,223.7
",,7,",WDMV,2017-01-22T00:00:00,GHCND:USC00299156,170.3
",,7,",WDMV,2017-01-23T00:00:00,GHCND:USC00299156,128.0
",,7,",WDMV,2017-01-24T00:00:00,GHCND:USC00299156,206.3
",,7,",WDMV,2017-01-25T00:00:00,GHCND:USC00299156,244.8
",,7,",WDMV,2017-01-26T00:00:00,GHCND:USC00299156,67.7
",,7,",WDMV,2017-01-27T00:00:00,GHCND:USC00299156,54.1
",,7,",WDMV,2017-01-28T00:00:00,GHCND:USC00299156,57.8
",,7,",WDMV,2017-01-29T00:00:00,GHCND:USC00299156,115.0
",,7,",WDMV,2017-01-30T00:00:00,GHCND:USC00299156,62.1
",,7,",WDMV,2017-01-31T00:00:00,GHCND:USC00299156,70.2
",,7,",WDMV,2017-02-01T00:00:00,GHCND:USC00299156,75.8
",,7,",WDMV,2017-02-02T00:00:00,GHCND:USC00299156,108.7
",,7,",WDMV,2017-02-03T00:00:00,GHCND:USC00299156,65.2
",,7,",WDMV,2017-02-04T00:00:00,GHCND:USC00299156,78.3
",,7,",WDMV,2017-02-05T00:00:00,GHCND:USC00299156,159.7
",,7,",WDMV,2017-02-06T00:00:00,GHCND:USC00299156,159.7
",,7,",WDMV,2017-02-07T00:00:00,GHCND:USC00299156,274.0
",,7,",WDMV,2017-02-08T00:00:00,GHCND:USC00299156,220.0
",,7,",WDMV,2017-02-09T00:00:00,GHCND:USC00299156,115.0
",,7,",WDMV,2017-02-10T00:00:00,GHCND:USC00299156,198.2
",,7,",WDMV,2017-02-11T00:00:00,GHCND:USC00299156,198.2
",,7,",WDMV,2017-02-12T00:00:00,GHCND:USC00299156,108.1
",,7,",WDMV,2017-02-13T00:00:00,GHCND:USC00299156,108.1
",,7,",WDMV,2017-02-14T00:00:00,GHCND:USC00299156,80.8
",,7,",WDMV,2017-02-15T00:00:00,GHCND:USC00299156,80.2
",,7,",WDMV,2017-02-16T00:00:00,GHCND:USC00299156,42.3
",,7,",WDMV,2017-02-17T00:00:00,GHCND:USC00299156,78.3
",,7,",WDMV,2017-02-18T00:00:00,GHCND:USC00299156,67.1
",,7,",WDMV,2017-02-19T00:00:00,GHCND:USC00299156,62.1
",,7,",WDMV,2017-02-20T00:00:00,GHCND:USC00299156,144.8
",,7,",WDMV,2017-02-21T00:00:00,GHCND:USC00299156,62.8
