attributes,datatype,date,station,value
",,W,",PGTM,2017-12-01T00:00:00,GHCND:USW00023023,1104
",,W,",PGTM,2017-12-02T00:00:00,GHCND:USW00023023,2346
",,W,",PGTM,2017-12-03T00:00:00,GHCND:USW00023023,2233
",,W,",PGTM,2017-12-04T00:00:00,GHCND:USW00023023,2347
",,W,",PGTM,2017-12-05T00:00:00,GHCND:USW00023023,233
",,W,",PGTM,2017-12-06T00:00:00,GHCND:USW00023023,1436
",,W,",PGTM,2017-12-07T00:00:00,GHCND:USW00023023,952
",,W,",PGTM,2017-12-08T00:00:00,GHCND:USW00023023,1351
",,W,",PGTM,2017-12-09T00:00:00,GHCND:USW00023023,1350
",,W,",PGTM,2017-12-10T00:00:00,GHCND:USW00023023,1315
",,W,",PGTM,2017-12-11T00:00:00,GHCND:USW00023023,1237
",,W,",PGTM,2017-12-12T00:00:00,GHCND:USW00023023,428
",,W,",PGTM,2017-12-13T00:00:00,GHCND:USW00023023,1117
",,W,",PGTM,2017-12-14T00:00:00,GHCND:USW00023023,1216
",,W,",PGTM,2017-12-15T00:00:00,GHCND:USW00023023,1708
",,W,",PGTM,2017-12-16T00:00:00,GHCND:USW00023023,1246
",,W,",PGTM,2017-12-17T00:00:00,GHCND:USW00023023,207
",,W,",PGTM,2017-12-18T00:00:00,GHCND:USW00023023,2319
",,W,",PGTM,2017-12-19T00:00:00,GHCND:USW00023023,1515
",,W,",PGTM,2017-12-20T00:00:00,GHCND:USW00023023,1534
",,W,",PGTM,2017-12-21T00:00:00,GHCND:USW00023023,1405
",,W,",PGTM,2017-12-22T00:00:00,GHCND:USW00023023,47
",,W,",PGTM,2017-12-23T00:00:00,GHCND:USW00023023,1359
",,W,",PGTM,2017-12-24T00:00:00,GHCND:USW00023023,936
",,W,",PGTM,2017-12-25T00:00:00,GHCND:USW00023023,1013
",,W,",PGTM,2017-12-26T00:00:00,GHCND:USW00023023,2357
",,W,",PGTM,2017-12-27T00:00:00,GHCND:USW00023023,29
",,W,",PGTM,2017-12-28T00:00:00,GHCND:USW00023023,507
",,W,",PGTM,2017-12-29T00:00:00,GHCND:USW00023023,1633
",,W,",PGTM,2017-12-30T00:00:00,GHCND:USW00023023,906
",,W,",PGTM,2017-12-31T00:00:00,GHCND:USW00023023,811
