attributes,datatype,date,station,value
",,W,",PGTM,2017-09-22T00:00:00,GHCND:USW00003959,1532
",,W,",PGTM,2017-09-23T00:00:00,GHCND:USW00003959,1225
",,W,",PGTM,2017-12-01T00:00:00,GHCND:USW00003959,1544
",,W,",PGTM,2017-12-02T00:00:00,GHCND:USW00003959,1519
",,W,",PGTM,2017-12-03T00:00:00,GHCND:USW00003959,2125
",,W,",PGTM,2017-12-04T00:00:00,GHCND:USW00003959,1221
",,W,",PGTM,2017-12-05T00:00:00,GHCND:USW00003959,3
",,W,",PGTM,2017-12-06T00:00:00,GHCND:USW00003959,1338
",,W,",PGTM,2017-12-07T00:00:00,GHCND:USW00003959,16
",,W,",PGTM,2017-12-08T00:00:00,GHCND:USW00003959,1253
",,W,",PGTM,2017-12-09T00:00:00,GHCND:USW00003959,1249
",,W,",PGTM,2017-12-10T00:00:00,GHCND:USW00003959,631
",,W,",PGTM,2017-12-11T00:00:00,GHCND:USW00003959,1558
",,W,",PGTM,2017-12-12T00:00:00,GHCND:USW00003959,7
",,W,",PGTM,2017-12-13T00:00:00,GHCND:USW00003959,1242
",,W,",PGTM,2017-12-14T00:00:00,GHCND:USW00003959,1343
",,W,",PGTM,2017-12-15T00:00:00,GHCND:USW00003959,1432
",,W,",PGTM,2017-12-16T00:00:00,GHCND:USW00003959,1425
",,W,",PGTM,2017-12-17T00:00:00,GHCND:USW00003959,503
",,W,",PGTM,2017-12-18T00:00:00,GHCND:USW00003959,2302
",,W,",PGTM,2017-12-19T00:00:00,GHCND:USW00003959,7
",,W,",PGTM,2017-12-20T00:00:00,GHCND:USW00003959,2244
",,W,",PGTM,2017-12-21T00:00:00,GHCND:USW00003959,318
",,W,",PGTM,2017-12-22T00:00:00,GHCND:USW00003959,2235
",,W,",PGTM,2017-12-23T00:00:00,GHCND:USW00003959,108
",,W,",PGTM,2017-12-24T00:00:00,GHCND:USW00003959,1039
",,W,",PGTM,2017-12-25T00:00:00,GHCND:USW00003959,1142
",,W,",PGTM,2017-12-26T00:00:00,GHCND:USW00003959,1611
",,W,",PGTM,2017-12-27T00:00:00,GHCND:USW00003959,8
",,W,",PGTM,2017-12-28T00:00:00,GHCND:USW00003959,816
",,W,",PGTM,2017-12-29T00:00:00,GHCND:USW00003959,1515
",,W,",PGTM,2017-12-30T00:00:00,GHCND:USW00003959,234
",,W,",PGTM,2017-12-31T00:00:00,GHCND:USW00003959,1513
