attributes,datatype,date,station,value
",,W,",PGTM,2017-02-19T00:00:00,GHCND:USW00004110,450
",,W,",PGTM,2017-05-20T00:00:00,GHCND:USW00004110,2111
",,W,",PGTM,2017-12-01T00:00:00,GHCND:USW00004110,2242
",,W,",PGTM,2017-12-02T00:00:00,GHCND:USW00004110,5
",,W,",PGTM,2017-12-03T00:00:00,GHCND:USW00004110,1803
",,W,",PGTM,2017-12-04T00:00:00,GHCND:USW00004110,36
",,W,",PGTM,2017-12-05T00:00:00,GHCND:USW00004110,52
",,W,",PGTM,2017-12-06T00:00:00,GHCND:USW00004110,558
",,W,",PGTM,2017-12-07T00:00:00,GHCND:USW00004110,2203
",,W,",PGTM,2017-12-08T00:00:00,GHCND:USW00004110,1904
",,W,",PGTM,2017-12-09T00:00:00,GHCND:USW00004110,1039
",,W,",PGTM,2017-12-10T00:00:00,GHCND:USW00004110,943
",,W,",PGTM,2017-12-11T00:00:00,GHCND:USW00004110,1555
",,W,",PGTM,2017-12-12T00:00:00,GHCND:USW00004110,1620
",,W,",PGTM,2017-12-13T00:00:00,GHCND:USW00004110,1720
",,W,",PGTM,2017-12-14T00:00:00,GHCND:USW00004110,1507
",,W,",PGTM,2017-12-15T00:00:00,GHCND:USW00004110,2354
",,W,",PGTM,2017-12-16T00:00:00,GHCND:USW00004110,910
",,W,",PGTM,2017-12-17T00:00:00,GHCND:USW00004110,5
",,W,",PGTM,2017-12-18T00:00:00,GHCND:USW00004110,1457
",,W,",PGTM,2017-12-19T00:00:00,GHCND:USW00004110,2319
",,W,",PGTM,2017-12-20T00:00:00,GHCND:USW00004110,544
",,W,",PGTM,2017-12-21T00:00:00,GHCND:USW00004110,1340
",,W,",PGTM,2017-12-22T00:00:00,GHCND:USW00004110,1938
",,W,",PGTM,2017-12-23T00:00:00,GHCND:USW00004110,1538
",,W,",PGTM,2017-12-24T00:00:00,GHCND:USW00004110,1239
",,W,",PGTM,2017-12-25T00:00:00,GHCND:USW00004110,2300
",,W,",PGTM,2017-12-26T00:00:00,GHCND:USW00004110,2236
",,W,",PGTM,2017-12-27T00:00:00,GHCND:USW00004110,418
",,W,",PGTM,2017-12-28T00:00:00,GHCND:USW00004110,2013
",,W,",PGTM,2017-12-29T00:00:00,GHCND:USW00004110,152
",,W,",PGTM,2017-12-30T00:00:00,GHCND:USW00004110,1615
",,W,",PGTM,2017-12-31T00:00:00,GHCND:USW00004110,2357
