attributes,datatype,date,station,value
",,W,",PGTM,2017-01-01T00:00:00,GHCND:USW00025507,2054
",,W,",PGTM,2017-01-02T00:00:00,GHCND:USW00025507,1446
",,W,",PGTM,2017-01-03T00:00:00,GHCND:USW00025507,319
",,W,",PGTM,2017-01-04T00:00:00,GHCND:USW00025507,1525
",,W,",PGTM,2017-01-05T00:00:00,GHCND:USW00025507,1843
",,W,",PGTM,2017-01-06T00:00:00,GHCND:USW00025507,810
",,W,",PGTM,2017-01-07T00:00:00,GHCND:USW00025507,1228
",,W,",PGTM,2017-01-08T00:00:00,GHCND:USW00025507,1254
",,W,",PGTM,2017-01-09T00:00:00,GHCND:USW00025507,211
",,W,",PGTM,2017-01-10T00:00:00,GHCND:USW00025507,1039
",,W,",PGTM,2017-01-11T00:00:00,GHCND:USW00025507,1501
",,W,",PGTM,2017-01-12T00:00:00,GHCND:USW00025507,1123
",,W,",PGTM,2017-01-13T00:00:00,GHCND:USW00025507,823
",,W,",PGTM,2017-01-14T00:00:00,GHCND:USW00025507,1043
",,W,",PGTM,2017-01-15T00:00:00,GHCND:USW00025507,22
",,W,",PGTM,2017-01-16T00:00:00,GHCND:USW00025507,1917
",,W,",PGTM,2017-01-17T00:00:00,GHCND:USW00025507,310
",,W,",PGTM,2017-01-18T00:00:00,GHCND:USW00025507,2225
",,W,",PGTM,2017-01-19T00:00:00,GHCND:USW00025507,1221
",,W,",PGTM,2017-01-20T00:00:00,GHCND:USW00025507,1125
",,W,",PGTM,2017-01-21T00:00:00,GHCND:USW00025507,430
",,W,",PGTM,2017-01-22T00:00:00,GHCND:USW00025507,525
",,W,",PGTM,2017-01-23T00:00:00,GHCND:USW00025507,1803
",,W,",PGTM,2017-01-24T00:00:00,GHCND:USW00025507,551
",,W,",PGTM,2017-01-25T00:00:00,GHCND:USW00025507,1859
",,W,",PGTM,2017-01-26T00:00:00,GHCND:USW00025507,2327
",,W,",PGTM,2017-01-27T00:00:00,GHCND:USW00025507,2008
",,W,",PGTM,2017-01-28T00:00:00,GHCND:USW00025507,1422
",,W,",PGTM,2017-01-29T00:00:00,GHCND:USW00025507,17
",,W,",PGTM,2017-01-30T00:00:00,GHCND:USW00025507,1233
",,W,",PGTM,2017-01-31T00:00:00,GHCND:USW00025507,7
",,W,",PGTM,2017-02-01T00:00:00,GHCND:USW00025507,2206
",,W,",PGTM,2017-02-02T00:00:00,GHCND:USW00025507,1204
",,W,",PGTM,2017-02-03T00:00:00,GHCND:USW00025507,1314
",,W,",PGTM,2017-02-04T00:00:00,GHCND:USW00025507,1124
",,W,",PGTM,2017-02-05T00:00:00,GHCND:USW00025507,1204
",,W,",PGTM,2017-02-06T00:00:00,GHCND:USW00025507,1120
",,W,",PGTM,2017-02-07T00:00:00,GHCND:USW00025507,2011
",,W,",PGTM,2017-02-08T00:00:00,GHCND:USW00025507,1649
",,W,",PGTM,2017-02-09T00:00:00,GHCND:USW00025507,1207
",,W,",PGTM,2017-02-10T00:00:00,GHCND:USW00025507,442
",,W,",PGTM,2017-02-11T00:00:00,GHCND:USW00025507,231
",,W,",PGTM,2017-02-12T00:00:00,GHCND:USW00025507,2137
",,W,",PGTM,2017-02-13T00:00:00,GHCND:USW00025507,850
",,W,",PGTM,2017-02-14T00:00:00,GHCND:USW00025507,604
",,W,",PGTM,2017-02-15T00:00:00,GHCND:USW00025507,1904
",,W,",PGTM,2017-02-16T00:00:00,GHCND:USW00025507,622
",,W,",PGTM,2017-02-17T00:00:00,GHCND:USW00025507,1607
",,W,",PGTM,2017-02-18T00:00:00,GHCND:USW00025507,2352
",,W,",PGTM,2017-02-19T00:00:00,GHCND:USW00025507,1018
",,W,",PGTM,2017-02-20T00:00:00,GHCND:USW00025507,1401
",,W,",PGTM,2017-02-21T00:00:00,GHCND:USW00025507,1214
",,W,",PGTM,2017-02-22T00:00:00,GHCND:USW00025507,656
",,W,",PGTM,2017-02-23T00:00:00,GHCND:USW00025507,1130
",,W,",PGTM,2017-02-24T00:00:00,GHCND:USW00025507,1824
",,W,",PGTM,2017-02-25T00:00:00,GHCND:USW00025507,507
",,W,",PGTM,2017-02-26T00:00:00,GHCND:USW00025507,748
",,W,",PGTM,2017-02-27T00:00:00,GHCND:USW00025507,2043
",,W,",PGTM,2017-02-28T00:00:00,GHCND:USW00025507,2141
",,W,",PGTM,2017-03-01T00:00:00,GHCND:USW00025507,1805
",,W,",PGTM,2017-03-02T00:00:00,GHCND:USW00025507,2246
",,W,",PGTM,2017-03-03T00:00:00,GHCND:USW00025507,101
",,W,",PGTM,2017-03-04T00:00:00,GHCND:USW00025507,1519
",,W,",PGTM,2017-03-05T00:00:00,GHCND:USW00025507,1317
",,W,",PGTM,2017-03-06T00:00:00,GHCND:USW00025507,505
",,W,",PGTM,2017-03-07T00:00:00,GHCND:USW00025507,1621
",,W,",PGTM,2017-03-08T00:00:00,GHCND:USW00025507,1548
",,W,",PGTM,2017-03-09T00:00:00,GHCND:USW00025507,449
",,W,",PGTM,2017-03-10T00:00:00,GHCND:USW00025507,1217
",,W,",PGTM,2017-03-11T00:00:00,GHCND:USW00025507,1934
",,W,",PGTM,2017-03-12T00:00:00,GHCND:USW00025507,1628
",,W,",PGTM,2017-03-13T00:00:00,GHCND:USW00025507,2108
",,W,",PGTM,2017-03-14T00:00:00,GHCND:USW00025507,1219
",,W,",PGTM,2017-03-15T00:00:00,GHCND:USW00025507,1635
",,W,",PGTM,2017-03-16T00:00:00,GHCND:USW00025507,45
",,W,",PGTM,2017-03-17T00:00:00,GHCND:USW00025507,1810
",,W,",PGTM,2017-03-18T00:00:00,GHCND:USW00025507,1734
",,W,",PGTM,2017-03-19T00:00:00,GHCND:USW00025507,902
",,W,",PGTM,2017-03-20T00:00:00,GHCND:USW00025507,19
",,W,",PGTM,2017-03-21T00:00:00,GHCND:USW00025507,1643
",,W,",PGTM,2017-03-22T00:00:00,GHCND:USW00025507,1225
",,W,",PGTM,2017-03-23T00:00:00,GHCND:USW00025507,1730
",,W,",PGTM,2017-03-24T00:00:00,GHCND:USW00025507,1645
",,W,",PGTM,2017-03-25T00:00:00,GHCND:USW00025507,1451
",,W,",PGTM,2017-03-26T00:00:00,GHCND:USW00025507,1706
",,W,",PGTM,2017-03-27T00:00:00,GHCND:USW00025507,939
",,W,",PGTM,2017-03-28T00:00:00,GHCND:USW00025507,2218
",,W,",PGTM,2017-03-29T00:00:00,GHCND:USW00025507,1646
