attributes,datatype,date,station,value
",,W,",PGTM,2017-12-16T00:00:00,GHCND:USW00003159,447
",,W,",PGTM,2017-12-17T00:00:00,GHCND:USW00003159,959
",,W,",PGTM,2017-12-18T00:00:00,GHCND:USW00003159,1929
",,W,",PGTM,2017-12-19T00:00:00,GHCND:USW00003159,1415
",,W,",PGTM,2017-12-20T00:00:00,GHCND:USW00003159,1615
",,W,",PGTM,2017-12-21T00:00:00,GHCND:USW00003159,1235
",,W,",PGTM,2017-12-22T00:00:00,GHCND:USW00003159,58
",,W,",PGTM,2017-12-23T00:00:00,GHCND:USW00003159,643
",,W,",PGTM,2017-12-24T00:00:00,GHCND:USW00003159,2205
",,W,",PGTM,2017-12-25T00:00:00,GHCND:USW00003159,111
",,W,",PGTM,2017-12-26T00:00:00,GHCND:USW00003159,24
",,W,",PGTM,2017-12-27T00:00:00,GHCND:USW00003159,1830
",,W,",PGTM,2017-12-28T00:00:00,GHCND:USW00003159,1852
",,W,",PGTM,2017-12-29T00:00:00,GHCND:USW00003159,1958
",,W,",PGTM,2017-12-30T00:00:00,GHCND:USW00003159,1932
",,W,",PGTM,2017-12-31T00:00:00,GHCND:USW00003159,1930
