attributes,datatype,date,station,value
",,W,",PGTM,2017-12-01T00:00:00,GHCND:USW00024162,2209
",,W,",PGTM,2017-12-02T00:00:00,GHCND:USW00024162,2039
",,W,",PGTM,2017-12-03T00:00:00,GHCND:USW00024162,2053
",,W,",PGTM,2017-12-04T00:00:00,GHCND:USW00024162,1135
",,W,",PGTM,2017-12-05T00:00:00,GHCND:USW00024162,2108
",,W,",PGTM,2017-12-06T00:00:00,GHCND:USW00024162,2320
",,W,",PGTM,2017-12-07T00:00:00,GHCND:USW00024162,140
",,W,",PGTM,2017-12-08T00:00:00,GHCND:USW00024162,1639
",,W,",PGTM,2017-12-09T00:00:00,GHCND:USW00024162,541
",,W,",PGTM,2017-12-10T00:00:00,GHCND:USW00024162,834
",,W,",PGTM,2017-12-11T00:00:00,GHCND:USW00024162,2232
",,W,",PGTM,2017-12-12T00:00:00,GHCND:USW00024162,1043
",,W,",PGTM,2017-12-13T00:00:00,GHCND:USW00024162,2326
",,W,",PGTM,2017-12-14T00:00:00,GHCND:USW00024162,2312
",,W,",PGTM,2017-12-15T00:00:00,GHCND:USW00024162,637
",,W,",PGTM,2017-12-16T00:00:00,GHCND:USW00024162,1929
",,W,",PGTM,2017-12-17T00:00:00,GHCND:USW00024162,248
",,W,",PGTM,2017-12-18T00:00:00,GHCND:USW00024162,2111
",,W,",PGTM,2017-12-19T00:00:00,GHCND:USW00024162,2358
",,W,",PGTM,2017-12-20T00:00:00,GHCND:USW00024162,15
",,W,",PGTM,2017-12-21T00:00:00,GHCND:USW00024162,358
",,W,",PGTM,2017-12-22T00:00:00,GHCND:USW00024162,219
",,W,",PGTM,2017-12-23T00:00:00,GHCND:USW00024162,1337
",,W,",PGTM,2017-12-24T00:00:00,GHCND:USW00024162,100
",,W,",PGTM,2017-12-25T00:00:00,GHCND:USW00024162,1116
",,W,",PGTM,2017-12-26T00:00:00,GHCND:USW00024162,819
",,W,",PGTM,2017-12-27T00:00:00,GHCND:USW00024162,1828
",,W,",PGTM,2017-12-28T00:00:00,GHCND:USW00024162,1810
",,W,",PGTM,2017-12-29T00:00:00,GHCND:USW00024162,2355
",,W,",PGTM,2017-12-30T00:00:00,GHCND:USW00024162,940
",,W,",PGTM,2017-12-31T00:00:00,GHCND:USW00024162,2037
