attributes,datatype,date,station,value
",,W,",PGTM,2017-12-16T00:00:00,GHCND:USW00014605,1444
",,W,",PGTM,2017-12-17T00:00:00,GHCND:USW00014605,1302
",,W,",PGTM,2017-12-18T00:00:00,GHCND:USW00014605,1744
",,W,",PGTM,2017-12-19T00:00:00,GHCND:USW00014605,2153
",,W,",PGTM,2017-12-20T00:00:00,GHCND:USW00014605,1546
",,W,",PGTM,2017-12-21T00:00:00,GHCND:USW00014605,438
",,W,",PGTM,2017-12-22T00:00:00,GHCND:USW00014605,2337
",,W,",PGTM,2017-12-23T00:00:00,GHCND:USW00014605,2331
",,W,",PGTM,2017-12-24T00:00:00,GHCND:USW00014605,314
",,W,",PGTM,2017-12-25T00:00:00,GHCND:USW00014605,1048
",,W,",PGTM,2017-12-26T00:00:00,GHCND:USW00014605,1259
",,W,",PGTM,2017-12-27T00:00:00,GHCND:USW00014605,1322
",,W,",PGTM,2017-12-28T00:00:00,GHCND:USW00014605,318
",,W,",PGTM,2017-12-29T00:00:00,GHCND:USW00014605,1613
",,W,",PGTM,2017-12-30T00:00:00,GHCND:USW00014605,1154
",,W,",PGTM,2017-12-31T00:00:00,GHCND:USW00014605,821
