attributes,datatype,date,station,value
",,W,",PGTM,2017-02-23T00:00:00,GHCND:USW00024057,735
",,W,",PGTM,2017-03-01T00:00:00,GHCND:USW00024057,1412
",,W,",PGTM,2017-12-03T00:00:00,GHCND:USW00024057,1516
",,W,",PGTM,2017-12-04T00:00:00,GHCND:USW00024057,433
",,W,",PGTM,2017-12-05T00:00:00,GHCND:USW00024057,1125
",,W,",PGTM,2017-12-06T00:00:00,GHCND:USW00024057,1515
",,W,",PGTM,2017-12-07T00:00:00,GHCND:USW00024057,1227
",,W,",PGTM,2017-12-08T00:00:00,GHCND:USW00024057,142
",,W,",PGTM,2017-12-09T00:00:00,GHCND:USW00024057,1310
",,W,",PGTM,2017-12-13T00:00:00,GHCND:USW00024057,9
",,W,",PGTM,2017-12-20T00:00:00,GHCND:USW00024057,1057
",,W,",PGTM,2017-12-21T00:00:00,GHCND:USW00024057,235
",,W,",PGTM,2017-12-22T00:00:00,GHCND:USW00024057,1029
",,W,",PGTM,2017-12-23T00:00:00,GHCND:USW00024057,1329
",,W,",PGTM,2017-12-24T00:00:00,GHCND:USW00024057,1334
",,W,",PGTM,2017-12-25T00:00:00,GHCND:USW00024057,1537
",,W,",PGTM,2017-12-26T00:00:00,GHCND:USW00024057,114
",,W,",PGTM,2017-12-27T00:00:00,GHCND:USW00024057,124
",,W,",PGTM,2017-12-28T00:00:00,GHCND:USW00024057,1404
",,W,",PGTM,2017-12-29T00:00:00,GHCND:USW00024057,527
",,W,",PGTM,2017-12-30T00:00:00,GHCND:USW00024057,1050
",,W,",PGTM,2017-12-31T00:00:00,GHCND:USW00024057,1459
