attributes,datatype,date,station,value
",,W,",PGTM,2017-01-01T00:00:00,GHCND:USW00094963,119
",,W,",PGTM,2017-01-02T00:00:00,GHCND:USW00094963,847
",,W,",PGTM,2017-01-03T00:00:00,GHCND:USW00094963,938
",,W,",PGTM,2017-01-04T00:00:00,GHCND:USW00094963,447
",,W,",PGTM,2017-01-05T00:00:00,GHCND:USW00094963,1929
",,W,",PGTM,2017-01-06T00:00:00,GHCND:USW00094963,1331
",,W,",PGTM,2017-01-07T00:00:00,GHCND:USW00094963,1324
",,W,",PGTM,2017-01-08T00:00:00,GHCND:USW00094963,1331
",,W,",PGTM,2017-01-09T00:00:00,GHCND:USW00094963,1740
",,W,",PGTM,2017-01-10T00:00:00,GHCND:USW00094963,1521
",,W,",PGTM,2017-01-11T00:00:00,GHCND:USW00094963,1338
",,W,",PGTM,2017-01-12T00:00:00,GHCND:USW00094963,1321
",,W,",PGTM,2017-01-13T00:00:00,GHCND:USW00094963,1926
",,W,",PGTM,2017-01-14T00:00:00,GHCND:USW00094963,953
",,W,",PGTM,2017-01-15T00:00:00,GHCND:USW00094963,1434
",,W,",PGTM,2017-01-16T00:00:00,GHCND:USW00094963,2230
",,W,",PGTM,2017-01-17T00:00:00,GHCND:USW00094963,2246
",,W,",PGTM,2017-01-18T00:00:00,GHCND:USW00094963,1106
",,W,",PGTM,2017-01-19T00:00:00,GHCND:USW00094963,418
",,W,",PGTM,2017-01-20T00:00:00,GHCND:USW00094963,231
",,W,",PGTM,2017-01-21T00:00:00,GHCND:USW00094963,616
",,W,",PGTM,2017-01-22T00:00:00,GHCND:USW00094963,1842
",,W,",PGTM,2017-01-23T00:00:00,GHCND:USW00094963,6
",,W,",PGTM,2017-01-24T00:00:00,GHCND:USW00094963,1716
",,W,",PGTM,2017-01-25T00:00:00,GHCND:USW00094963,2012
",,W,",PGTM,2017-01-26T00:00:00,GHCND:USW00094963,12
",,W,",PGTM,2017-01-27T00:00:00,GHCND:USW00094963,433
",,W,",PGTM,2017-01-28T00:00:00,GHCND:USW00094963,544
",,W,",PGTM,2017-01-29T00:00:00,GHCND:USW00094963,759
",,W,",PGTM,2017-01-30T00:00:00,GHCND:USW00094963,1710
",,W,",PGTM,2017-01-31T00:00:00,GHCND:USW00094963,454
",,W,",PGTM,2017-02-01T00:00:00,GHCND:USW00094963,441
",,W,",PGTM,2017-02-02T00:00:00,GHCND:USW00094963,107
",,W,",PGTM,2017-02-03T00:00:00,GHCND:USW00094963,1305
",,W,",PGTM,2017-02-04T00:00:00,GHCND:USW00094963,1216
",,W,",PGTM,2017-02-05T00:00:00,GHCND:USW00094963,341
",,W,",PGTM,2017-02-06T00:00:00,GHCND:USW00094963,1849
",,W,",PGTM,2017-02-07T00:00:00,GHCND:USW00094963,1332
",,W,",PGTM,2017-02-08T00:00:00,GHCND:USW00094963,2106
",,W,",PGTM,2017-02-09T00:00:00,GHCND:USW00094963,2353
",,W,",PGTM,2017-02-10T00:00:00,GHCND:USW00094963,315
",,W,",PGTM,2017-02-11T00:00:00,GHCND:USW00094963,21
",,W,",PGTM,2017-02-12T00:00:00,GHCND:USW00094963,305
",,W,",PGTM,2017-02-13T00:00:00,GHCND:USW00094963,1106
",,W,",PGTM,2017-02-14T00:00:00,GHCND:USW00094963,1547
",,W,",PGTM,2017-02-15T00:00:00,GHCND:USW00094963,221
",,W,",PGTM,2017-02-16T00:00:00,GHCND:USW00094963,1016
",,W,",PGTM,2017-02-17T00:00:00,GHCND:USW00094963,1926
",,W,",PGTM,2017-02-18T00:00:00,GHCND:USW00094963,23
",,W,",PGTM,2017-02-19T00:00:00,GHCND:USW00094963,1526
