attributes,datatype,date,station,value
",,7,",WDMV,2017-01-03T00:00:00,GHCND:USC00141383,244.8
",,7,",WDMV,2017-01-04T00:00:00,GHCND:USC00141383,90.1
",,7,",WDMV,2017-01-05T00:00:00,GHCND:USC00141383,108.1
",,7,",WDMV,2017-01-06T00:00:00,GHCND:USC00141383,87.0
",,7,",WDMV,2017-01-09T00:00:00,GHCND:USC00141383,179.0
",,7,",WDMV,2017-01-10T00:00:00,GHCND:USC00141383,95.1
",,7,",WDMV,2017-01-11T00:00:00,GHCND:USC00141383,149.8
",,7,",WDMV,2017-01-12T00:00:00,GHCND:USC00141383,60.9
",,7,",WDMV,2017-01-13T00:00:00,GHCND:USC00141383,23.0
",,7,",WDMV,2017-01-17T00:00:00,GHCND:USC00141383,147.9
",,7,",WDMV,2017-01-18T00:00:00,GHCND:USC00141383,37.9
",,7,",WDMV,2017-01-19T00:00:00,GHCND:USC00141383,111.8
",,7,",WDMV,2017-01-20T00:00:00,GHCND:USC00141383,47.8
",,7,",WDMV,2017-01-23T00:00:00,GHCND:USC00141383,213.8
",,7,",WDMV,2017-01-24T00:00:00,GHCND:USC00141383,75.2
",,7,",WDMV,2017-01-26T00:00:00,GHCND:USC00141383,284.0
",,7,",WDMV,2017-01-27T00:00:00,GHCND:USC00141383,110.0
",,7,",WDMV,2017-01-30T00:00:00,GHCND:USC00141383,380.3
",,7,",WDMV,2017-01-31T00:00:00,GHCND:USC00141383,73.9
",,7,",WDMV,2017-02-01T00:00:00,GHCND:USC00141383,96.9
",,7,",WDMV,2017-02-02T00:00:00,GHCND:USC00141383,124.3
",,7,",WDMV,2017-02-03T00:00:00,GHCND:USC00141383,62.1
",,7,",WDMV,2017-02-06T00:00:00,GHCND:USC00141383,244.2
",,7,",WDMV,2017-02-07T00:00:00,GHCND:USC00141383,60.3
",,7,",WDMV,2017-02-08T00:00:00,GHCND:USC00141383,116.2
",,7,",WDMV,2017-02-09T00:00:00,GHCND:USC00141383,73.9
",,7,",WDMV,2017-02-10T00:00:00,GHCND:USC00141383,119.9
",,7,",WDMV,2017-02-11T00:00:00,GHCND:USC00141383,47.2
",,7,",WDMV,2017-02-13T00:00:00,GHCND:USC00141383,195.7
",,7,",WDMV,2017-02-14T00:00:00,GHCND:USC00141383,44.7
",,7,",WDMV,2017-02-15T00:00:00,GHCND:USC00141383,121.8
",,7,",WDMV,2017-02-16T00:00:00,GHCND:USC00141383,69.0
",,7,",WDMV,2017-02-17T00:00:00,GHCND:USC00141383,75.8
",,7,",WDMV,2017-02-21T00:00:00,GHCND:USC00141383,408.9
",,7,",WDMV,2017-02-22T00:00:00,GHCND:USC00141383,51.0
",,7,",WDMV,2017-02-23T00:00:00,GHCND:USC00141383,72.7
",,7,",WDMV,2017-02-24T00:00:00,GHCND:USC00141383,226.2
",,7,",WDMV,2017-02-27T00:00:00,GHCND:USC00141383,236.7
",,7,",WDMV,2017-02-28T00:00:00,GHCND:USC00141383,73.9
",,7,",WDMV,2017-03-01T00:00:00,GHCND:USC00141383,141.1
",,7,",WDMV,2017-03-02T00:00:00,GHCND:USC00141383,133.0
",,7,",WDMV,2017-03-03T00:00:00,GHCND:USC00141383,55.9
",,7,",WDMV,2017-03-06T00:00:00,GHCND:USC00141383,645.0
",,7,",WDMV,2017-03-07T00:00:00,GHCND:USC00141383,177.1
",,7,",WDMV,2017-03-08T00:00:00,GHCND:USC00141383,78.3
",,7,",WDMV,2017-03-09T00:00:00,GHCND:USC00141383,14.9
",,7,",WDMV,2017-03-10T00:00:00,GHCND:USC00141383,101.3
",,7,",WDMV,2017-03-14T00:00:00,GHCND:USC00141383,1.9
",,7,",WDMV,2017-03-16T00:00:00,GHCND:USC00141383,139.2
",,7,",WDMV,2017-03-17T00:00:00,GHCND:USC00141383,80.2
",,7,",WDMV,2017-03-20T00:00:00,GHCND:USC00141383,215.0
",,7,",WDMV,2017-03-21T00:00:00,GHCND:USC00141383,126.1
",,7,",WDMV,2017-03-23T00:00:00,GHCND:USC00141383,303.2
",,7,",WDMV,2017-03-24T00:00:00,GHCND:USC00141383,193.9
",,7,",WDMV,2017-03-27T00:00:00,GHCND:USC00141383,344.2
",,7,",WDMV,2017-03-28T00:00:00,GHCND:USC00141383,62.1
",,7,",WDMV,2017-03-29T00:00:00,GHCND:USC00141383,157.2
",,7,",WDMV,2017-03-30T00:00:00,GHCND:USC00141383,249.8
",,7,",WDMV,2017-03-31T00:00:00,GHCND:USC00141383,77.1
",,7,",WDMV,2017-04-01T00:00:00,GHCND:USC00141383,80.8
",,7,",WDMV,2017-04-02T00:00:00,GHCND:USC00141383,88.9
",,7,",WDMV,2017-04-03T00:00:00,GHCND:USC00141383,44.1
",,7,",WDMV,2017-04-04T00:00:00,GHCND:USC00141383,118.1
",,7,",WDMV,2017-04-05T00:00:00,GHCND:USC00141383,137.9
",,7,",WDMV,2017-04-06T00:00:00,GHCND:USC00141383,129.2
",,7,",WDMV,2017-04-07T00:00:00,GHCND:USC00141383,57.2
",,7,",WDMV,2017-04-10T00:00:00,GHCND:USC00141383,349.8
",,7,",WDMV,2017-04-11T00:00:00,GHCND:USC00141383,116.8
",,7,",WDMV,2017-04-12T00:00:00,GHCND:USC00141383,124.3
",,7,",WDMV,2017-04-13T00:00:00,GHCND:USC00141383,162.2
",,7,",WDMV,2017-04-14T00:00:00,GHCND:USC00141383,113.7
",,7,",WDMV,2017-04-15T00:00:00,GHCND:USC00141383,339.3
",,7,",WDMV,2017-04-17T00:00:00,GHCND:USC00141383,208.8
