attributes,datatype,date,station,value
",,W,",PGTM,2017-12-01T00:00:00,GHCND:USW00023064,1030
",,W,",PGTM,2017-12-02T00:00:00,GHCND:USW00023064,231
",,W,",PGTM,2017-12-03T00:00:00,GHCND:USW00023064,1503
",,W,",PGTM,2017-12-04T00:00:00,GHCND:USW00023064,1343
",,W,",PGTM,2017-12-05T00:00:00,GHCND:USW00023064,1424
",,W,",PGTM,2017-12-06T00:00:00,GHCND:USW00023064,1224
",,W,",PGTM,2017-12-07T00:00:00,GHCND:USW00023064,1433
",,W,",PGTM,2017-12-08T00:00:00,GHCND:USW00023064,1403
",,W,",PGTM,2017-12-09T00:00:00,GHCND:USW00023064,1344
",,W,",PGTM,2017-12-10T00:00:00,GHCND:USW00023064,1135
",,W,",PGTM,2017-12-11T00:00:00,GHCND:USW00023064,1415
",,W,",PGTM,2017-12-12T00:00:00,GHCND:USW00023064,1325
",,W,",PGTM,2017-12-13T00:00:00,GHCND:USW00023064,1120
",,W,",PGTM,2017-12-14T00:00:00,GHCND:USW00023064,1618
",,W,",PGTM,2017-12-15T00:00:00,GHCND:USW00023064,1209
",,W,",PGTM,2017-12-16T00:00:00,GHCND:USW00023064,1455
",,W,",PGTM,2017-12-17T00:00:00,GHCND:USW00023064,1149
",,W,",PGTM,2017-12-18T00:00:00,GHCND:USW00023064,1435
",,W,",PGTM,2017-12-19T00:00:00,GHCND:USW00023064,1050
",,W,",PGTM,2017-12-20T00:00:00,GHCND:USW00023064,1408
",,W,",PGTM,2017-12-21T00:00:00,GHCND:USW00023064,1059
",,W,",PGTM,2017-12-22T00:00:00,GHCND:USW00023064,350
",,W,",PGTM,2017-12-23T00:00:00,GHCND:USW00023064,2359
",,W,",PGTM,2017-12-24T00:00:00,GHCND:USW00023064,23
",,W,",PGTM,2017-12-25T00:00:00,GHCND:USW00023064,2000
",,W,",PGTM,2017-12-26T00:00:00,GHCND:USW00023064,59
",,W,",PGTM,2017-12-27T00:00:00,GHCND:USW00023064,1120
",,W,",PGTM,2017-12-28T00:00:00,GHCND:USW00023064,444
",,W,",PGTM,2017-12-29T00:00:00,GHCND:USW00023064,2028
",,W,",PGTM,2017-12-30T00:00:00,GHCND:USW00023064,3
",,W,",PGTM,2017-12-31T00:00:00,GHCND:USW00023064,4
