attributes,datatype,date,station,value
",,W,",PGTM,2017-12-01T00:00:00,GHCND:USW00093042,1019
",,W,",PGTM,2017-12-02T00:00:00,GHCND:USW00093042,614
",,W,",PGTM,2017-12-03T00:00:00,GHCND:USW00093042,1448
",,W,",PGTM,2017-12-04T00:00:00,GHCND:USW00093042,1711
",,W,",PGTM,2017-12-05T00:00:00,GHCND:USW00093042,36
",,W,",PGTM,2017-12-06T00:00:00,GHCND:USW00093042,1023
",,W,",PGTM,2017-12-07T00:00:00,GHCND:USW00093042,1527
",,W,",PGTM,2017-12-08T00:00:00,GHCND:USW00093042,1146
",,W,",PGTM,2017-12-09T00:00:00,GHCND:USW00093042,1326
",,W,",PGTM,2017-12-10T00:00:00,GHCND:USW00093042,717
",,W,",PGTM,2017-12-11T00:00:00,GHCND:USW00093042,1209
",,W,",PGTM,2017-12-12T00:00:00,GHCND:USW00093042,1312
",,W,",PGTM,2017-12-13T00:00:00,GHCND:USW00093042,1014
",,W,",PGTM,2017-12-14T00:00:00,GHCND:USW00093042,1639
",,W,",PGTM,2017-12-15T00:00:00,GHCND:USW00093042,1123
",,W,",PGTM,2017-12-16T00:00:00,GHCND:USW00093042,1348
",,W,",PGTM,2017-12-17T00:00:00,GHCND:USW00093042,925
",,W,",PGTM,2017-12-18T00:00:00,GHCND:USW00093042,1402
",,W,",PGTM,2017-12-19T00:00:00,GHCND:USW00093042,1135
",,W,",PGTM,2017-12-20T00:00:00,GHCND:USW00093042,1454
",,W,",PGTM,2017-12-21T00:00:00,GHCND:USW00093042,1338
",,W,",PGTM,2017-12-22T00:00:00,GHCND:USW00093042,8
",,W,",PGTM,2017-12-23T00:00:00,GHCND:USW00093042,2123
",,W,",PGTM,2017-12-24T00:00:00,GHCND:USW00093042,209
",,W,",PGTM,2017-12-25T00:00:00,GHCND:USW00093042,606
",,W,",PGTM,2017-12-26T00:00:00,GHCND:USW00093042,18
",,W,",PGTM,2017-12-27T00:00:00,GHCND:USW00093042,1331
",,W,",PGTM,2017-12-28T00:00:00,GHCND:USW00093042,547
",,W,",PGTM,2017-12-29T00:00:00,GHCND:USW00093042,2317
",,W,",PGTM,2017-12-30T00:00:00,GHCND:USW00093042,2359
",,W,",PGTM,2017-12-31T00:00:00,GHCND:USW00093042,36
