attributes,datatype,date,station,value
",,W,",PGTM,2017-02-16T00:00:00,GHCND:USW00003031,2326
",,W,",PGTM,2017-10-19T00:00:00,GHCND:USW00003031,1234
",,W,",PGTM,2017-10-20T00:00:00,GHCND:USW00003031,2336
",,W,",PGTM,2017-10-21T00:00:00,GHCND:USW00003031,1416
",,W,",PGTM,2017-10-22T00:00:00,GHCND:USW00003031,44
",,W,",PGTM,2017-12-01T00:00:00,GHCND:USW00003031,1117
",,W,",PGTM,2017-12-02T00:00:00,GHCND:USW00003031,3
",,W,",PGTM,2017-12-03T00:00:00,GHCND:USW00003031,2312
",,W,",PGTM,2017-12-04T00:00:00,GHCND:USW00003031,1353
",,W,",PGTM,2017-12-05T00:00:00,GHCND:USW00003031,142
",,W,",PGTM,2017-12-06T00:00:00,GHCND:USW00003031,2342
",,W,",PGTM,2017-12-07T00:00:00,GHCND:USW00003031,903
",,W,",PGTM,2017-12-08T00:00:00,GHCND:USW00003031,1426
",,W,",PGTM,2017-12-09T00:00:00,GHCND:USW00003031,1502
",,W,",PGTM,2017-12-10T00:00:00,GHCND:USW00003031,1615
",,W,",PGTM,2017-12-11T00:00:00,GHCND:USW00003031,1232
",,W,",PGTM,2017-12-12T00:00:00,GHCND:USW00003031,256
",,W,",PGTM,2017-12-13T00:00:00,GHCND:USW00003031,1222
",,W,",PGTM,2017-12-14T00:00:00,GHCND:USW00003031,1315
",,W,",PGTM,2017-12-15T00:00:00,GHCND:USW00003031,1623
",,W,",PGTM,2017-12-16T00:00:00,GHCND:USW00003031,1316
",,W,",PGTM,2017-12-17T00:00:00,GHCND:USW00003031,35
",,W,",PGTM,2017-12-18T00:00:00,GHCND:USW00003031,2316
",,W,",PGTM,2017-12-19T00:00:00,GHCND:USW00003031,1529
",,W,",PGTM,2017-12-20T00:00:00,GHCND:USW00003031,1536
",,W,",PGTM,2017-12-21T00:00:00,GHCND:USW00003031,1348
",,W,",PGTM,2017-12-22T00:00:00,GHCND:USW00003031,131
",,W,",PGTM,2017-12-23T00:00:00,GHCND:USW00003031,1413
",,W,",PGTM,2017-12-24T00:00:00,GHCND:USW00003031,923
",,W,",PGTM,2017-12-25T00:00:00,GHCND:USW00003031,1116
",,W,",PGTM,2017-12-26T00:00:00,GHCND:USW00003031,2236
",,W,",PGTM,2017-12-27T00:00:00,GHCND:USW00003031,10
",,W,",PGTM,2017-12-28T00:00:00,GHCND:USW00003031,1637
",,W,",PGTM,2017-12-29T00:00:00,GHCND:USW00003031,1624
",,W,",PGTM,2017-12-30T00:00:00,GHCND:USW00003031,818
",,W,",PGTM,2017-12-31T00:00:00,GHCND:USW00003031,903
