attributes,datatype,date,station,value
",,7,",WDMV,2017-05-02T00:00:00,GHCND:USC00290992,39.8
",,7,",WDMV,2017-05-03T00:00:00,GHCND:USC00290992,110.0
",,7,",WDMV,2017-05-04T00:00:00,GHCND:USC00290992,218.7
",,7,",WDMV,2017-05-10T00:00:00,GHCND:USC00290992,47.2
",,7,",WDMV,2017-05-11T00:00:00,GHCND:USC00290992,83.3
",,7,",WDMV,2017-05-12T00:00:00,GHCND:USC00290992,14.3
",,7,",WDMV,2017-05-16T00:00:00,GHCND:USC00290992,14.9
",,7,",WDMV,2017-05-17T00:00:00,GHCND:USC00290992,34.8
",,7,",WDMV,2017-05-23T00:00:00,GHCND:USC00290992,44.7
",,7,",WDMV,2017-05-24T00:00:00,GHCND:USC00290992,103.1
",,7,",WDMV,2017-05-25T00:00:00,GHCND:USC00290992,106.9
",,7,",WDMV,2017-05-26T00:00:00,GHCND:USC00290992,118.1
",,7,",WDMV,2017-05-31T00:00:00,GHCND:USC00290992,8.7
",,7,",WDMV,2017-07-11T00:00:00,GHCND:USC00290992,3.7
",,7,",WDMV,2017-07-12T00:00:00,GHCND:USC00290992,6.2
",,7,",WDMV,2017-07-13T00:00:00,GHCND:USC00290992,5.0
",,7,",WDMV,2017-07-18T00:00:00,GHCND:USC00290992,3.1
",,7,",WDMV,2017-07-21T00:00:00,GHCND:USC00290992,5.0
",,7,",WDMV,2017-07-25T00:00:00,GHCND:USC00290992,18.0
",,7,",WDMV,2017-07-26T00:00:00,GHCND:USC00290992,6.8
",,7,",WDMV,2017-07-27T00:00:00,GHCND:USC00290992,3.1
",,7,",WDMV,2017-08-01T00:00:00,GHCND:USC00290992,3.1
",,7,",WDMV,2017-08-02T00:00:00,GHCND:USC00290992,3.1
",,7,",WDMV,2017-08-03T00:00:00,GHCND:USC00290992,1.2
",,7,",WDMV,2017-08-07T00:00:00,GHCND:USC00290992,70.2
",,7,",WDMV,2017-08-08T00:00:00,GHCND:USC00290992,8.7
",,7,",WDMV,2017-08-09T00:00:00,GHCND:USC00290992,6.8
",,7,",WDMV,2017-08-10T00:00:00,GHCND:USC00290992,3.7
",,7,",WDMV,2017-08-15T00:00:00,GHCND:USC00290992,23.0
",,7,",WDMV,2017-08-16T00:00:00,GHCND:USC00290992,6.8
",,7,",WDMV,2017-08-17T00:00:00,GHCND:USC00290992,6.8
",,7,",WDMV,2017-08-21T00:00:00,GHCND:USC00290992,19.3
",,7,",WDMV,2017-08-22T00:00:00,GHCND:USC00290992,1.2
",,7,",WDMV,2017-08-23T00:00:00,GHCND:USC00290992,1.9
",,7,",WDMV,2017-08-28T00:00:00,GHCND:USC00290992,19.9
",,7,",WDMV,2017-08-29T00:00:00,GHCND:USC00290992,19.9
",,7,",WDMV,2017-08-30T00:00:00,GHCND:USC00290992,21.1
",,7,",WDMV,2017-08-31T00:00:00,GHCND:USC00290992,1.2
",,7,",WDMV,2017-09-01T00:00:00,GHCND:USC00290992,1.2
",,7,",WDMV,2017-09-05T00:00:00,GHCND:USC00290992,3.7
",,7,",WDMV,2017-09-06T00:00:00,GHCND:USC00290992,3.1
",,7,",WDMV,2017-09-07T00:00:00,GHCND:USC00290992,9.9
",,7,",WDMV,2017-09-11T00:00:00,GHCND:USC00290992,16.8
",,7,",WDMV,2017-09-12T00:00:00,GHCND:USC00290992,1.2
",,7,",WDMV,2017-09-13T00:00:00,GHCND:USC00290992,3.1
",,7,",WDMV,2017-09-14T00:00:00,GHCND:USC00290992,6.8
