attributes,datatype,date,station,value
",,W,",PGTM,2017-02-23T00:00:00,GHCND:USW00094057,1246
",,W,",PGTM,2017-12-20T00:00:00,GHCND:USW00094057,544
",,W,",PGTM,2017-12-21T00:00:00,GHCND:USW00094057,506
",,W,",PGTM,2017-12-22T00:00:00,GHCND:USW00094057,2354
",,W,",PGTM,2017-12-23T00:00:00,GHCND:USW00094057,1940
",,W,",PGTM,2017-12-24T00:00:00,GHCND:USW00094057,732
",,W,",PGTM,2017-12-25T00:00:00,GHCND:USW00094057,1706
",,W,",PGTM,2017-12-26T00:00:00,GHCND:USW00094057,15
",,W,",PGTM,2017-12-27T00:00:00,GHCND:USW00094057,2359
",,W,",PGTM,2017-12-28T00:00:00,GHCND:USW00094057,13
",,W,",PGTM,2017-12-29T00:00:00,GHCND:USW00094057,354
",,W,",PGTM,2017-12-30T00:00:00,GHCND:USW00094057,1427
",,W,",PGTM,2017-12-31T00:00:00,GHCND:USW00094057,2244
