attributes,datatype,date,station,value
",,W,",PGTM,2017-01-01T00:00:00,GHCND:USW00023199,1533
",,W,",PGTM,2017-01-02T00:00:00,GHCND:USW00023199,1157
",,W,",PGTM,2017-01-03T00:00:00,GHCND:USW00023199,1435
",,W,",PGTM,2017-01-04T00:00:00,GHCND:USW00023199,2121
",,W,",PGTM,2017-01-05T00:00:00,GHCND:USW00023199,1507
",,W,",PGTM,2017-01-06T00:00:00,GHCND:USW00023199,119
",,W,",PGTM,2017-01-07T00:00:00,GHCND:USW00023199,100
",,W,",PGTM,2017-01-08T00:00:00,GHCND:USW00023199,2347
",,W,",PGTM,2017-01-09T00:00:00,GHCND:USW00023199,1902
",,W,",PGTM,2017-01-10T00:00:00,GHCND:USW00023199,1748
",,W,",PGTM,2017-01-11T00:00:00,GHCND:USW00023199,1302
",,W,",PGTM,2017-01-12T00:00:00,GHCND:USW00023199,8
",,W,",PGTM,2017-01-13T00:00:00,GHCND:USW00023199,1453
",,W,",PGTM,2017-01-15T00:00:00,GHCND:USW00023199,2223
",,W,",PGTM,2017-01-16T00:00:00,GHCND:USW00023199,1303
",,W,",PGTM,2017-01-17T00:00:00,GHCND:USW00023199,413
",,W,",PGTM,2017-01-18T00:00:00,GHCND:USW00023199,2219
",,W,",PGTM,2017-01-19T00:00:00,GHCND:USW00023199,1450
",,W,",PGTM,2017-01-20T00:00:00,GHCND:USW00023199,353
",,W,",PGTM,2017-01-21T00:00:00,GHCND:USW00023199,1304
",,W,",PGTM,2017-01-22T00:00:00,GHCND:USW00023199,1812
",,W,",PGTM,2017-01-24T00:00:00,GHCND:USW00023199,949
",,W,",PGTM,2017-01-25T00:00:00,GHCND:USW00023199,918
",,W,",PGTM,2017-01-26T00:00:00,GHCND:USW00023199,1443
",,W,",PGTM,2017-01-27T00:00:00,GHCND:USW00023199,1226
",,W,",PGTM,2017-01-28T00:00:00,GHCND:USW00023199,2332
",,W,",PGTM,2017-01-29T00:00:00,GHCND:USW00023199,120
",,W,",PGTM,2017-01-30T00:00:00,GHCND:USW00023199,614
",,W,",PGTM,2017-01-31T00:00:00,GHCND:USW00023199,49
",,W,",PGTM,2017-02-01T00:00:00,GHCND:USW00023199,206
",,W,",PGTM,2017-02-02T00:00:00,GHCND:USW00023199,1715
",,W,",PGTM,2017-02-03T00:00:00,GHCND:USW00023199,2300
",,W,",PGTM,2017-02-04T00:00:00,GHCND:USW00023199,842
",,W,",PGTM,2017-02-05T00:00:00,GHCND:USW00023199,2337
",,W,",PGTM,2017-02-08T00:00:00,GHCND:USW00023199,1541
