attributes,datatype,date,station,value
",,7,",WDMV,2017-04-09T00:00:00,GHCND:USC00364778,57.8
",,7,",WDMV,2017-04-10T00:00:00,GHCND:USC00364778,24.2
",,7,",WDMV,2017-04-11T00:00:00,GHCND:USC00364778,26.1
",,7,",WDMV,2017-04-12T00:00:00,GHCND:USC00364778,24.2
",,7,",WDMV,2017-04-13T00:00:00,GHCND:USC00364778,42.9
",,7,",WDMV,2017-04-14T00:00:00,GHCND:USC00364778,42.3
",,7,",WDMV,2017-04-15T00:00:00,GHCND:USC00364778,21.7
",,7,",WDMV,2017-04-16T00:00:00,GHCND:USC00364778,29.8
",,7,",WDMV,2017-04-17T00:00:00,GHCND:USC00364778,44.1
",,7,",WDMV,2017-04-18T00:00:00,GHCND:USC00364778,31.7
",,7,",WDMV,2017-04-19T00:00:00,GHCND:USC00364778,41.0
",,7,",WDMV,2017-04-20T00:00:00,GHCND:USC00364778,47.2
",,7,",WDMV,2017-04-21T00:00:00,GHCND:USC00364778,37.3
",,7,",WDMV,2017-04-24T00:00:00,GHCND:USC00364778,73.9
",,7,",WDMV,2017-04-25T00:00:00,GHCND:USC00364778,0.0
",,7,",WDMV,2017-04-26T00:00:00,GHCND:USC00364778,0.0
",,7,",WDMV,2017-06-24T00:00:00,GHCND:USC00364778,3.1
",,7,",WDMV,2017-06-26T00:00:00,GHCND:USC00364778,16.2
",,7,",WDMV,2017-06-27T00:00:00,GHCND:USC00364778,0.0
