attributes,datatype,date,station,value
",,W,",PGTM,2017-01-15T00:00:00,GHCND:USW00003013,457
",,W,",PGTM,2017-03-31T00:00:00,GHCND:USW00003013,106
",,W,",PGTM,2017-04-01T00:00:00,GHCND:USW00003013,1
",,W,",PGTM,2017-04-03T00:00:00,GHCND:USW00003013,1618
",,W,",PGTM,2017-04-04T00:00:00,GHCND:USW00003013,504
",,W,",PGTM,2017-04-30T00:00:00,GHCND:USW00003013,650
",,W,",PGTM,2017-12-01T00:00:00,GHCND:USW00003013,1536
",,W,",PGTM,2017-12-02T00:00:00,GHCND:USW00003013,951
",,W,",PGTM,2017-12-03T00:00:00,GHCND:USW00003013,1834
",,W,",PGTM,2017-12-04T00:00:00,GHCND:USW00003013,1243
",,W,",PGTM,2017-12-05T00:00:00,GHCND:USW00003013,342
",,W,",PGTM,2017-12-06T00:00:00,GHCND:USW00003013,1349
",,W,",PGTM,2017-12-07T00:00:00,GHCND:USW00003013,1252
",,W,",PGTM,2017-12-08T00:00:00,GHCND:USW00003013,1331
",,W,",PGTM,2017-12-09T00:00:00,GHCND:USW00003013,1029
",,W,",PGTM,2017-12-10T00:00:00,GHCND:USW00003013,920
",,W,",PGTM,2017-12-11T00:00:00,GHCND:USW00003013,1431
",,W,",PGTM,2017-12-12T00:00:00,GHCND:USW00003013,1223
",,W,",PGTM,2017-12-13T00:00:00,GHCND:USW00003013,1212
",,W,",PGTM,2017-12-14T00:00:00,GHCND:USW00003013,1415
",,W,",PGTM,2017-12-15T00:00:00,GHCND:USW00003013,944
",,W,",PGTM,2017-12-16T00:00:00,GHCND:USW00003013,2243
",,W,",PGTM,2017-12-17T00:00:00,GHCND:USW00003013,107
",,W,",PGTM,2017-12-18T00:00:00,GHCND:USW00003013,1039
",,W,",PGTM,2017-12-19T00:00:00,GHCND:USW00003013,1115
",,W,",PGTM,2017-12-20T00:00:00,GHCND:USW00003013,1037
",,W,",PGTM,2017-12-21T00:00:00,GHCND:USW00003013,1015
",,W,",PGTM,2017-12-22T00:00:00,GHCND:USW00003013,1004
",,W,",PGTM,2017-12-23T00:00:00,GHCND:USW00003013,2143
",,W,",PGTM,2017-12-24T00:00:00,GHCND:USW00003013,251
",,W,",PGTM,2017-12-25T00:00:00,GHCND:USW00003013,1709
",,W,",PGTM,2017-12-26T00:00:00,GHCND:USW00003013,132
",,W,",PGTM,2017-12-27T00:00:00,GHCND:USW00003013,833
",,W,",PGTM,2017-12-28T00:00:00,GHCND:USW00003013,1411
",,W,",PGTM,2017-12-29T00:00:00,GHCND:USW00003013,1855
",,W,",PGTM,2017-12-30T00:00:00,GHCND:USW00003013,2106
",,W,",PGTM,2017-12-31T00:00:00,GHCND:USW00003013,1424
