attributes,datatype,date,station,value
",,W,",PGTM,2017-01-01T00:00:00,GHCND:USW00024220,951
",,W,",PGTM,2017-01-02T00:00:00,GHCND:USW00024220,1045
",,W,",PGTM,2017-01-03T00:00:00,GHCND:USW00024220,1914
",,W,",PGTM,2017-01-04T00:00:00,GHCND:USW00024220,1303
",,W,",PGTM,2017-01-05T00:00:00,GHCND:USW00024220,307
",,W,",PGTM,2017-01-06T00:00:00,GHCND:USW00024220,1253
",,W,",PGTM,2017-01-07T00:00:00,GHCND:USW00024220,841
",,W,",PGTM,2017-01-08T00:00:00,GHCND:USW00024220,153
",,W,",PGTM,2017-01-09T00:00:00,GHCND:USW00024220,1932
",,W,",PGTM,2017-01-10T00:00:00,GHCND:USW00024220,2239
",,W,",PGTM,2017-01-11T00:00:00,GHCND:USW00024220,1825
",,W,",PGTM,2017-01-12T00:00:00,GHCND:USW00024220,25
",,W,",PGTM,2017-01-13T00:00:00,GHCND:USW00024220,523
",,W,",PGTM,2017-01-14T00:00:00,GHCND:USW00024220,1437
",,W,",PGTM,2017-01-15T00:00:00,GHCND:USW00024220,1552
",,W,",PGTM,2017-01-16T00:00:00,GHCND:USW00024220,1630
",,W,",PGTM,2017-01-17T00:00:00,GHCND:USW00024220,1411
",,W,",PGTM,2017-01-18T00:00:00,GHCND:USW00024220,2112
",,W,",PGTM,2017-01-19T00:00:00,GHCND:USW00024220,610
",,W,",PGTM,2017-01-20T00:00:00,GHCND:USW00024220,2240
",,W,",PGTM,2017-01-21T00:00:00,GHCND:USW00024220,2013
",,W,",PGTM,2017-01-22T00:00:00,GHCND:USW00024220,348
",,W,",PGTM,2017-01-23T00:00:00,GHCND:USW00024220,603
",,W,",PGTM,2017-01-24T00:00:00,GHCND:USW00024220,1846
",,W,",PGTM,2017-01-25T00:00:00,GHCND:USW00024220,525
",,W,",PGTM,2017-01-26T00:00:00,GHCND:USW00024220,1913
",,W,",PGTM,2017-01-27T00:00:00,GHCND:USW00024220,31
",,W,",PGTM,2017-01-28T00:00:00,GHCND:USW00024220,1552
",,W,",PGTM,2017-01-29T00:00:00,GHCND:USW00024220,2209
",,W,",PGTM,2017-01-30T00:00:00,GHCND:USW00024220,1450
",,W,",PGTM,2017-01-31T00:00:00,GHCND:USW00024220,1921
",,W,",PGTM,2017-02-01T00:00:00,GHCND:USW00024220,621
",,W,",PGTM,2017-02-02T00:00:00,GHCND:USW00024220,1454
",,W,",PGTM,2017-02-03T00:00:00,GHCND:USW00024220,31
",,W,",PGTM,2017-02-04T00:00:00,GHCND:USW00024220,217
",,W,",PGTM,2017-02-05T00:00:00,GHCND:USW00024220,452
