attributes,datatype,date,station,value
",,W,",PGTM,2017-12-01T00:00:00,GHCND:USW00024145,801
",,W,",PGTM,2017-12-02T00:00:00,GHCND:USW00024145,33
",,W,",PGTM,2017-12-03T00:00:00,GHCND:USW00024145,1221
",,W,",PGTM,2017-12-04T00:00:00,GHCND:USW00024145,734
",,W,",PGTM,2017-12-05T00:00:00,GHCND:USW00024145,414
",,W,",PGTM,2017-12-06T00:00:00,GHCND:USW00024145,127
",,W,",PGTM,2017-12-07T00:00:00,GHCND:USW00024145,1452
",,W,",PGTM,2017-12-08T00:00:00,GHCND:USW00024145,802
",,W,",PGTM,2017-12-09T00:00:00,GHCND:USW00024145,909
",,W,",PGTM,2017-12-10T00:00:00,GHCND:USW00024145,810
",,W,",PGTM,2017-12-11T00:00:00,GHCND:USW00024145,755
",,W,",PGTM,2017-12-12T00:00:00,GHCND:USW00024145,701
",,W,",PGTM,2017-12-13T00:00:00,GHCND:USW00024145,1015
",,W,",PGTM,2017-12-14T00:00:00,GHCND:USW00024145,610
",,W,",PGTM,2017-12-15T00:00:00,GHCND:USW00024145,1530
",,W,",PGTM,2017-12-16T00:00:00,GHCND:USW00024145,1906
",,W,",PGTM,2017-12-17T00:00:00,GHCND:USW00024145,1126
",,W,",PGTM,2017-12-18T00:00:00,GHCND:USW00024145,2121
",,W,",PGTM,2017-12-19T00:00:00,GHCND:USW00024145,2314
",,W,",PGTM,2017-12-20T00:00:00,GHCND:USW00024145,824
",,W,",PGTM,2017-12-21T00:00:00,GHCND:USW00024145,147
",,W,",PGTM,2017-12-22T00:00:00,GHCND:USW00024145,1839
",,W,",PGTM,2017-12-23T00:00:00,GHCND:USW00024145,14
",,W,",PGTM,2017-12-24T00:00:00,GHCND:USW00024145,1013
",,W,",PGTM,2017-12-25T00:00:00,GHCND:USW00024145,1616
",,W,",PGTM,2017-12-26T00:00:00,GHCND:USW00024145,436
",,W,",PGTM,2017-12-27T00:00:00,GHCND:USW00024145,2318
",,W,",PGTM,2017-12-28T00:00:00,GHCND:USW00024145,2236
",,W,",PGTM,2017-12-29T00:00:00,GHCND:USW00024145,1412
",,W,",PGTM,2017-12-30T00:00:00,GHCND:USW00024145,1334
",,W,",PGTM,2017-12-31T00:00:00,GHCND:USW00024145,2032
