,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00094720,270
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00094720,250
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00094720,240
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00094720,10
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00094720,360
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00094720,240
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00094720,30
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00094720,40
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00094720,80
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00094720,130
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00094720,240
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00094720,210
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00094720,270
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00094720,250
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00094720,110
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00094720,330
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00094720,10
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00094720,290
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00094720,280
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00094720,300
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00094720,310
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00094720,340
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00094720,40
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00094720,10
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00094720,220
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00094720,230
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00094720,240
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00094720,160
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00094720,310
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00094720,220
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00094720,230
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00094720,220
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00094720,10
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00094720,190
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00094720,220
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00094720,10
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00094720,230
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00094720,50
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00094720,40
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00094720,360
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00094720,260
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00094720,280
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00094720,290
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00094720,280
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00094720,330
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00094720,130
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00094720,220
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00094720,220
48,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00094720,360
49,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00094720,360
50,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00094720,210
51,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00094720,240
52,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00094720,360
53,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00094720,110
54,",,W,",WDF2,2016-02-24T00:00:00,GHCND:USW00094720,180
55,",,W,",WDF2,2016-02-25T00:00:00,GHCND:USW00094720,230
56,",,W,",WDF2,2016-02-26T00:00:00,GHCND:USW00094720,240
57,",,W,",WDF2,2016-02-27T00:00:00,GHCND:USW00094720,230
58,",,W,",WDF2,2016-02-28T00:00:00,GHCND:USW00094720,230
59,",,W,",WDF2,2016-02-29T00:00:00,GHCND:USW00094720,230
60,",,W,",WDF2,2016-03-01T00:00:00,GHCND:USW00094720,280
61,",,W,",WDF2,2016-03-02T00:00:00,GHCND:USW00094720,230
62,",,W,",WDF2,2016-03-03T00:00:00,GHCND:USW00094720,310
63,",,W,",WDF2,2016-03-04T00:00:00,GHCND:USW00094720,20
64,",,W,",WDF2,2016-03-05T00:00:00,GHCND:USW00094720,360
