,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00094989,13.4
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00094989,10.1
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00094989,13.2
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00094989,6.0
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00094989,11.4
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00094989,8.5
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00094989,5.4
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00094989,11.0
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00094989,21.9
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00094989,9.8
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00094989,8.9
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00094989,12.8
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00094989,9.2
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00094989,6.7
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00094989,17.2
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00094989,12.8
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00094989,12.5
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00094989,5.6
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00094989,6.9
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00094989,5.6
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00094989,3.8
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00094989,8.5
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00094989,10.5
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00094989,7.4
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00094989,11.4
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00094989,11.6
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00094989,12.3
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00094989,12.8
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00094989,10.1
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00094989,4.3
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00094989,9.2
