,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00094989,250
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00094989,270
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00094989,360
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00094989,150
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00094989,160
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00094989,160
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00094989,90
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00094989,330
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00094989,330
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00094989,330
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00094989,340
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00094989,340
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00094989,260
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00094989,290
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00094989,320
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00094989,350
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00094989,350
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00094989,270
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00094989,140
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00094989,150
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00094989,350
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00094989,20
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00094989,190
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00094989,210
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00094989,310
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00094989,310
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00094989,220
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00094989,320
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00094989,150
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00094989,190
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00094989,310
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00094989,50
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00094989,80
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00094989,320
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00094989,290
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00094989,160
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00094989,210
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00094989,290
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00094989,330
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00094989,340
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00094989,330
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00094989,40
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00094989,350
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00094989,140
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00094989,140
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00094989,150
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00094989,340
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00094989,120
48,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00094989,130
49,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00094989,280
50,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00094989,330
51,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00094989,350
52,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00094989,100
53,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00094989,350
54,",,W,",WDF2,2016-02-24T00:00:00,GHCND:USW00094989,330
55,",,W,",WDF2,2016-02-25T00:00:00,GHCND:USW00094989,340
56,",,W,",WDF2,2016-02-26T00:00:00,GHCND:USW00094989,330
57,",,W,",WDF2,2016-02-27T00:00:00,GHCND:USW00094989,230
58,",,W,",WDF2,2016-02-28T00:00:00,GHCND:USW00094989,320
59,",,W,",WDF2,2016-02-29T00:00:00,GHCND:USW00094989,360
60,",,W,",WDF2,2016-03-01T00:00:00,GHCND:USW00094989,340
61,",,W,",WDF2,2016-03-02T00:00:00,GHCND:USW00094989,130
62,",,W,",WDF2,2016-03-03T00:00:00,GHCND:USW00094989,350
63,",,W,",WDF2,2016-03-04T00:00:00,GHCND:USW00094989,180
64,",,W,",WDF2,2016-03-05T00:00:00,GHCND:USW00094989,330
65,",,W,",WDF2,2016-03-06T00:00:00,GHCND:USW00094989,190
66,",,W,",WDF2,2016-03-07T00:00:00,GHCND:USW00094989,190
67,",,W,",WDF2,2016-03-08T00:00:00,GHCND:USW00094989,220
68,",,W,",WDF2,2016-03-09T00:00:00,GHCND:USW00094989,290
69,",,W,",WDF2,2016-03-10T00:00:00,GHCND:USW00094989,350
70,",,W,",WDF2,2016-03-11T00:00:00,GHCND:USW00094989,180
71,",,W,",WDF2,2016-03-12T00:00:00,GHCND:USW00094989,120
72,",,W,",WDF2,2016-03-13T00:00:00,GHCND:USW00094989,80
73,",,W,",WDF2,2016-03-14T00:00:00,GHCND:USW00094989,170
74,",,W,",WDF2,2016-03-15T00:00:00,GHCND:USW00094989,110
75,",,W,",WDF2,2016-03-16T00:00:00,GHCND:USW00094989,300
76,",,W,",WDF2,2016-03-17T00:00:00,GHCND:USW00094989,290
77,",,W,",WDF2,2016-03-18T00:00:00,GHCND:USW00094989,320
78,",,W,",WDF2,2016-03-19T00:00:00,GHCND:USW00094989,310
79,",,W,",WDF2,2016-03-20T00:00:00,GHCND:USW00094989,320
80,",,W,",WDF2,2016-03-21T00:00:00,GHCND:USW00094989,190
