,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00023187,19.0
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00023187,18.3
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00023187,19.7
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00023187,11.4
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00023187,16.1
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00023187,12.5
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00023187,12.3
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00023187,13.6
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00023187,12.8
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00023187,9.6
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00023187,13.0
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00023187,13.0
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00023187,13.2
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00023187,17.0
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00023187,15.4
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00023187,16.8
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00023187,9.6
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00023187,8.5
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00023187,10.3
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00023187,11.2
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00023187,21.0
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00023187,8.3
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00023187,15.2
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00023187,14.3
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00023187,10.1
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00023187,15.2
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00023187,13.9
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00023187,12.5
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00023187,18.1
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00023187,15.9
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00023187,26.6
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00023187,22.6
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00023187,9.2
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00023187,13.6
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00023187,19.0
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00023187,23.5
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00023187,17.7
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00023187,28.2
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00023187,29.8
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00023187,20.6
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00023187,12.3
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00023187,11.2
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00023187,8.3
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00023187,16.3
44,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00023187,15.7
45,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00023187,20.4
46,",,W,",AWND,2016-02-16T00:00:00,GHCND:USW00023187,12.3
47,",,W,",AWND,2016-02-17T00:00:00,GHCND:USW00023187,23.0
