,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00023187,80
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00023187,80
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00023187,100
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00023187,80
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00023187,160
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00023187,200
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00023187,350
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00023187,340
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00023187,170
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00023187,80
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00023187,80
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00023187,80
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00023187,350
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00023187,350
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00023187,330
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00023187,330
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00023187,70
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00023187,350
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00023187,210
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00023187,70
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00023187,80
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00023187,190
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00023187,330
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00023187,340
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00023187,350
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00023187,80
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00023187,80
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00023187,320
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00023187,340
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00023187,310
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00023187,310
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00023187,330
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00023187,330
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00023187,70
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00023187,70
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00023187,80
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00023187,70
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00023187,80
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00023187,80
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00023187,90
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00023187,70
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00023187,70
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00023187,70
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00023187,340
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00023187,350
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00023187,80
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00023187,70
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00023187,200
48,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00023187,200
49,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00023187,340
50,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00023187,330
51,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00023187,330
52,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00023187,340
53,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00023187,80
54,",,W,",WDF2,2016-02-24T00:00:00,GHCND:USW00023187,70
55,",,W,",WDF2,2016-02-25T00:00:00,GHCND:USW00023187,80
56,",,W,",WDF2,2016-02-26T00:00:00,GHCND:USW00023187,330
57,",,W,",WDF2,2016-02-27T00:00:00,GHCND:USW00023187,330
58,",,W,",WDF2,2016-02-28T00:00:00,GHCND:USW00023187,340
59,",,W,",WDF2,2016-02-29T00:00:00,GHCND:USW00023187,330
60,",,W,",WDF2,2016-03-01T00:00:00,GHCND:USW00023187,330
61,",,W,",WDF2,2016-03-02T00:00:00,GHCND:USW00023187,340
62,",,W,",WDF2,2016-03-03T00:00:00,GHCND:USW00023187,340
63,",,W,",WDF2,2016-03-04T00:00:00,GHCND:USW00023187,330
64,",,W,",WDF2,2016-03-05T00:00:00,GHCND:USW00023187,210
65,",,W,",WDF2,2016-03-06T00:00:00,GHCND:USW00023187,180
66,",,W,",WDF2,2016-03-07T00:00:00,GHCND:USW00023187,350
67,",,W,",WDF2,2016-03-08T00:00:00,GHCND:USW00023187,330
68,",,W,",WDF2,2016-03-09T00:00:00,GHCND:USW00023187,320
69,",,W,",WDF2,2016-03-10T00:00:00,GHCND:USW00023187,340
70,",,W,",WDF2,2016-03-11T00:00:00,GHCND:USW00023187,300
71,",,W,",WDF2,2016-03-12T00:00:00,GHCND:USW00023187,330
72,",,W,",WDF2,2016-03-13T00:00:00,GHCND:USW00023187,260
73,",,W,",WDF2,2016-03-14T00:00:00,GHCND:USW00023187,330
74,",,W,",WDF2,2016-03-15T00:00:00,GHCND:USW00023187,330
75,",,W,",WDF2,2016-03-16T00:00:00,GHCND:USW00023187,80
76,",,W,",WDF2,2016-03-17T00:00:00,GHCND:USW00023187,340
77,",,W,",WDF2,2016-03-18T00:00:00,GHCND:USW00023187,340
78,",,W,",WDF2,2016-03-19T00:00:00,GHCND:USW00023187,330
79,",,W,",WDF2,2016-03-20T00:00:00,GHCND:USW00023187,330
80,",,W,",WDF2,2016-03-21T00:00:00,GHCND:USW00023187,330
81,",,W,",WDF2,2016-03-22T00:00:00,GHCND:USW00023187,340
82,",,W,",WDF2,2016-03-23T00:00:00,GHCND:USW00023187,340
83,",,W,",WDF2,2016-03-24T00:00:00,GHCND:USW00023187,330
84,",,W,",WDF2,2016-03-25T00:00:00,GHCND:USW00023187,340
85,",,W,",WDF2,2016-03-26T00:00:00,GHCND:USW00023187,340
86,",,W,",WDF2,2016-03-27T00:00:00,GHCND:USW00023187,310
87,",,W,",WDF2,2016-03-28T00:00:00,GHCND:USW00023187,320
88,",,W,",WDF2,2016-03-29T00:00:00,GHCND:USW00023187,330
89,",,W,",WDF2,2016-03-30T00:00:00,GHCND:USW00023187,330
90,",,W,",WDF2,2016-03-31T00:00:00,GHCND:USW00023187,340
91,",,W,",WDF2,2016-04-01T00:00:00,GHCND:USW00023187,80
92,",,W,",WDF2,2016-04-02T00:00:00,GHCND:USW00023187,220
93,",,W,",WDF2,2016-04-03T00:00:00,GHCND:USW00023187,330
94,",,W,",WDF2,2016-04-04T00:00:00,GHCND:USW00023187,340
95,",,W,",WDF2,2016-04-05T00:00:00,GHCND:USW00023187,340
96,",,W,",WDF2,2016-04-06T00:00:00,GHCND:USW00023187,80
97,",,W,",WDF2,2016-04-07T00:00:00,GHCND:USW00023187,160
98,",,W,",WDF2,2016-04-08T00:00:00,GHCND:USW00023187,190
99,",,W,",WDF2,2016-04-09T00:00:00,GHCND:USW00023187,170
100,",,W,",WDF2,2016-04-10T00:00:00,GHCND:USW00023187,350
101,",,W,",WDF2,2016-04-11T00:00:00,GHCND:USW00023187,320
