,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00093227,5.4
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00093227,8.9
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00093227,9.2
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00093227,11.6
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00093227,7.6
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00093227,8.7
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00093227,3.4
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00093227,4.9
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00093227,8.1
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00093227,7.2
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00093227,9.6
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00093227,11.4
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00093227,11.0
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00093227,5.8
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00093227,7.8
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00093227,6.7
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00093227,6.5
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00093227,2.9
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00093227,9.6
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00093227,3.6
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00093227,7.4
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00093227,10.5
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00093227,13.6
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00093227,2.9
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00093227,3.1
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00093227,3.1
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00093227,4.7
