,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00014778,10.5
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00014778,8.9
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00014778,5.6
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00014778,11.4
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00014778,4.9
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00014778,0.4
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00014778,0.7
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00014778,2.9
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00014778,6.3
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00014778,13.6
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00014778,11.9
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00014778,10.3
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00014778,11.6
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00014778,2.2
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00014778,2.2
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00014778,6.3
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00014778,6.5
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00014778,16.1
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00014778,13.6
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00014778,6.9
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00014778,7.6
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00014778,6.7
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00014778,7.2
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00014778,12.8
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00014778,6.5
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00014778,4.0
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00014778,11.4
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00014778,6.9
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00014778,12.3
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00014778,6.7
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00014778,5.1
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00014778,4.9
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00014778,4.5
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00014778,8.9
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00014778,4.9
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00014778,7.4
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00014778,3.6
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00014778,1.3
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00014778,4.3
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00014778,7.4
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00014778,14.1
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00014778,13.4
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00014778,4.3
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00014778,15.2
44,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00014778,6.7
45,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00014778,11.2
46,",,W,",AWND,2016-02-16T00:00:00,GHCND:USW00014778,7.6
47,",,W,",AWND,2016-02-17T00:00:00,GHCND:USW00014778,7.8
48,",,W,",AWND,2016-02-18T00:00:00,GHCND:USW00014778,6.3
49,",,W,",AWND,2016-02-20T00:00:00,GHCND:USW00014778,4.9
50,",,W,",AWND,2016-02-21T00:00:00,GHCND:USW00014778,3.8
51,",,W,",AWND,2016-02-22T00:00:00,GHCND:USW00014778,3.1
52,",,W,",AWND,2016-02-23T00:00:00,GHCND:USW00014778,3.4
53,",,W,",AWND,2016-02-24T00:00:00,GHCND:USW00014778,6.0
54,",,W,",AWND,2016-02-25T00:00:00,GHCND:USW00014778,12.3
55,",,W,",AWND,2016-02-26T00:00:00,GHCND:USW00014778,14.8
56,",,W,",AWND,2016-02-27T00:00:00,GHCND:USW00014778,6.0
57,",,W,",AWND,2016-02-28T00:00:00,GHCND:USW00014778,6.7
58,",,W,",AWND,2016-02-29T00:00:00,GHCND:USW00014778,9.6
59,",,W,",AWND,2016-03-01T00:00:00,GHCND:USW00014778,8.9
60,",,W,",AWND,2016-03-02T00:00:00,GHCND:USW00014778,19.2
61,",,W,",AWND,2016-03-03T00:00:00,GHCND:USW00014778,5.8
62,",,W,",AWND,2016-03-04T00:00:00,GHCND:USW00014778,6.3
63,",,W,",AWND,2016-03-05T00:00:00,GHCND:USW00014778,0.9
64,",,W,",AWND,2016-03-06T00:00:00,GHCND:USW00014778,3.4
65,",,W,",AWND,2016-03-07T00:00:00,GHCND:USW00014778,4.5
66,",,W,",AWND,2016-03-08T00:00:00,GHCND:USW00014778,3.1
