,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00014778,280
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00014778,260
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00014778,280
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00014778,340
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00014778,330
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00014778,150
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00014778,110
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00014778,50
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00014778,50
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00014778,260
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00014778,280
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00014778,270
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00014778,260
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00014778,150
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00014778,110
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00014778,300
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00014778,250
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00014778,280
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00014778,280
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00014778,270
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00014778,260
21,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00014778,270
22,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00014778,240
23,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00014778,320
24,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00014778,90
25,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00014778,280
26,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00014778,60
27,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00014778,60
28,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00014778,310
29,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00014778,90
30,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00014778,140
31,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00014778,280
32,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00014778,330
33,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00014778,180
34,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00014778,250
35,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00014778,130
36,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00014778,70
37,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00014778,250
38,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00014778,270
39,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00014778,270
40,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00014778,300
41,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00014778,300
42,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00014778,60
43,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00014778,250
44,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00014778,350
45,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00014778,130
46,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00014778,110
47,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00014778,330
48,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00014778,100
49,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00014778,70
50,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00014778,250
51,",,W,",WDF5,2016-02-25T00:00:00,GHCND:USW00014778,250
52,",,W,",WDF5,2016-02-26T00:00:00,GHCND:USW00014778,280
53,",,W,",WDF5,2016-02-27T00:00:00,GHCND:USW00014778,260
54,",,W,",WDF5,2016-02-28T00:00:00,GHCND:USW00014778,160
55,",,W,",WDF5,2016-02-29T00:00:00,GHCND:USW00014778,260
56,",,W,",WDF5,2016-03-01T00:00:00,GHCND:USW00014778,110
57,",,W,",WDF5,2016-03-02T00:00:00,GHCND:USW00014778,260
58,",,W,",WDF5,2016-03-03T00:00:00,GHCND:USW00014778,340
59,",,W,",WDF5,2016-03-04T00:00:00,GHCND:USW00014778,330
60,",,W,",WDF5,2016-03-05T00:00:00,GHCND:USW00014778,240
61,",,W,",WDF5,2016-03-06T00:00:00,GHCND:USW00014778,270
62,",,W,",WDF5,2016-03-07T00:00:00,GHCND:USW00014778,260
63,",,W,",WDF5,2016-03-08T00:00:00,GHCND:USW00014778,270
64,",,W,",WDF5,2016-03-09T00:00:00,GHCND:USW00014778,230
65,",,W,",WDF5,2016-03-10T00:00:00,GHCND:USW00014778,330
66,",,W,",WDF5,2016-03-11T00:00:00,GHCND:USW00014778,360
67,",,W,",WDF5,2016-03-12T00:00:00,GHCND:USW00014778,120
68,",,W,",WDF5,2016-03-13T00:00:00,GHCND:USW00014778,170
69,",,W,",WDF5,2016-03-14T00:00:00,GHCND:USW00014778,90
70,",,W,",WDF5,2016-03-15T00:00:00,GHCND:USW00014778,50
71,",,W,",WDF5,2016-03-16T00:00:00,GHCND:USW00014778,220
72,",,W,",WDF5,2016-03-17T00:00:00,GHCND:USW00014778,280
73,",,W,",WDF5,2016-03-18T00:00:00,GHCND:USW00014778,300
74,",,W,",WDF5,2016-03-19T00:00:00,GHCND:USW00014778,20
75,",,W,",WDF5,2016-03-20T00:00:00,GHCND:USW00014778,120
76,",,W,",WDF5,2016-03-21T00:00:00,GHCND:USW00014778,260
77,",,W,",WDF5,2016-03-22T00:00:00,GHCND:USW00014778,150
78,",,W,",WDF5,2016-03-23T00:00:00,GHCND:USW00014778,230
79,",,W,",WDF5,2016-03-24T00:00:00,GHCND:USW00014778,190
80,",,W,",WDF5,2016-03-25T00:00:00,GHCND:USW00014778,250
81,",,W,",WDF5,2016-03-26T00:00:00,GHCND:USW00014778,320
82,",,W,",WDF5,2016-03-27T00:00:00,GHCND:USW00014778,120
83,",,W,",WDF5,2016-03-28T00:00:00,GHCND:USW00014778,250
84,",,W,",WDF5,2016-03-29T00:00:00,GHCND:USW00014778,300
85,",,W,",WDF5,2016-03-30T00:00:00,GHCND:USW00014778,140
86,",,W,",WDF5,2016-03-31T00:00:00,GHCND:USW00014778,150
87,",,W,",WDF5,2016-04-01T00:00:00,GHCND:USW00014778,250
88,",,W,",WDF5,2016-04-02T00:00:00,GHCND:USW00014778,240
89,",,W,",WDF5,2016-04-03T00:00:00,GHCND:USW00014778,310
90,",,W,",WDF5,2016-04-04T00:00:00,GHCND:USW00014778,310
91,",,W,",WDF5,2016-04-05T00:00:00,GHCND:USW00014778,300
92,",,W,",WDF5,2016-04-06T00:00:00,GHCND:USW00014778,150
93,",,W,",WDF5,2016-04-07T00:00:00,GHCND:USW00014778,150
94,",,W,",WDF5,2016-04-08T00:00:00,GHCND:USW00014778,280
95,",,W,",WDF5,2016-04-09T00:00:00,GHCND:USW00014778,310
96,",,W,",WDF5,2016-04-10T00:00:00,GHCND:USW00014778,90
97,",,W,",WDF5,2016-04-11T00:00:00,GHCND:USW00014778,110
98,",,W,",WDF5,2016-04-12T00:00:00,GHCND:USW00014778,280
99,",,W,",WDF5,2016-04-13T00:00:00,GHCND:USW00014778,30
100,",,W,",WDF5,2016-04-14T00:00:00,GHCND:USW00014778,190
101,",,W,",WDF5,2016-04-15T00:00:00,GHCND:USW00014778,120
102,",,W,",WDF5,2016-04-16T00:00:00,GHCND:USW00014778,60
103,",,W,",WDF5,2016-04-17T00:00:00,GHCND:USW00014778,20
104,",,W,",WDF5,2016-04-18T00:00:00,GHCND:USW00014778,250
105,",,W,",WDF5,2016-04-19T00:00:00,GHCND:USW00014778,340
106,",,W,",WDF5,2016-04-20T00:00:00,GHCND:USW00014778,240
107,",,W,",WDF5,2016-04-21T00:00:00,GHCND:USW00014778,120
108,",,W,",WDF5,2016-04-22T00:00:00,GHCND:USW00014778,260
109,",,W,",WDF5,2016-04-23T00:00:00,GHCND:USW00014778,310
110,",,W,",WDF5,2016-04-24T00:00:00,GHCND:USW00014778,200
111,",,W,",WDF5,2016-04-25T00:00:00,GHCND:USW00014778,170
112,",,W,",WDF5,2016-04-26T00:00:00,GHCND:USW00014778,270
113,",,W,",WDF5,2016-04-27T00:00:00,GHCND:USW00014778,170
114,",,W,",WDF5,2016-04-28T00:00:00,GHCND:USW00014778,100
115,",,W,",WDF5,2016-04-29T00:00:00,GHCND:USW00014778,120
116,",,W,",WDF5,2016-04-30T00:00:00,GHCND:USW00014778,160
117,",,W,",WDF5,2016-05-01T00:00:00,GHCND:USW00014778,100
118,",,W,",WDF5,2016-05-02T00:00:00,GHCND:USW00014778,70
119,",,W,",WDF5,2016-05-03T00:00:00,GHCND:USW00014778,320
120,",,W,",WDF5,2016-05-04T00:00:00,GHCND:USW00014778,100
121,",,W,",WDF5,2016-05-05T00:00:00,GHCND:USW00014778,10
122,",,W,",WDF5,2016-05-06T00:00:00,GHCND:USW00014778,20
123,",,W,",WDF5,2016-05-07T00:00:00,GHCND:USW00014778,160
124,",,W,",WDF5,2016-05-08T00:00:00,GHCND:USW00014778,280
125,",,W,",WDF5,2016-05-09T00:00:00,GHCND:USW00014778,360
126,",,W,",WDF5,2016-05-10T00:00:00,GHCND:USW00014778,220
127,",,W,",WDF5,2016-05-11T00:00:00,GHCND:USW00014778,200
128,",,W,",WDF5,2016-05-12T00:00:00,GHCND:USW00014778,170
129,",,W,",WDF5,2016-05-13T00:00:00,GHCND:USW00014778,150
130,",,W,",WDF5,2016-05-14T00:00:00,GHCND:USW00014778,250
131,",,W,",WDF5,2016-05-15T00:00:00,GHCND:USW00014778,280
132,",,W,",WDF5,2016-05-16T00:00:00,GHCND:USW00014778,260
133,",,W,",WDF5,2016-05-17T00:00:00,GHCND:USW00014778,110
134,",,W,",WDF5,2016-05-18T00:00:00,GHCND:USW00014778,170
135,",,W,",WDF5,2016-05-19T00:00:00,GHCND:USW00014778,320
136,",,W,",WDF5,2016-05-20T00:00:00,GHCND:USW00014778,160
137,",,W,",WDF5,2016-05-21T00:00:00,GHCND:USW00014778,130
138,",,W,",WDF5,2016-05-22T00:00:00,GHCND:USW00014778,270
139,",,W,",WDF5,2016-05-23T00:00:00,GHCND:USW00014778,20
140,",,W,",WDF5,2016-05-24T00:00:00,GHCND:USW00014778,320
141,",,W,",WDF5,2016-05-25T00:00:00,GHCND:USW00014778,240
142,",,W,",WDF5,2016-05-26T00:00:00,GHCND:USW00014778,180
143,",,W,",WDF5,2016-05-27T00:00:00,GHCND:USW00014778,170
144,",,W,",WDF5,2016-05-28T00:00:00,GHCND:USW00014778,150
145,",,W,",WDF5,2016-05-29T00:00:00,GHCND:USW00014778,180
146,",,W,",WDF5,2016-05-30T00:00:00,GHCND:USW00014778,280
147,",,W,",WDF5,2016-05-31T00:00:00,GHCND:USW00014778,240
148,",,W,",WDF5,2016-06-01T00:00:00,GHCND:USW00014778,140
149,",,W,",WDF5,2016-06-02T00:00:00,GHCND:USW00014778,160
150,",,W,",WDF5,2016-06-03T00:00:00,GHCND:USW00014778,180
151,",,W,",WDF5,2016-06-04T00:00:00,GHCND:USW00014778,120
152,",,W,",WDF5,2016-06-05T00:00:00,GHCND:USW00014778,270
153,",,W,",WDF5,2016-06-06T00:00:00,GHCND:USW00014778,250
154,",,W,",WDF5,2016-06-07T00:00:00,GHCND:USW00014778,320
155,",,W,",WDF5,2016-06-08T00:00:00,GHCND:USW00014778,290
156,",,W,",WDF5,2016-06-09T00:00:00,GHCND:USW00014778,320
157,",,W,",WDF5,2016-06-10T00:00:00,GHCND:USW00014778,290
158,",,W,",WDF5,2016-06-11T00:00:00,GHCND:USW00014778,270
159,",,W,",WDF5,2016-06-12T00:00:00,GHCND:USW00014778,290
160,",,W,",WDF5,2016-06-13T00:00:00,GHCND:USW00014778,310
161,",,W,",WDF5,2016-06-14T00:00:00,GHCND:USW00014778,320
162,",,W,",WDF5,2016-06-15T00:00:00,GHCND:USW00014778,150
163,",,W,",WDF5,2016-06-16T00:00:00,GHCND:USW00014778,90
164,",,W,",WDF5,2016-06-17T00:00:00,GHCND:USW00014778,10
165,",,W,",WDF5,2016-06-18T00:00:00,GHCND:USW00014778,240
166,",,W,",WDF5,2016-06-19T00:00:00,GHCND:USW00014778,240
167,",,W,",WDF5,2016-06-20T00:00:00,GHCND:USW00014778,270
168,",,W,",WDF5,2016-06-21T00:00:00,GHCND:USW00014778,350
169,",,W,",WDF5,2016-06-22T00:00:00,GHCND:USW00014778,280
170,",,W,",WDF5,2016-06-23T00:00:00,GHCND:USW00014778,270
171,",,W,",WDF5,2016-06-24T00:00:00,GHCND:USW00014778,270
172,",,W,",WDF5,2016-06-25T00:00:00,GHCND:USW00014778,160
