,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00014916,11.4
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00014916,14.3
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00014916,7.2
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00014916,17.2
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00014916,8.5
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00014916,8.9
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00014916,11.0
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00014916,18.3
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00014916,12.1
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00014916,5.1
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00014916,9.6
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00014916,8.3
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00014916,6.9
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00014916,13.0
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00014916,12.5
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00014916,11.0
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00014916,5.1
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00014916,4.9
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00014916,11.6
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00014916,6.7
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00014916,7.8
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00014916,13.2
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00014916,21.3
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00014916,12.5
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00014916,11.6
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00014916,9.4
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00014916,21.9
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00014916,13.9
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00014916,16.3
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00014916,10.5
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00014916,5.6
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00014916,5.4
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00014916,12.5
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00014916,8.3
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00014916,7.6
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00014916,6.7
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00014916,12.1
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00014916,26.2
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00014916,24.2
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00014916,11.9
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00014916,7.4
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00014916,6.5
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00014916,13.0
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00014916,13.4
44,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00014916,15.4
45,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00014916,6.9
46,",,W,",AWND,2016-02-16T00:00:00,GHCND:USW00014916,9.4
47,",,W,",AWND,2016-02-17T00:00:00,GHCND:USW00014916,13.2
48,",,W,",AWND,2016-02-18T00:00:00,GHCND:USW00014916,13.4
49,",,W,",AWND,2016-02-19T00:00:00,GHCND:USW00014916,10.1
50,",,W,",AWND,2016-02-20T00:00:00,GHCND:USW00014916,13.6
51,",,W,",AWND,2016-02-21T00:00:00,GHCND:USW00014916,11.2
52,",,W,",AWND,2016-02-22T00:00:00,GHCND:USW00014916,11.4
53,",,W,",AWND,2016-02-23T00:00:00,GHCND:USW00014916,9.8
54,",,W,",AWND,2016-02-24T00:00:00,GHCND:USW00014916,9.8
55,",,W,",AWND,2016-02-25T00:00:00,GHCND:USW00014916,10.1
56,",,W,",AWND,2016-02-26T00:00:00,GHCND:USW00014916,10.5
57,",,W,",AWND,2016-02-27T00:00:00,GHCND:USW00014916,10.7
58,",,W,",AWND,2016-02-28T00:00:00,GHCND:USW00014916,17.0
59,",,W,",AWND,2016-02-29T00:00:00,GHCND:USW00014916,16.1
60,",,W,",AWND,2016-03-01T00:00:00,GHCND:USW00014916,5.8
61,",,W,",AWND,2016-03-02T00:00:00,GHCND:USW00014916,7.8
62,",,W,",AWND,2016-03-03T00:00:00,GHCND:USW00014916,7.8
63,",,W,",AWND,2016-03-04T00:00:00,GHCND:USW00014916,14.8
64,",,W,",AWND,2016-03-05T00:00:00,GHCND:USW00014916,14.3
65,",,W,",AWND,2016-03-06T00:00:00,GHCND:USW00014916,9.6
66,",,W,",AWND,2016-03-07T00:00:00,GHCND:USW00014916,10.1
67,",,W,",AWND,2016-03-08T00:00:00,GHCND:USW00014916,17.7
68,",,W,",AWND,2016-03-09T00:00:00,GHCND:USW00014916,7.6
69,",,W,",AWND,2016-03-10T00:00:00,GHCND:USW00014916,10.7
70,",,W,",AWND,2016-03-11T00:00:00,GHCND:USW00014916,12.3
71,",,W,",AWND,2016-03-12T00:00:00,GHCND:USW00014916,8.7
72,",,W,",AWND,2016-03-13T00:00:00,GHCND:USW00014916,12.1
73,",,W,",AWND,2016-03-14T00:00:00,GHCND:USW00014916,10.5
74,",,W,",AWND,2016-03-15T00:00:00,GHCND:USW00014916,12.8
75,",,W,",AWND,2016-03-16T00:00:00,GHCND:USW00014916,11.6
76,",,W,",AWND,2016-03-17T00:00:00,GHCND:USW00014916,12.3
77,",,W,",AWND,2016-03-18T00:00:00,GHCND:USW00014916,8.7
78,",,W,",AWND,2016-03-19T00:00:00,GHCND:USW00014916,8.7
79,",,W,",AWND,2016-03-20T00:00:00,GHCND:USW00014916,5.8
80,",,W,",AWND,2016-03-21T00:00:00,GHCND:USW00014916,9.2
81,",,W,",AWND,2016-03-22T00:00:00,GHCND:USW00014916,14.5
82,",,W,",AWND,2016-03-23T00:00:00,GHCND:USW00014916,10.1
83,",,W,",AWND,2016-03-24T00:00:00,GHCND:USW00014916,8.9
84,",,W,",AWND,2016-03-25T00:00:00,GHCND:USW00014916,18.1
85,",,W,",AWND,2016-03-26T00:00:00,GHCND:USW00014916,6.9
86,",,W,",AWND,2016-03-27T00:00:00,GHCND:USW00014916,8.5
87,",,W,",AWND,2016-03-28T00:00:00,GHCND:USW00014916,7.2
88,",,W,",AWND,2016-03-29T00:00:00,GHCND:USW00014916,8.5
89,",,W,",AWND,2016-03-30T00:00:00,GHCND:USW00014916,9.2
90,",,W,",AWND,2016-03-31T00:00:00,GHCND:USW00014916,16.1
91,",,W,",AWND,2016-04-01T00:00:00,GHCND:USW00014916,18.3
92,",,W,",AWND,2016-04-02T00:00:00,GHCND:USW00014916,15.2
93,",,W,",AWND,2016-04-03T00:00:00,GHCND:USW00014916,16.3
94,",,W,",AWND,2016-04-04T00:00:00,GHCND:USW00014916,8.1
95,",,W,",AWND,2016-04-05T00:00:00,GHCND:USW00014916,12.8
96,",,W,",AWND,2016-04-06T00:00:00,GHCND:USW00014916,11.0
97,",,W,",AWND,2016-04-07T00:00:00,GHCND:USW00014916,18.1
98,",,W,",AWND,2016-04-08T00:00:00,GHCND:USW00014916,16.6
99,",,W,",AWND,2016-04-09T00:00:00,GHCND:USW00014916,19.5
100,",,W,",AWND,2016-04-10T00:00:00,GHCND:USW00014916,17.4
101,",,W,",AWND,2016-04-11T00:00:00,GHCND:USW00014916,14.5
102,",,W,",AWND,2016-04-12T00:00:00,GHCND:USW00014916,10.3
103,",,W,",AWND,2016-04-13T00:00:00,GHCND:USW00014916,7.2
104,",,W,",AWND,2016-04-14T00:00:00,GHCND:USW00014916,7.2
105,",,W,",AWND,2016-04-15T00:00:00,GHCND:USW00014916,19.9
106,",,W,",AWND,2016-04-16T00:00:00,GHCND:USW00014916,14.8
107,",,W,",AWND,2016-04-17T00:00:00,GHCND:USW00014916,13.4
108,",,W,",AWND,2016-04-18T00:00:00,GHCND:USW00014916,14.5
109,",,W,",AWND,2016-04-19T00:00:00,GHCND:USW00014916,8.5
110,",,W,",AWND,2016-04-20T00:00:00,GHCND:USW00014916,6.7
111,",,W,",AWND,2016-04-21T00:00:00,GHCND:USW00014916,20.4
112,",,W,",AWND,2016-04-22T00:00:00,GHCND:USW00014916,5.4
113,",,W,",AWND,2016-04-23T00:00:00,GHCND:USW00014916,15.9
114,",,W,",AWND,2016-04-24T00:00:00,GHCND:USW00014916,21.0
115,",,W,",AWND,2016-04-25T00:00:00,GHCND:USW00014916,18.3
116,",,W,",AWND,2016-04-26T00:00:00,GHCND:USW00014916,11.9
117,",,W,",AWND,2016-04-27T00:00:00,GHCND:USW00014916,15.2
118,",,W,",AWND,2016-04-28T00:00:00,GHCND:USW00014916,11.4
119,",,W,",AWND,2016-04-29T00:00:00,GHCND:USW00014916,10.5
120,",,W,",AWND,2016-04-30T00:00:00,GHCND:USW00014916,14.1
121,",,W,",AWND,2016-05-01T00:00:00,GHCND:USW00014916,6.0
122,",,W,",AWND,2016-05-02T00:00:00,GHCND:USW00014916,6.0
123,",,W,",AWND,2016-05-03T00:00:00,GHCND:USW00014916,17.7
124,",,W,",AWND,2016-05-04T00:00:00,GHCND:USW00014916,6.7
