,attributes,datatype,date,station,value
0,",,W,",WDF2,2016-01-01T00:00:00,GHCND:USW00014916,280
1,",,W,",WDF2,2016-01-02T00:00:00,GHCND:USW00014916,350
2,",,W,",WDF2,2016-01-03T00:00:00,GHCND:USW00014916,210
3,",,W,",WDF2,2016-01-04T00:00:00,GHCND:USW00014916,180
4,",,W,",WDF2,2016-01-05T00:00:00,GHCND:USW00014916,180
5,",,W,",WDF2,2016-01-06T00:00:00,GHCND:USW00014916,350
6,",,W,",WDF2,2016-01-07T00:00:00,GHCND:USW00014916,350
7,",,W,",WDF2,2016-01-08T00:00:00,GHCND:USW00014916,350
8,",,W,",WDF2,2016-01-09T00:00:00,GHCND:USW00014916,350
9,",,W,",WDF2,2016-01-10T00:00:00,GHCND:USW00014916,190
10,",,W,",WDF2,2016-01-11T00:00:00,GHCND:USW00014916,340
11,",,W,",WDF2,2016-01-12T00:00:00,GHCND:USW00014916,190
12,",,W,",WDF2,2016-01-13T00:00:00,GHCND:USW00014916,20
13,",,W,",WDF2,2016-01-14T00:00:00,GHCND:USW00014916,350
14,",,W,",WDF2,2016-01-15T00:00:00,GHCND:USW00014916,350
15,",,W,",WDF2,2016-01-16T00:00:00,GHCND:USW00014916,300
16,",,W,",WDF2,2016-01-17T00:00:00,GHCND:USW00014916,300
17,",,W,",WDF2,2016-01-18T00:00:00,GHCND:USW00014916,140
18,",,W,",WDF2,2016-01-19T00:00:00,GHCND:USW00014916,180
19,",,W,",WDF2,2016-01-20T00:00:00,GHCND:USW00014916,350
20,",,W,",WDF2,2016-01-21T00:00:00,GHCND:USW00014916,350
21,",,W,",WDF2,2016-01-22T00:00:00,GHCND:USW00014916,180
22,",,W,",WDF2,2016-01-23T00:00:00,GHCND:USW00014916,180
23,",,W,",WDF2,2016-01-24T00:00:00,GHCND:USW00014916,340
24,",,W,",WDF2,2016-01-25T00:00:00,GHCND:USW00014916,340
25,",,W,",WDF2,2016-01-26T00:00:00,GHCND:USW00014916,190
26,",,W,",WDF2,2016-01-27T00:00:00,GHCND:USW00014916,290
27,",,W,",WDF2,2016-01-28T00:00:00,GHCND:USW00014916,340
28,",,W,",WDF2,2016-01-29T00:00:00,GHCND:USW00014916,180
29,",,W,",WDF2,2016-01-30T00:00:00,GHCND:USW00014916,270
30,",,W,",WDF2,2016-01-31T00:00:00,GHCND:USW00014916,330
31,",,W,",WDF2,2016-02-01T00:00:00,GHCND:USW00014916,30
32,",,W,",WDF2,2016-02-02T00:00:00,GHCND:USW00014916,20
33,",,W,",WDF2,2016-02-03T00:00:00,GHCND:USW00014916,340
34,",,W,",WDF2,2016-02-04T00:00:00,GHCND:USW00014916,340
35,",,W,",WDF2,2016-02-05T00:00:00,GHCND:USW00014916,160
36,",,W,",WDF2,2016-02-06T00:00:00,GHCND:USW00014916,280
37,",,W,",WDF2,2016-02-07T00:00:00,GHCND:USW00014916,330
38,",,W,",WDF2,2016-02-08T00:00:00,GHCND:USW00014916,350
39,",,W,",WDF2,2016-02-09T00:00:00,GHCND:USW00014916,350
40,",,W,",WDF2,2016-02-10T00:00:00,GHCND:USW00014916,30
41,",,W,",WDF2,2016-02-11T00:00:00,GHCND:USW00014916,330
42,",,W,",WDF2,2016-02-12T00:00:00,GHCND:USW00014916,360
43,",,W,",WDF2,2016-02-13T00:00:00,GHCND:USW00014916,170
44,",,W,",WDF2,2016-02-14T00:00:00,GHCND:USW00014916,180
45,",,W,",WDF2,2016-02-15T00:00:00,GHCND:USW00014916,200
46,",,W,",WDF2,2016-02-16T00:00:00,GHCND:USW00014916,10
47,",,W,",WDF2,2016-02-17T00:00:00,GHCND:USW00014916,180
48,",,W,",WDF2,2016-02-18T00:00:00,GHCND:USW00014916,160
49,",,W,",WDF2,2016-02-19T00:00:00,GHCND:USW00014916,280
50,",,W,",WDF2,2016-02-20T00:00:00,GHCND:USW00014916,330
51,",,W,",WDF2,2016-02-21T00:00:00,GHCND:USW00014916,350
52,",,W,",WDF2,2016-02-22T00:00:00,GHCND:USW00014916,190
53,",,W,",WDF2,2016-02-23T00:00:00,GHCND:USW00014916,340
54,",,W,",WDF2,2016-02-24T00:00:00,GHCND:USW00014916,350
55,",,W,",WDF2,2016-02-25T00:00:00,GHCND:USW00014916,330
56,",,W,",WDF2,2016-02-26T00:00:00,GHCND:USW00014916,270
57,",,W,",WDF2,2016-02-27T00:00:00,GHCND:USW00014916,350
58,",,W,",WDF2,2016-02-28T00:00:00,GHCND:USW00014916,360
59,",,W,",WDF2,2016-02-29T00:00:00,GHCND:USW00014916,10
60,",,W,",WDF2,2016-03-01T00:00:00,GHCND:USW00014916,240
61,",,W,",WDF2,2016-03-02T00:00:00,GHCND:USW00014916,30
62,",,W,",WDF2,2016-03-03T00:00:00,GHCND:USW00014916,360
63,",,W,",WDF2,2016-03-04T00:00:00,GHCND:USW00014916,340
64,",,W,",WDF2,2016-03-05T00:00:00,GHCND:USW00014916,160
65,",,W,",WDF2,2016-03-06T00:00:00,GHCND:USW00014916,180
66,",,W,",WDF2,2016-03-07T00:00:00,GHCND:USW00014916,120
67,",,W,",WDF2,2016-03-08T00:00:00,GHCND:USW00014916,360
