,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00094950,290
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00094950,290
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00094950,310
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00094950,160
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00094950,160
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00094950,150
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00094950,330
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00094950,350
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00094950,350
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00094950,280
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00094950,340
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00094950,330
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00094950,240
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00094950,340
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00094950,340
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00094950,320
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00094950,290
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00094950,130
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00094950,130
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00094950,160
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00094950,330
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00094950,150
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00094950,160
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00094950,100
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00094950,320
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00094950,320
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00094950,280
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00094950,290
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00094950,160
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00094950,170
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00094950,280
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00094950,70
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00094950,20
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00094950,350
