,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00014763,290
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00014763,270
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00014763,290
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00014763,300
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00014763,300
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00014763,230
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00014763,230
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00014763,110
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00014763,120
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00014763,240
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00014763,260
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00014763,190
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00014763,290
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00014763,280
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00014763,120
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00014763,320
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00014763,310
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00014763,280
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00014763,290
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00014763,300
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00014763,310
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00014763,340
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00014763,50
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00014763,290
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00014763,180
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00014763,180
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00014763,270
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00014763,200
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00014763,280
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00014763,280
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00014763,230
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00014763,310
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00014763,300
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00014763,140
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00014763,280
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00014763,300
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00014763,220
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00014763,220
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00014763,50
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00014763,150
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00014763,280
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00014763,290
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00014763,290
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00014763,320
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00014763,290
45,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00014763,140
46,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00014763,140
47,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00014763,300
48,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00014763,280
49,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00014763,170
50,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00014763,200
51,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00014763,280
52,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00014763,330
53,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00014763,130
54,",,W,",WDF5,2016-02-24T00:00:00,GHCND:USW00014763,130
55,",,W,",WDF5,2016-02-25T00:00:00,GHCND:USW00014763,260
56,",,W,",WDF5,2016-02-26T00:00:00,GHCND:USW00014763,280
57,",,W,",WDF5,2016-02-27T00:00:00,GHCND:USW00014763,290
58,",,W,",WDF5,2016-02-28T00:00:00,GHCND:USW00014763,210
59,",,W,",WDF5,2016-02-29T00:00:00,GHCND:USW00014763,250
60,",,W,",WDF5,2016-03-01T00:00:00,GHCND:USW00014763,320
61,",,W,",WDF5,2016-03-02T00:00:00,GHCND:USW00014763,270
62,",,W,",WDF5,2016-03-03T00:00:00,GHCND:USW00014763,290
63,",,W,",WDF5,2016-03-04T00:00:00,GHCND:USW00014763,10
64,",,W,",WDF5,2016-03-05T00:00:00,GHCND:USW00014763,280
65,",,W,",WDF5,2016-03-06T00:00:00,GHCND:USW00014763,300
66,",,W,",WDF5,2016-03-07T00:00:00,GHCND:USW00014763,230
67,",,W,",WDF5,2016-03-08T00:00:00,GHCND:USW00014763,340
68,",,W,",WDF5,2016-03-09T00:00:00,GHCND:USW00014763,230
69,",,W,",WDF5,2016-03-10T00:00:00,GHCND:USW00014763,270
70,",,W,",WDF5,2016-03-11T00:00:00,GHCND:USW00014763,270
71,",,W,",WDF5,2016-03-12T00:00:00,GHCND:USW00014763,290
72,",,W,",WDF5,2016-03-13T00:00:00,GHCND:USW00014763,300
73,",,W,",WDF5,2016-03-14T00:00:00,GHCND:USW00014763,80
74,",,W,",WDF5,2016-03-15T00:00:00,GHCND:USW00014763,50
75,",,W,",WDF5,2016-03-16T00:00:00,GHCND:USW00014763,300
76,",,W,",WDF5,2016-03-17T00:00:00,GHCND:USW00014763,280
77,",,W,",WDF5,2016-03-18T00:00:00,GHCND:USW00014763,280
78,",,W,",WDF5,2016-03-19T00:00:00,GHCND:USW00014763,330
79,",,W,",WDF5,2016-03-20T00:00:00,GHCND:USW00014763,100
80,",,W,",WDF5,2016-03-21T00:00:00,GHCND:USW00014763,260
81,",,W,",WDF5,2016-03-22T00:00:00,GHCND:USW00014763,300
82,",,W,",WDF5,2016-03-23T00:00:00,GHCND:USW00014763,280
83,",,W,",WDF5,2016-03-24T00:00:00,GHCND:USW00014763,120
84,",,W,",WDF5,2016-03-25T00:00:00,GHCND:USW00014763,290
85,",,W,",WDF5,2016-03-26T00:00:00,GHCND:USW00014763,340
86,",,W,",WDF5,2016-03-27T00:00:00,GHCND:USW00014763,160
87,",,W,",WDF5,2016-03-28T00:00:00,GHCND:USW00014763,260
88,",,W,",WDF5,2016-03-29T00:00:00,GHCND:USW00014763,280
