,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00024243,6.3
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00024243,6.0
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00024243,3.6
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00024243,2.2
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00024243,3.1
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00024243,2.0
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00024243,2.0
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00024243,2.9
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00024243,3.6
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00024243,3.1
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00024243,2.7
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00024243,1.8
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00024243,1.6
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00024243,4.3
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00024243,4.5
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00024243,3.1
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00024243,3.6
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00024243,6.0
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00024243,6.7
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00024243,5.1
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00024243,4.5
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00024243,5.1
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00024243,5.8
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00024243,4.3
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00024243,4.7
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00024243,2.0
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00024243,2.0
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00024243,3.8
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00024243,5.8
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00024243,3.8
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00024243,2.7
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00024243,2.5
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00024243,3.6
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00024243,0.9
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00024243,4.3
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00024243,4.7
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00024243,5.4
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00024243,6.0
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00024243,6.3
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00024243,4.9
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00024243,3.4
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00024243,3.8
