,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00024033,24.4
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00024033,18.8
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00024033,14.1
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00024033,14.3
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00024033,7.2
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00024033,8.5
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00024033,6.9
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00024033,4.9
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00024033,6.9
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00024033,15.0
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00024033,15.7
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00024033,17.7
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00024033,18.8
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00024033,17.9
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00024033,9.6
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00024033,9.8
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00024033,4.0
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00024033,7.6
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00024033,11.9
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00024033,7.4
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00024033,10.5
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00024033,22.1
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00024033,8.5
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00024033,13.4
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00024033,13.4
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00024033,17.2
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00024033,20.1
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00024033,20.1
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00024033,11.4
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00024033,18.1
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00024033,10.1
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00024033,4.0
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00024033,7.6
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00024033,15.2
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00024033,16.6
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00024033,18.8
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00024033,26.6
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00024033,11.6
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00024033,14.8
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00024033,17.2
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00024033,16.8
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00024033,13.0
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00024033,6.5
