,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00024033,240
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00024033,230
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00024033,240
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00024033,230
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00024033,230
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00024033,230
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00024033,60
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00024033,150
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00024033,230
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00024033,230
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00024033,260
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00024033,270
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00024033,240
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00024033,300
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00024033,310
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00024033,50
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00024033,30
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00024033,230
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00024033,240
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00024033,310
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00024033,240
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00024033,240
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00024033,240
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00024033,310
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00024033,320
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00024033,240
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00024033,250
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00024033,240
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00024033,270
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00024033,280
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00024033,270
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00024033,30
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00024033,280
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00024033,260
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00024033,250
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00024033,280
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00024033,310
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00024033,320
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00024033,320
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00024033,240
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00024033,240
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00024033,330
