,attributes,datatype,date,station,value
0,",,W,",WDF5,2016-01-01T00:00:00,GHCND:USW00014923,270
1,",,W,",WDF5,2016-01-02T00:00:00,GHCND:USW00014923,280
2,",,W,",WDF5,2016-01-03T00:00:00,GHCND:USW00014923,340
3,",,W,",WDF5,2016-01-04T00:00:00,GHCND:USW00014923,300
4,",,W,",WDF5,2016-01-05T00:00:00,GHCND:USW00014923,190
5,",,W,",WDF5,2016-01-06T00:00:00,GHCND:USW00014923,190
6,",,W,",WDF5,2016-01-07T00:00:00,GHCND:USW00014923,130
7,",,W,",WDF5,2016-01-08T00:00:00,GHCND:USW00014923,270
8,",,W,",WDF5,2016-01-09T00:00:00,GHCND:USW00014923,310
9,",,W,",WDF5,2016-01-10T00:00:00,GHCND:USW00014923,300
10,",,W,",WDF5,2016-01-11T00:00:00,GHCND:USW00014923,270
11,",,W,",WDF5,2016-01-12T00:00:00,GHCND:USW00014923,300
12,",,W,",WDF5,2016-01-13T00:00:00,GHCND:USW00014923,210
13,",,W,",WDF5,2016-01-14T00:00:00,GHCND:USW00014923,180
14,",,W,",WDF5,2016-01-15T00:00:00,GHCND:USW00014923,310
15,",,W,",WDF5,2016-01-16T00:00:00,GHCND:USW00014923,310
16,",,W,",WDF5,2016-01-17T00:00:00,GHCND:USW00014923,300
17,",,W,",WDF5,2016-01-18T00:00:00,GHCND:USW00014923,310
18,",,W,",WDF5,2016-01-19T00:00:00,GHCND:USW00014923,130
19,",,W,",WDF5,2016-01-20T00:00:00,GHCND:USW00014923,90
20,",,W,",WDF5,2016-01-21T00:00:00,GHCND:USW00014923,50
21,",,W,",WDF5,2016-01-22T00:00:00,GHCND:USW00014923,20
22,",,W,",WDF5,2016-01-23T00:00:00,GHCND:USW00014923,210
23,",,W,",WDF5,2016-01-24T00:00:00,GHCND:USW00014923,240
24,",,W,",WDF5,2016-01-25T00:00:00,GHCND:USW00014923,260
25,",,W,",WDF5,2016-01-26T00:00:00,GHCND:USW00014923,300
26,",,W,",WDF5,2016-01-27T00:00:00,GHCND:USW00014923,200
27,",,W,",WDF5,2016-01-28T00:00:00,GHCND:USW00014923,310
28,",,W,",WDF5,2016-01-29T00:00:00,GHCND:USW00014923,160
29,",,W,",WDF5,2016-01-30T00:00:00,GHCND:USW00014923,230
30,",,W,",WDF5,2016-01-31T00:00:00,GHCND:USW00014923,300
31,",,W,",WDF5,2016-02-01T00:00:00,GHCND:USW00014923,300
32,",,W,",WDF5,2016-02-02T00:00:00,GHCND:USW00014923,90
33,",,W,",WDF5,2016-02-03T00:00:00,GHCND:USW00014923,310
34,",,W,",WDF5,2016-02-04T00:00:00,GHCND:USW00014923,280
35,",,W,",WDF5,2016-02-05T00:00:00,GHCND:USW00014923,280
36,",,W,",WDF5,2016-02-06T00:00:00,GHCND:USW00014923,230
37,",,W,",WDF5,2016-02-07T00:00:00,GHCND:USW00014923,300
38,",,W,",WDF5,2016-02-08T00:00:00,GHCND:USW00014923,300
39,",,W,",WDF5,2016-02-09T00:00:00,GHCND:USW00014923,310
40,",,W,",WDF5,2016-02-10T00:00:00,GHCND:USW00014923,310
41,",,W,",WDF5,2016-02-11T00:00:00,GHCND:USW00014923,220
42,",,W,",WDF5,2016-02-12T00:00:00,GHCND:USW00014923,300
43,",,W,",WDF5,2016-02-13T00:00:00,GHCND:USW00014923,320
44,",,W,",WDF5,2016-02-14T00:00:00,GHCND:USW00014923,100
45,",,W,",WDF5,2016-02-15T00:00:00,GHCND:USW00014923,230
46,",,W,",WDF5,2016-02-16T00:00:00,GHCND:USW00014923,300
47,",,W,",WDF5,2016-02-17T00:00:00,GHCND:USW00014923,310
48,",,W,",WDF5,2016-02-18T00:00:00,GHCND:USW00014923,140
49,",,W,",WDF5,2016-02-19T00:00:00,GHCND:USW00014923,280
50,",,W,",WDF5,2016-02-20T00:00:00,GHCND:USW00014923,210
51,",,W,",WDF5,2016-02-21T00:00:00,GHCND:USW00014923,10
52,",,W,",WDF5,2016-02-22T00:00:00,GHCND:USW00014923,40
53,",,W,",WDF5,2016-02-23T00:00:00,GHCND:USW00014923,50
