,attributes,datatype,date,station,value
0,",,7,",WDMV,2016-05-01T00:00:00,GHCND:USC00374266,46.0
1,",,7,",WDMV,2016-05-02T00:00:00,GHCND:USC00374266,37.3
2,",,7,",WDMV,2016-05-03T00:00:00,GHCND:USC00374266,39.8
3,",,7,",WDMV,2016-05-04T00:00:00,GHCND:USC00374266,64.0
4,",,7,",WDMV,2016-05-05T00:00:00,GHCND:USC00374266,98.8
5,",,7,",WDMV,2016-05-06T00:00:00,GHCND:USC00374266,105.0
6,",,7,",WDMV,2016-05-07T00:00:00,GHCND:USC00374266,67.1
7,",,7,",WDMV,2016-05-08T00:00:00,GHCND:USC00374266,59.0
8,",,7,",WDMV,2016-05-09T00:00:00,GHCND:USC00374266,64.0
9,",,7,",WDMV,2016-05-10T00:00:00,GHCND:USC00374266,49.1
10,",,7,",WDMV,2016-05-11T00:00:00,GHCND:USC00374266,49.1
11,",,7,",WDMV,2016-05-12T00:00:00,GHCND:USC00374266,52.2
12,",,7,",WDMV,2016-05-13T00:00:00,GHCND:USC00374266,37.9
13,",,7,",WDMV,2016-05-14T00:00:00,GHCND:USC00374266,60.9
14,",,7,",WDMV,2016-05-15T00:00:00,GHCND:USC00374266,92.0
15,",,7,",WDMV,2016-05-16T00:00:00,GHCND:USC00374266,95.7
16,",,7,",WDMV,2016-05-17T00:00:00,GHCND:USC00374266,60.9
17,",,7,",WDMV,2016-05-18T00:00:00,GHCND:USC00374266,80.8
18,",,7,",WDMV,2016-05-19T00:00:00,GHCND:USC00374266,44.1
19,",,7,",WDMV,2016-05-20T00:00:00,GHCND:USC00374266,37.3
20,",,7,",WDMV,2016-05-21T00:00:00,GHCND:USC00374266,41.0
21,",,7,",WDMV,2016-05-22T00:00:00,GHCND:USC00374266,49.1
22,",,7,",WDMV,2016-05-23T00:00:00,GHCND:USC00374266,29.2
23,",,7,",WDMV,2016-05-24T00:00:00,GHCND:USC00374266,57.2
24,",,7,",WDMV,2016-05-25T00:00:00,GHCND:USC00374266,29.2
25,",,7,",WDMV,2016-05-26T00:00:00,GHCND:USC00374266,44.7
26,",,7,",WDMV,2016-05-27T00:00:00,GHCND:USC00374266,41.0
27,",,7,",WDMV,2016-05-28T00:00:00,GHCND:USC00374266,69.0
28,",,7,",WDMV,2016-05-29T00:00:00,GHCND:USC00374266,44.7
29,",,7,",WDMV,2016-05-30T00:00:00,GHCND:USC00374266,49.1
30,",,7,",WDMV,2016-05-31T00:00:00,GHCND:USC00374266,77.1
31,",,7,",WDMV,2016-06-01T00:00:00,GHCND:USC00374266,47.2
32,",,7,",WDMV,2016-06-02T00:00:00,GHCND:USC00374266,55.3
33,",,7,",WDMV,2016-06-03T00:00:00,GHCND:USC00374266,44.7
34,",,7,",WDMV,2016-06-04T00:00:00,GHCND:USC00374266,42.9
35,",,7,",WDMV,2016-06-05T00:00:00,GHCND:USC00374266,44.7
36,",,7,",WDMV,2016-06-06T00:00:00,GHCND:USC00374266,75.8
37,",,7,",WDMV,2016-06-07T00:00:00,GHCND:USC00374266,52.8
38,",,7,",WDMV,2016-06-08T00:00:00,GHCND:USC00374266,60.3
39,",,7,",WDMV,2016-06-09T00:00:00,GHCND:USC00374266,69.0
40,",,7,",WDMV,2016-06-10T00:00:00,GHCND:USC00374266,39.8
41,",,7,",WDMV,2016-06-11T00:00:00,GHCND:USC00374266,24.2
42,",,7,",WDMV,2016-06-12T00:00:00,GHCND:USC00374266,37.9
43,",,7,",WDMV,2016-06-13T00:00:00,GHCND:USC00374266,60.9
44,",,7,",WDMV,2016-06-14T00:00:00,GHCND:USC00374266,49.1
45,",,7,",WDMV,2016-06-15T00:00:00,GHCND:USC00374266,28.0
46,",,7,",WDMV,2016-06-16T00:00:00,GHCND:USC00374266,36.0
47,",,7,",WDMV,2016-06-17T00:00:00,GHCND:USC00374266,47.2
48,",,7,",WDMV,2016-06-18T00:00:00,GHCND:USC00374266,47.8
49,",,7,",WDMV,2016-06-19T00:00:00,GHCND:USC00374266,54.1
50,",,7,",WDMV,2016-06-20T00:00:00,GHCND:USC00374266,60.9
51,",,7,",WDMV,2016-06-21T00:00:00,GHCND:USC00374266,67.7
52,",,7,",WDMV,2016-06-22T00:00:00,GHCND:USC00374266,34.8
53,",,7,",WDMV,2016-06-23T00:00:00,GHCND:USC00374266,31.1
54,",,7,",WDMV,2016-06-24T00:00:00,GHCND:USC00374266,47.8
55,",,7,",WDMV,2016-06-25T00:00:00,GHCND:USC00374266,46.0
56,",,7,",WDMV,2016-06-26T00:00:00,GHCND:USC00374266,37.3
57,",,7,",WDMV,2016-06-27T00:00:00,GHCND:USC00374266,49.7
58,",,7,",WDMV,2016-06-28T00:00:00,GHCND:USC00374266,65.2
59,",,7,",WDMV,2016-06-29T00:00:00,GHCND:USC00374266,49.1
60,",,7,",WDMV,2016-06-30T00:00:00,GHCND:USC00374266,39.1
61,",,7,",WDMV,2016-07-01T00:00:00,GHCND:USC00374266,52.8
62,",,7,",WDMV,2016-07-02T00:00:00,GHCND:USC00374266,49.7
63,",,7,",WDMV,2016-07-03T00:00:00,GHCND:USC00374266,34.2
64,",,7,",WDMV,2016-07-04T00:00:00,GHCND:USC00374266,42.9
65,",,7,",WDMV,2016-07-05T00:00:00,GHCND:USC00374266,42.3
66,",,7,",WDMV,2016-07-06T00:00:00,GHCND:USC00374266,21.7
67,",,7,",WDMV,2016-07-07T00:00:00,GHCND:USC00374266,39.8
68,",,7,",WDMV,2016-07-08T00:00:00,GHCND:USC00374266,41.0
69,",,7,",WDMV,2016-07-09T00:00:00,GHCND:USC00374266,64.0
70,",,7,",WDMV,2016-07-10T00:00:00,GHCND:USC00374266,37.3
71,",,7,",WDMV,2016-07-11T00:00:00,GHCND:USC00374266,31.1
72,",,7,",WDMV,2016-07-12T00:00:00,GHCND:USC00374266,29.2
73,",,7,",WDMV,2016-07-13T00:00:00,GHCND:USC00374266,69.0
74,",,7,",WDMV,2016-07-14T00:00:00,GHCND:USC00374266,78.9
75,",,7,",WDMV,2016-07-15T00:00:00,GHCND:USC00374266,41.0
76,",,7,",WDMV,2016-07-16T00:00:00,GHCND:USC00374266,31.7
77,",,7,",WDMV,2016-07-17T00:00:00,GHCND:USC00374266,29.2
78,",,7,",WDMV,2016-07-18T00:00:00,GHCND:USC00374266,54.1
79,",,7,",WDMV,2016-07-19T00:00:00,GHCND:USC00374266,44.7
80,",,7,",WDMV,2016-07-20T00:00:00,GHCND:USC00374266,26.7
81,",,7,",WDMV,2016-07-21T00:00:00,GHCND:USC00374266,34.2
82,",,7,",WDMV,2016-07-22T00:00:00,GHCND:USC00374266,80.2
83,",,7,",WDMV,2016-07-23T00:00:00,GHCND:USC00374266,46.0
84,",,7,",WDMV,2016-07-24T00:00:00,GHCND:USC00374266,34.2
85,",,7,",WDMV,2016-07-25T00:00:00,GHCND:USC00374266,42.9
86,",,7,",WDMV,2016-07-26T00:00:00,GHCND:USC00374266,44.7
87,",,7,",WDMV,2016-07-27T00:00:00,GHCND:USC00374266,24.2
88,",,7,",WDMV,2016-07-28T00:00:00,GHCND:USC00374266,42.9
89,",,7,",WDMV,2016-07-29T00:00:00,GHCND:USC00374266,36.0
90,",,7,",WDMV,2016-07-30T00:00:00,GHCND:USC00374266,34.8
91,",,7,",WDMV,2016-07-31T00:00:00,GHCND:USC00374266,39.1
92,",,7,",WDMV,2016-08-01T00:00:00,GHCND:USC00374266,72.1
93,",,7,",WDMV,2016-08-02T00:00:00,GHCND:USC00374266,34.2
94,",,7,",WDMV,2016-08-03T00:00:00,GHCND:USC00374266,37.9
95,",,7,",WDMV,2016-08-04T00:00:00,GHCND:USC00374266,32.9
96,",,7,",WDMV,2016-08-05T00:00:00,GHCND:USC00374266,42.9
97,",,7,",WDMV,2016-08-06T00:00:00,GHCND:USC00374266,70.2
98,",,7,",WDMV,2016-08-07T00:00:00,GHCND:USC00374266,28.0
99,",,7,",WDMV,2016-08-08T00:00:00,GHCND:USC00374266,26.1
100,",,7,",WDMV,2016-08-09T00:00:00,GHCND:USC00374266,42.9
101,",,7,",WDMV,2016-08-10T00:00:00,GHCND:USC00374266,31.7
102,",,7,",WDMV,2016-08-11T00:00:00,GHCND:USC00374266,42.3
103,",,7,",WDMV,2016-08-12T00:00:00,GHCND:USC00374266,62.1
104,",,7,",WDMV,2016-08-13T00:00:00,GHCND:USC00374266,34.2
105,",,7,",WDMV,2016-08-14T00:00:00,GHCND:USC00374266,57.2
106,",,7,",WDMV,2016-08-15T00:00:00,GHCND:USC00374266,37.3
107,",,7,",WDMV,2016-08-16T00:00:00,GHCND:USC00374266,29.8
108,",,7,",WDMV,2016-08-17T00:00:00,GHCND:USC00374266,47.2
109,",,7,",WDMV,2016-08-18T00:00:00,GHCND:USC00374266,34.8
110,",,7,",WDMV,2016-08-19T00:00:00,GHCND:USC00374266,44.1
111,",,7,",WDMV,2016-08-20T00:00:00,GHCND:USC00374266,37.9
112,",,7,",WDMV,2016-08-21T00:00:00,GHCND:USC00374266,59.0
113,",,7,",WDMV,2016-08-22T00:00:00,GHCND:USC00374266,54.1
114,",,7,",WDMV,2016-08-23T00:00:00,GHCND:USC00374266,29.2
115,",,7,",WDMV,2016-08-24T00:00:00,GHCND:USC00374266,41.0
116,",,7,",WDMV,2016-08-25T00:00:00,GHCND:USC00374266,55.3
117,",,7,",WDMV,2016-08-26T00:00:00,GHCND:USC00374266,80.2
118,",,7,",WDMV,2016-08-27T00:00:00,GHCND:USC00374266,31.7
119,",,7,",WDMV,2016-08-28T00:00:00,GHCND:USC00374266,31.1
120,",,7,",WDMV,2016-08-29T00:00:00,GHCND:USC00374266,29.8
121,",,7,",WDMV,2016-08-30T00:00:00,GHCND:USC00374266,29.2
122,",,7,",WDMV,2016-08-31T00:00:00,GHCND:USC00374266,36.0
123,",,7,",WDMV,2016-09-01T00:00:00,GHCND:USC00374266,26.1
124,",,7,",WDMV,2016-09-02T00:00:00,GHCND:USC00374266,26.7
125,",,7,",WDMV,2016-09-03T00:00:00,GHCND:USC00374266,28.0
126,",,7,",WDMV,2016-09-04T00:00:00,GHCND:USC00374266,57.2
127,",,7,",WDMV,2016-09-05T00:00:00,GHCND:USC00374266,75.8
128,",,7,",WDMV,2016-09-06T00:00:00,GHCND:USC00374266,108.1
129,",,7,",WDMV,2016-09-07T00:00:00,GHCND:USC00374266,72.1
130,",,7,",WDMV,2016-09-08T00:00:00,GHCND:USC00374266,32.9
131,",,7,",WDMV,2016-09-09T00:00:00,GHCND:USC00374266,44.1
132,",,7,",WDMV,2016-09-10T00:00:00,GHCND:USC00374266,34.8
133,",,7,",WDMV,2016-09-11T00:00:00,GHCND:USC00374266,80.2
134,",,7,",WDMV,2016-09-12T00:00:00,GHCND:USC00374266,19.3
135,",,7,",WDMV,2016-09-13T00:00:00,GHCND:USC00374266,39.1
136,",,7,",WDMV,2016-09-14T00:00:00,GHCND:USC00374266,44.7
137,",,7,",WDMV,2016-09-15T00:00:00,GHCND:USC00374266,41.0
138,",,7,",WDMV,2016-09-16T00:00:00,GHCND:USC00374266,28.0
139,",,7,",WDMV,2016-09-17T00:00:00,GHCND:USC00374266,29.2
140,",,7,",WDMV,2016-09-18T00:00:00,GHCND:USC00374266,55.9
141,",,7,",WDMV,2016-09-19T00:00:00,GHCND:USC00374266,34.2
142,",,7,",WDMV,2016-09-20T00:00:00,GHCND:USC00374266,11.8
143,",,7,",WDMV,2016-09-21T00:00:00,GHCND:USC00374266,14.9
144,",,7,",WDMV,2016-09-22T00:00:00,GHCND:USC00374266,21.7
145,",,7,",WDMV,2016-09-23T00:00:00,GHCND:USC00374266,21.1
146,",,7,",WDMV,2016-09-24T00:00:00,GHCND:USC00374266,51.0
147,",,7,",WDMV,2016-09-25T00:00:00,GHCND:USC00374266,26.1
148,",,7,",WDMV,2016-09-26T00:00:00,GHCND:USC00374266,19.9
149,",,7,",WDMV,2016-09-27T00:00:00,GHCND:USC00374266,41.0
150,",,7,",WDMV,2016-09-28T00:00:00,GHCND:USC00374266,44.7
151,",,7,",WDMV,2016-09-29T00:00:00,GHCND:USC00374266,96.9
152,",,7,",WDMV,2016-09-30T00:00:00,GHCND:USC00374266,118.1
153,",,7,",WDMV,2016-10-01T00:00:00,GHCND:USC00374266,95.7
154,",,7,",WDMV,2016-10-02T00:00:00,GHCND:USC00374266,60.3
155,",,7,",WDMV,2016-10-03T00:00:00,GHCND:USC00374266,16.8
156,",,7,",WDMV,2016-10-04T00:00:00,GHCND:USC00374266,62.1
157,",,7,",WDMV,2016-10-05T00:00:00,GHCND:USC00374266,59.0
158,",,7,",WDMV,2016-10-06T00:00:00,GHCND:USC00374266,26.7
159,",,7,",WDMV,2016-10-07T00:00:00,GHCND:USC00374266,18.0
160,",,7,",WDMV,2016-10-08T00:00:00,GHCND:USC00374266,19.3
161,",,7,",WDMV,2016-10-09T00:00:00,GHCND:USC00374266,28.0
162,",,7,",WDMV,2016-10-10T00:00:00,GHCND:USC00374266,70.2
163,",,7,",WDMV,2016-10-11T00:00:00,GHCND:USC00374266,24.9
164,",,7,",WDMV,2016-10-12T00:00:00,GHCND:USC00374266,19.9
165,",,7,",WDMV,2016-10-13T00:00:00,GHCND:USC00374266,31.1
166,",,7,",WDMV,2016-10-14T00:00:00,GHCND:USC00374266,29.8
167,",,7,",WDMV,2016-10-15T00:00:00,GHCND:USC00374266,21.1
168,",,7,",WDMV,2016-10-16T00:00:00,GHCND:USC00374266,41.0
169,",,7,",WDMV,2016-10-17T00:00:00,GHCND:USC00374266,42.9
170,",,7,",WDMV,2016-10-18T00:00:00,GHCND:USC00374266,29.2
171,",,7,",WDMV,2016-10-19T00:00:00,GHCND:USC00374266,67.7
172,",,7,",WDMV,2016-10-20T00:00:00,GHCND:USC00374266,46.0
173,",,7,",WDMV,2016-10-21T00:00:00,GHCND:USC00374266,60.3
174,",,7,",WDMV,2016-10-22T00:00:00,GHCND:USC00374266,39.8
175,",,7,",WDMV,2016-10-23T00:00:00,GHCND:USC00374266,93.8
176,",,7,",WDMV,2016-10-24T00:00:00,GHCND:USC00374266,42.9
177,",,7,",WDMV,2016-10-25T00:00:00,GHCND:USC00374266,52.2
178,",,7,",WDMV,2016-10-26T00:00:00,GHCND:USC00374266,88.9
179,",,7,",WDMV,2016-10-27T00:00:00,GHCND:USC00374266,19.9
