,attributes,datatype,date,station,value
0,",,W,",AWND,2016-01-01T00:00:00,GHCND:USW00014794,4.9
1,",,W,",AWND,2016-01-02T00:00:00,GHCND:USW00014794,5.6
2,",,W,",AWND,2016-01-03T00:00:00,GHCND:USW00014794,8.9
3,",,W,",AWND,2016-01-04T00:00:00,GHCND:USW00014794,11.6
4,",,W,",AWND,2016-01-05T00:00:00,GHCND:USW00014794,6.7
5,",,W,",AWND,2016-01-06T00:00:00,GHCND:USW00014794,4.7
6,",,W,",AWND,2016-01-07T00:00:00,GHCND:USW00014794,2.0
7,",,W,",AWND,2016-01-08T00:00:00,GHCND:USW00014794,6.0
8,",,W,",AWND,2016-01-09T00:00:00,GHCND:USW00014794,6.7
9,",,W,",AWND,2016-01-10T00:00:00,GHCND:USW00014794,13.9
10,",,W,",AWND,2016-01-11T00:00:00,GHCND:USW00014794,8.1
11,",,W,",AWND,2016-01-12T00:00:00,GHCND:USW00014794,7.4
12,",,W,",AWND,2016-01-13T00:00:00,GHCND:USW00014794,9.2
13,",,W,",AWND,2016-01-14T00:00:00,GHCND:USW00014794,4.9
14,",,W,",AWND,2016-01-15T00:00:00,GHCND:USW00014794,6.0
15,",,W,",AWND,2016-01-16T00:00:00,GHCND:USW00014794,7.2
16,",,W,",AWND,2016-01-17T00:00:00,GHCND:USW00014794,7.8
17,",,W,",AWND,2016-01-18T00:00:00,GHCND:USW00014794,9.8
18,",,W,",AWND,2016-01-19T00:00:00,GHCND:USW00014794,11.2
19,",,W,",AWND,2016-01-20T00:00:00,GHCND:USW00014794,8.7
20,",,W,",AWND,2016-01-21T00:00:00,GHCND:USW00014794,7.2
21,",,W,",AWND,2016-01-22T00:00:00,GHCND:USW00014794,7.4
22,",,W,",AWND,2016-01-23T00:00:00,GHCND:USW00014794,15.0
23,",,W,",AWND,2016-01-24T00:00:00,GHCND:USW00014794,8.5
24,",,W,",AWND,2016-01-25T00:00:00,GHCND:USW00014794,3.4
25,",,W,",AWND,2016-01-26T00:00:00,GHCND:USW00014794,9.2
26,",,W,",AWND,2016-01-27T00:00:00,GHCND:USW00014794,5.6
27,",,W,",AWND,2016-01-28T00:00:00,GHCND:USW00014794,3.6
28,",,W,",AWND,2016-01-29T00:00:00,GHCND:USW00014794,4.5
29,",,W,",AWND,2016-01-30T00:00:00,GHCND:USW00014794,8.9
30,",,W,",AWND,2016-01-31T00:00:00,GHCND:USW00014794,6.3
31,",,W,",AWND,2016-02-01T00:00:00,GHCND:USW00014794,8.5
32,",,W,",AWND,2016-02-02T00:00:00,GHCND:USW00014794,4.3
33,",,W,",AWND,2016-02-03T00:00:00,GHCND:USW00014794,11.4
34,",,W,",AWND,2016-02-04T00:00:00,GHCND:USW00014794,5.4
35,",,W,",AWND,2016-02-05T00:00:00,GHCND:USW00014794,8.5
36,",,W,",AWND,2016-02-06T00:00:00,GHCND:USW00014794,5.4
37,",,W,",AWND,2016-02-07T00:00:00,GHCND:USW00014794,3.6
38,",,W,",AWND,2016-02-08T00:00:00,GHCND:USW00014794,13.2
39,",,W,",AWND,2016-02-09T00:00:00,GHCND:USW00014794,4.7
40,",,W,",AWND,2016-02-10T00:00:00,GHCND:USW00014794,1.8
41,",,W,",AWND,2016-02-11T00:00:00,GHCND:USW00014794,7.4
42,",,W,",AWND,2016-02-12T00:00:00,GHCND:USW00014794,6.0
43,",,W,",AWND,2016-02-13T00:00:00,GHCND:USW00014794,9.6
44,",,W,",AWND,2016-02-14T00:00:00,GHCND:USW00014794,7.6
45,",,W,",AWND,2016-02-15T00:00:00,GHCND:USW00014794,6.7
46,",,W,",AWND,2016-02-16T00:00:00,GHCND:USW00014794,13.4
47,",,W,",AWND,2016-02-17T00:00:00,GHCND:USW00014794,5.4
48,",,W,",AWND,2016-02-18T00:00:00,GHCND:USW00014794,9.8
49,",,W,",AWND,2016-02-19T00:00:00,GHCND:USW00014794,7.2
50,",,W,",AWND,2016-02-20T00:00:00,GHCND:USW00014794,10.5
51,",,W,",AWND,2016-02-21T00:00:00,GHCND:USW00014794,5.1
52,",,W,",AWND,2016-02-22T00:00:00,GHCND:USW00014794,5.8
53,",,W,",AWND,2016-02-23T00:00:00,GHCND:USW00014794,10.1
54,",,W,",AWND,2016-02-24T00:00:00,GHCND:USW00014794,11.9
55,",,W,",AWND,2016-02-25T00:00:00,GHCND:USW00014794,16.6
56,",,W,",AWND,2016-02-26T00:00:00,GHCND:USW00014794,9.8
57,",,W,",AWND,2016-02-27T00:00:00,GHCND:USW00014794,7.2
58,",,W,",AWND,2016-02-28T00:00:00,GHCND:USW00014794,11.6
59,",,W,",AWND,2016-02-29T00:00:00,GHCND:USW00014794,10.3
60,",,W,",AWND,2016-03-01T00:00:00,GHCND:USW00014794,9.6
61,",,W,",AWND,2016-03-02T00:00:00,GHCND:USW00014794,13.4
62,",,W,",AWND,2016-03-03T00:00:00,GHCND:USW00014794,5.4
63,",,W,",AWND,2016-03-04T00:00:00,GHCND:USW00014794,10.1
64,",,W,",AWND,2016-03-05T00:00:00,GHCND:USW00014794,7.6
65,",,W,",AWND,2016-03-06T00:00:00,GHCND:USW00014794,3.4
66,",,W,",AWND,2016-03-07T00:00:00,GHCND:USW00014794,6.7
67,",,W,",AWND,2016-03-08T00:00:00,GHCND:USW00014794,3.1
68,",,W,",AWND,2016-03-09T00:00:00,GHCND:USW00014794,5.6
